nu_inscricao,nu_ano,tp_faixa_etaria,tp_sexo,tp_estado_civil,tp_cor_raca,tp_nacionalidade,tp_st_conclusao,tp_ano_concluiu,tp_escola,tp_ensino,in_treineiro,co_municipio_esc,no_municipio_esc,co_uf_esc,sg_uf_esc,tp_dependencia_adm_esc,tp_localizacao_esc,tp_sit_func_esc,co_municipio_prova,no_municipio_prova,co_uf_prova,sg_uf_prova,tp_presenca_cn,tp_presenca_ch,tp_presenca_lc,tp_presenca_mt,co_prova_cn,co_prova_ch,co_prova_lc,co_prova_mt,nu_nota_cn,nu_nota_ch,nu_nota_lc,nu_nota_mt,tx_respostas_cn,tx_respostas_ch,tx_respostas_lc,tx_respostas_mt,tp_lingua,tx_gabarito_cn,tx_gabarito_ch,tx_gabarito_lc,tx_gabarito_mt,tp_status_redacao,nu_nota_comp1,nu_nota_comp2,nu_nota_comp3,nu_nota_comp4,nu_nota_comp5,nu_nota_redacao,q001,q002,q003,q004,q005,q006,q007,q008,q009,q010,q011,q012,q013,q014,q015,q016,q017,q018,q019,q020,q021,q022,q023,q024,q025
210061122981,2023,18 anos,Feminino,Solteiro(a),Branca,Brasileiro(a),Estou cursando e concluirei o Ensino Médio em 2023,Não informado,Pública,Ensino Regular,Não,4205407,Florianópolis,42,SC,Estadual,Urbana,Em atividade,4205407,Florianópolis,42,SC,Presente na prova,Presente na prova,Presente na prova,Presente na prova,Amarela,Azul,Azul,Amarela,562.3,595.3,573.3,666.8,EACEADCECBBBCACEAEDBAEABCCEAEDCADBEEDDCADBDBC,CDADECDEAACEAADECCBAABCDECBADCDEADBABEDDCAEDB,BEDABDECAEDCCDCBDDDCDCBECBACEAABAAACAECEBEDAE,BCECBEECDBCACEBCACBDEECDAABDCCECBCADAEAEADBEB,Inglês,CAAADCCCCDDDABDCACDBEEEDCEDAEECCDBEABDBABBAEB,CDAEECABAACEAADECBDAABCDCABADCDEABAABCDDEBADB,BBDABAAEBADACEEDCCDBADBDEDCCEBCACEACAACAACACBBEAAE,DCECACCBDECBEEABEABDDAADDABBBCCBCCDDAEBDADEEB,Sem problemas,120,200,120,120,160,720,Não sei,"Completou a 8ª série/9º ano do ensino fundamental, mas não completou o Ensino Médio",Grupo 4 (Verificar a definição no dicionário de dados),Grupo 2 (Verificar a definição no dicionário de dados),3,"Até R$ 1.320,00",Não,"Sim, um","Sim, dois",Não,Não,"Sim, um",Não,"Sim, um",Não,"Sim, um",Não,Não,"Sim, um",Não,Não,"Sim, dois",Não,Não,Sim
210059935991,2023,Entre 26 e 30 anos,Feminino,Solteiro(a),Branca,Brasileiro(a),Já concluí o Ensino Médio,2014,Não respondeu,NA,Não,NA,NA,NA,NA,NA,NA,NA,4205407,Florianópolis,42,SC,Presente na prova,Presente na prova,Presente na prova,Presente na prova,Cinza,Rosa,Rosa,Rosa,456.9,563.5,511.6,510.7,EDDACABCEEDABABBDBCABDBDDEBCBCCAEEECEDCEBABDC,ADCECBDACEBBDCECCADADECEBCABDEABACAABADCDAADE,EAADEAABDCBEAADAABADACCDCBABEDDDBACBCBACAAACB,EEDCBCEACEACDBEACDBECBADAEBCAAADCAEBECBDBDEEB,Espanhol,CEDAEEDEECCEBADCCCABBABCAACDDDACDBEABDCDBEABD,ABCDCBDACDAEACEECABADBEABADEBAABCDCABADCDAADE,BDBBABAAAEAAECBBEAACAAACEACBCACCCEDEDADBDBEEDDACCC,EBDEEBDADDABCCBCCABBADDBDDAEAEABCBEDECADCECCB,Sem problemas,120,120,120,120,80,560,Não completou a 4ª série/5º ano do ensino fundamental,"Completou a Faculdade, mas não completou a Pós-graduação",Grupo 1 (Verificar a definição no dicionário de dados),Grupo 2 (Verificar a definição no dicionário de dados),1,"Até R$ 1.320,00",Não,"Sim, um","Sim, um",Não,Não,"Sim, um",Não,Não,Não,Não,Não,Não,Não,Não,Não,"Sim, um",Não,Não,Sim
210059265683,2023,19 anos,Masculino,Solteiro(a),Branca,Brasileiro(a),Estou cursando e concluirei o Ensino Médio em 2023,Não informado,Pública,Ensino Regular,Não,NA,NA,NA,NA,NA,NA,NA,4205407,Florianópolis,42,SC,Presente na prova,Presente na prova,Presente na prova,Presente na prova,Cinza,Rosa,Rosa,Rosa,545.8,496.6,543.2,532.9,CAEADEBECCDBBCCDCEBECCBEECAEBADCDEEECCCEBEBDB,ABCDCCAECDADAEBAAAAADBBBBBCCCCCCCCDDDDEEDDCCE,BABBAAAEABBEACDABBCDBBEBDCCBBDEBABCDBCEDDEABD,EDDCEEEAEEDCCDBCDDCDBBDCCBECEBCDDCEDCCCCCCCCC,Inglês,CEDAEEDEECCEBADCCCABBABCAACDDDACDBEABDCDBEABD,ABCDCBDACDAEACEECABADBEABADEBAABCDCABADCDAADE,BDBBABAAAEAAECBBEAACAAACEACBCACCCEDEDADBDBEEDDACCC,EBDEEBDADDABCCBCCABBADDBDDAEAEABCBEDECADCECCB,Sem problemas,120,180,120,120,100,640,"Completou a 8ª série/9º ano do ensino fundamental, mas não completou o Ensino Médio","Completou a Faculdade, mas não completou a Pós-graduação",Grupo 1 (Verificar a definição no dicionário de dados),Grupo 4 (Verificar a definição no dicionário de dados),3,"De R$ 1.320,01 até R$ 1.980,00.",Não,"Sim, um","Sim, um","Sim, um",Não,"Sim, um","Sim, um",Não,Não,Não,Não,Não,Não,Não,Não,"Sim, dois",Não,Não,Sim
210060356054,2023,17 anos,Masculino,Solteiro(a),Branca,Brasileiro(a),Estou cursando e concluirei o Ensino Médio em 2023,Não informado,Privada,Ensino Regular,Não,NA,NA,NA,NA,NA,NA,NA,4205407,Florianópolis,42,SC,Presente na prova,Presente na prova,Presente na prova,Presente na prova,Cinza,Rosa,Rosa,Rosa,453.8,632.9,596.5,562,DAEACACADABBCDCDAAAACECEDDEEBBCDDBEDCADEBECBC,ABCDCADACDADACEECABCDBBACEDBBADBCDCEBACCDAACE,BABBAAADDBBEAADABACBAEBBACCAEDCCADEDBAEDDADDC,EBDBEECBCDAEDCBDCDCBDDBBCDECAECDAAACAAABCDBBD,Inglês,CEDAEEDEECCEBADCCCABBABCAACDDDACDBEABDCDBEABD,ABCDCBDACDAEACEECABADBEABADEBAABCDCABADCDAADE,BDBBABAAAEAAECBBEAACAAACEACBCACCCEDEDADBDBEEDDACCC,EBDEEBDADDABCCBCCABBADDBDDAEAEABCBEDECADCECCB,Sem problemas,140,200,160,180,160,840,"Completou a Faculdade, mas não completou a Pós-graduação","Completou a Faculdade, mas não completou a Pós-graduação",Grupo 5 (Verificar a definição no dicionário de dados),Grupo 2 (Verificar a definição no dicionário de dados),5,"De R$ 15.840,01 até R$19.800,00.",Não,"Sim, um","Sim, três","Sim, um",Não,"Sim, um",Não,"Sim, um",Não,Não,Não,Não,"Sim, um",Não,Não,"Sim, quatro ou mais",Não,"Sim, um",Sim
210058983457,2023,Menor de 17 anos,Masculino,Solteiro(a),Branca,Brasileiro(a),Estou cursando e concluirei o Ensino Médio após 2023,Não informado,Não respondeu,NA,Sim,NA,NA,NA,NA,NA,NA,NA,4205407,Florianópolis,42,SC,Presente na prova,Presente na prova,Presente na prova,Presente na prova,Amarela,Azul,Azul,Amarela,467,444.9,425.1,354.5,CBCDEADDEDCACBDDCBAEAECBCAEABDAEBBADBCEABECDC,CACBAABEDAABECBAEADAABEDDABCDCBEBEADCBABADEBC,BCCAEDADEDBDBCACEBAECDEEEABADBCACBAEEACDCDDAD,BDCADCCCADBADCBEDABDACDBDDABBDACEBDBDACECDCAC,Inglês,CAAADCCCCDDDABDCACDBEEEDCEDAEECCDBEABDBABBAEB,CDAEECABAACEAADECBDAABCDCABADCDEABAABCDDEBADB,BBDABAAEBADACEEDCCDBADBDEDCCEBCACEACAACAACACBBEAAE,DCECACCBDECBEEABEABDDAADDABBBCCBCCDDAEBDADEEB,Sem problemas,120,120,120,120,0,480,Completou a Pós-graduação,Completou a Pós-graduação,Não Sei,Grupo 2 (Verificar a definição no dicionário de dados),3,"De R$ 1.980,01 até R$ 2.640,00.",Não,"Sim, um","Sim, três","Sim, um",Não,"Sim, um",Não,"Sim, um",Não,"Sim, um",Não,Sim,"Sim, um",Não,Não,"Sim, três",Não,"Sim, um",Sim
210061234696,2023,17 anos,Masculino,Solteiro(a),Branca,Brasileiro(a),Estou cursando e concluirei o Ensino Médio após 2023,Não informado,Não respondeu,NA,Sim,NA,NA,NA,NA,NA,NA,NA,4205407,Florianópolis,42,SC,Presente na prova,Presente na prova,Presente na prova,Presente na prova,Rosa,Amarela,Amarela,Cinza,612.7,486.4,465,739.5,CEBDABBCCDBEDBBEDBEAACCBDABCBECCAEDBBAAEACEBE,DBEAEECECDCADEEAACDCEACDAECCCCAAECCCBCDABDCCA,DEBAACCEEEDCCEBABCEEBCCCCDABDBBABADABAECCADCC,ECDACDAEBEAAAEBDECCBEDBCADEACCADBEEBDDCDBADCB,Inglês,CDDDABBABDBEABDECCEEEDCEDAEBABDCCAACCCADACDBE,DBAADEADCDCABABCDDEBAEABAECABAACECDAECBDAABCD,BBBDAABAEACCEEEDEACBCACAACAACAAAECBBEDBCCADBDEDDAC,EBDADDAEBEACBEDCECCBEABCADEBCCBCCDEBDDAABBADD,Sem problemas,100,180,120,120,120,640,Completou a Pós-graduação,Completou a Pós-graduação,Grupo 5 (Verificar a definição no dicionário de dados),Grupo 5 (Verificar a definição no dicionário de dados),3,"De R$ 15.840,01 até R$19.800,00.","Sim, um ou dois dias por semana","Sim, quatro ou mais","Sim, três","Sim, um",Não,"Sim, um","Sim, dois","Sim, um","Sim, um","Sim, um","Sim, um",Sim,"Sim, quatro ou mais",Não,Sim,"Sim, três",Sim,"Sim, quatro ou mais",Sim
210058808767,2023,18 anos,Feminino,Solteiro(a),Parda,Brasileiro(a),Estou cursando e concluirei o Ensino Médio em 2023,Não informado,Privada,Ensino Regular,Não,4205407,Florianópolis,42,SC,Privada,Urbana,Em atividade,4205407,Florianópolis,42,SC,Presente na prova,Presente na prova,Presente na prova,Presente na prova,Rosa,Amarela,Amarela,Cinza,477.4,608.2,608.5,645,ACBBEAEBCEBEDDBEAEECBECBEDECCCCAEDCCDBAEAEBBB,DAAADEADCBDEDDBEEDEBDDABAECEBCAEECDCECADAABCD,BBBBBCCEEEDDACBBBCCBCAEDAAADCBBEDBCAADAAEDDEC,ECDAADCECDDAAECDABBCEBAC.DBBCCACADCDBDADBCDDB,Inglês,CDDDABBABDBEABDECCEEEDCEDAEBABDCCAACCCADACDBE,DBAADEADCDCABABCDDEBAEABAECABAACECDAECBDAABCD,BBBDAABAEACCEEEDEACBCACAACAACAAAECBBEDBCCADBDEDDAC,EBDADDAEBEACBEDCECCBEABCADEBCCBCCDEBDDAABBADD,Sem problemas,160,200,160,160,180,860,Completou a Pós-graduação,Completou a Pós-graduação,Grupo 4 (Verificar a definição no dicionário de dados),Grupo 4 (Verificar a definição no dicionário de dados),3,"De R$ 10.560,01 até R$ 11.880,00.",Não,"Sim, dois","Sim, três","Sim, dois","Sim, um","Sim, dois","Sim, dois","Sim, um",Não,"Sim, um",Não,Sim,"Sim, três",Sim,Não,"Sim, três",Não,"Sim, três",Sim
210061439285,2023,17 anos,Feminino,Solteiro(a),Branca,Brasileiro(a),Estou cursando e concluirei o Ensino Médio em 2023,Não informado,Privada,Ensino Regular,Não,NA,NA,NA,NA,NA,NA,NA,4205407,Florianópolis,42,SC,Presente na prova,Presente na prova,Presente na prova,Presente na prova,Amarela,Azul,Azul,Amarela,608.4,598.2,620.9,737.2,CDCAAEBADDBBEDCCAEEEEEEADEDAEEABDBECBBCABEBDB,DBADECECAACDAAAECBDAABCDDABADCDEABDEBEDEEAADB,ACEEADACEEDADEBADADEDCCEBBABBAADACACCACBBEDAE,EBECABBCCCBBEEACEABCDDEDCABCCCBCCCADDEBDADEEB,Espanhol,CAAADCCCCDDDABDCACDBEEEDCEDAEECCDBEABDBABBAEB,CDAEECABAACEAADECBDAABCDCABADCDEABAABCDDEBADB,BBDABAAEBADACEEDCCDBADBDEDCCEBCACEACAACAACACBBEAAE,DCECACCBDECBEEABEABDDAADDABBBCCBCCDDAEBDADEEB,Sem problemas,140,200,160,180,180,860,"Completou a Faculdade, mas não completou a Pós-graduação",Completou a Pós-graduação,Grupo 5 (Verificar a definição no dicionário de dados),Grupo 4 (Verificar a definição no dicionário de dados),4,"De R$ 19.800,01 até R$ 26.400,00.",Não,"Sim, dois","Sim, três","Sim, um",Não,"Sim, dois","Sim, três","Sim, um","Sim, um","Sim, um","Sim, um",Sim,"Sim, três",Sim,Sim,"Sim, quatro ou mais",Não,"Sim, dois",Sim
210060486163,2023,Entre 26 e 30 anos,Feminino,Solteiro(a),Branca,Brasileiro(a),Já concluí o Ensino Médio,Não informado,Não respondeu,NA,Não,NA,NA,NA,NA,NA,NA,NA,4205407,Florianópolis,42,SC,Presente na prova,Presente na prova,Presente na prova,Presente na prova,Amarela,Azul,Azul,Amarela,583.7,583.9,593.8,574.2,CEDDADCACEBADDCDBECDBEEBCBDAEBCABBEAECCABECBB,CDAEACDEAEBEAADECACAABCDCDDEDCDEEABABCABCBADA,CCEBADECAEDCCBBADBCEACCDBCACEACDABAACAACBEAAB,CCECEBBECCEADBEEEDCCEBCDAECDCDECCCBDDEAAADBEE,Espanhol,CAAADCCCCDDDABDCACDBEEEDCEDAEECCDBEABDBABBAEB,CDAEECABAACEAADECBDAABCDCABADCDEABAABCDDEBADB,BBDABAAEBADACEEDCCDBADBDEDCCEBCACEACAACAACACBBEAAE,DCECACCBDECBEEABEABDDAADDABBBCCBCCDDAEBDADEEB,Sem problemas,120,160,120,80,60,540,"Completou a 4ª série/5º ano, mas não completou a 8ª série/9º ano do ensino fundamental",Completou a Pós-graduação,Grupo 5 (Verificar a definição no dicionário de dados),Grupo 4 (Verificar a definição no dicionário de dados),2,"De R$ 2.640,01 até R$ 3.300,00.",Não,"Sim, um","Sim, dois","Sim, um",Não,"Sim, um","Sim, um","Sim, um",Não,"Sim, um",Não,Não,"Sim, um",Não,Não,"Sim, dois",Não,"Sim, um",Sim
210060704189,2023,Entre 26 e 30 anos,Feminino,Solteiro(a),Parda,Brasileiro(a),Já concluí o Ensino Médio,2011,Não respondeu,NA,Não,NA,NA,NA,NA,NA,NA,NA,4205407,Florianópolis,42,SC,Presente na prova,Presente na prova,Presente na prova,Presente na prova,Amarela,Azul,Azul,Amarela,592.8,614.4,628,470.2,EECAEECBCDBCECACDDBDAAECCBDADDCCDBEACDACCBDBC,CDAEBCABDCBDCADDCBDAABCDCABADCDEEBBBBCDBEBADB,BBDABDACAEBCDABADBDCDCDEBAABDADAACAACABBBECAB,DCEBCBBECBDCBDABDCEBDCAADBBDCEDBBDACDDEBADDEC,Inglês,CAAADCCCCDDDABDCACDBEEEDCEDAEECCDBEABDBABBAEB,CDAEECABAACEAADECBDAABCDCABADCDEABAABCDDEBADB,BBDABAAEBADACEEDCCDBADBDEDCCEBCACEACAACAACACBBEAAE,DCECACCBDECBEEABEABDDAADDABBBCCBCCDDAEBDADEEB,Sem problemas,160,140,160,160,140,760,"Completou o Ensino Médio, mas não completou a Faculdade","Completou o Ensino Médio, mas não completou a Faculdade",Grupo 3 (Verificar a definição no dicionário de dados),Grupo 4 (Verificar a definição no dicionário de dados),2,"De R$ 2.640,01 até R$ 3.300,00.",Não,"Sim, dois","Sim, dois",Não,Não,"Sim, um","Sim, um","Sim, um","Sim, um",Não,Não,Sim,"Sim, um",Não,Não,"Sim, dois",Não,"Sim, dois",Sim
