nu_inscricao,nu_ano,tp_faixa_etaria,tp_sexo,tp_estado_civil,tp_cor_raca,tp_nacionalidade,tp_st_conclusao,tp_ano_concluiu,tp_escola,tp_ensino,in_treineiro,co_municipio_esc,no_municipio_esc,co_uf_esc,sg_uf_esc,tp_dependencia_adm_esc,tp_localizacao_esc,tp_sit_func_esc,co_municipio_prova,no_municipio_prova,co_uf_prova,sg_uf_prova,tp_presenca_cn,tp_presenca_ch,tp_presenca_lc,tp_presenca_mt,co_prova_cn,co_prova_ch,co_prova_lc,co_prova_mt,nu_nota_cn,nu_nota_ch,nu_nota_lc,nu_nota_mt,tx_respostas_cn,tx_respostas_ch,tx_respostas_lc,tx_respostas_mt,tp_lingua,tx_gabarito_cn,tx_gabarito_ch,tx_gabarito_lc,tx_gabarito_mt,tp_status_redacao,nu_nota_comp1,nu_nota_comp2,nu_nota_comp3,nu_nota_comp4,nu_nota_comp5,nu_nota_redacao,q001,q002,q003,q004,q005,q006,q007,q008,q009,q010,q011,q012,q013,q014,q015,q016,q017,q018,q019,q020,q021,q022,q023,q024,q025
210059212971,2023,17 anos,Masculino,Solteiro(a),Parda,Brasileiro(a),Estou cursando e concluirei o Ensino Médio em 2023,Não informado,Privada,Ensino Regular,Não,2507507,João Pessoa,25,PB,Privada,Urbana,Em atividade,2507507,João Pessoa,25,PB,Presente na prova,Presente na prova,Presente na prova,Presente na prova,Amarela,Azul,Azul,Amarela,602.2,582.7,574.8,549.1,CDEBBBDACEBBCBBEBCCBEAABCACAEECAEBEEBDBDBEABB,BDCDEADBBCCEAADEABDBABCDCABEDCDCEADBBCADBBCDB,BBDABDCCACBEBBBADDDCACCEBAECEBBCCEAACACBBEAAB,BBEECBBCCDDBBDCDCACCCDADBCBDBCBACCCBBEEDDDDEC,Inglês,CAAADCCCCDDDABDCACDBEEEDCEDAEECCDBEABDBABBAEB,CDAEECABAACEAADECBDAABCDCABADCDEABAABCDDEBADB,BBDABAAEBADACEEDCCDBADBDEDCCEBCACEACAACAACACBBEAAE,DCECACCBDECBEEABEABDDAADDABBBCCBCCDDAEBDADEEB,Sem problemas,120,200,160,160,140,780,Completou a Pós-graduação,Completou a Pós-graduação,Grupo 5 (Verificar a definição no dicionário de dados),Grupo 5 (Verificar a definição no dicionário de dados),4,"De R$ 9.240,01 até R$ 10.560,00.",Não,"Sim, quatro ou mais","Sim, três","Sim, um",Não,"Sim, um","Sim, um","Sim, um",Não,"Sim, um",Não,Sim,"Sim, três",Não,Não,"Sim, quatro ou mais",Não,"Sim, três",Sim
210058131217,2023,19 anos,Feminino,Solteiro(a),Branca,Brasileiro(a),Já concluí o Ensino Médio,2022,Não respondeu,NA,Não,NA,NA,NA,NA,NA,NA,NA,2507507,João Pessoa,25,PB,Presente na prova,Presente na prova,Presente na prova,Presente na prova,Rosa,Amarela,Amarela,Cinza,527.1,573.4,526.3,557.3,DBCDCADBEDBEBBECACABCCCADABCBBCDADCBBCBECAEAD,DAADDEEACBDDACBDAABBECEBABBABCACAADAECBDAABCD,BECEBCDEADDAEAEBACDABAADABABAEBBBBCCADBDEDDED,CEBACADBBCDCABBCEACDBBBCECCBCCECDDCBBDCAEDECC,Espanhol,CDDDABBABDBEABDECCEEEDCEDAEBABDCCAACCCADACDBE,DBAADEADCDCABABCDDEBAEABAECABAACECDAECBDAABCD,BBBDAABAEACCEEEDEACBCACAACAACAAAECBBEDBCCADBDEDDAC,EBDADDAEBEACBEDCECCBEABCADEBCCBCCDEBDDAABBADD,Sem problemas,120,160,120,140,140,680,Completou a Pós-graduação,"Completou o Ensino Médio, mas não completou a Faculdade",Grupo 4 (Verificar a definição no dicionário de dados),Grupo 2 (Verificar a definição no dicionário de dados),4,"De R$ 2.640,01 até R$ 3.300,00.",Não,"Sim, dois","Sim, três",Não,Não,"Sim, um","Sim, um","Sim, um",Não,Não,Não,Sim,"Sim, um",Não,Não,"Sim, três",Não,"Sim, um",Sim
210059015054,2023,18 anos,Feminino,Solteiro(a),Branca,Brasileiro(a),Estou cursando e concluirei o Ensino Médio em 2023,Não informado,Privada,Ensino Regular,Não,2507507,João Pessoa,25,PB,Privada,Urbana,Em atividade,2507507,João Pessoa,25,PB,Presente na prova,Presente na prova,Presente na prova,Presente na prova,Cinza,Rosa,Rosa,Rosa,552.5,545.1,549.6,680.7,CDCADEBEDCDBCCABDBCBDCBEDCCBCBCDBACBBBDDBEAEC,ABCDCBCBCDADCCAEAEEDDCCECABDDDBBEECDBAABDEADE,CDCBAAAECBBEAADACACDEEBDECBCAEBDBDABBAEDDADED,EEDAEADAEDBCCCACDAADDDBBCDAEAEBACEEBDCBBCDECC,Inglês,CEDAEEDEECCEBADCCCABBABCAACDDDACDBEABDCDBEABD,ABCDCBDACDAEACEECABADBEABADEBAABCDCABADCDAADE,BDBBABAAAEAAECBBEAACAAACEACBCACCCEDEDADBDBEEDDACCC,EBDEEBDADDABCCBCCABBADDBDDAEAEABCBEDECADCECCB,Sem problemas,160,200,120,160,200,840,"Completou a Faculdade, mas não completou a Pós-graduação","Completou a Faculdade, mas não completou a Pós-graduação",Não Sei,Não Sei,2,"De R$ 1.980,01 até R$ 2.640,00.",Não,"Sim, um","Sim, dois","Sim, um",Não,"Sim, um",Não,"Sim, um",Não,"Sim, um",Não,Sim,"Sim, um",Não,Sim,"Sim, dois",Não,Não,Sim
210059922956,2023,Menor de 17 anos,Feminino,Não informado,Branca,Brasileiro(a),Estou cursando e concluirei o Ensino Médio após 2023,Não informado,Não respondeu,NA,Sim,NA,NA,NA,NA,NA,NA,NA,2507507,João Pessoa,25,PB,Presente na prova,Presente na prova,Presente na prova,Presente na prova,Amarela,Azul,Azul,Amarela,599.3,576.6,572.3,641,DEDEDCCACDBBAABDACDBECADCDDACBADDBEBCBCAADDAC,CEAEECABAACEADDAABDBABCDEABBCCDEBBDDBEAAECCDA,BBAABDACAEDCCBBABAAECCCEBEACCAABBBCCEACBBEDAD,BDDECDDBCCACEEDBDBBCDCBDCCBDCDECCCADBEADAECEB,Inglês,CAAADCCCCDDDABDCACDBEEEDCEDAEECCDBEABDBABBAEB,CDAEECABAACEAADECBDAABCDCABADCDEABAABCDDEBADB,BBDABAAEBADACEEDCCDBADBDEDCCEBCACEACAACAACACBBEAAE,DCECACCBDECBEEABEABDDAADDABBBCCBCCDDAEBDADEEB,Sem problemas,120,200,120,140,140,720,Não sei,Completou a Pós-graduação,Não Sei,Grupo 5 (Verificar a definição no dicionário de dados),5,"De R$ 7.920,01 até R$ 9240,00.","Sim, pelo menos cinco dias por semana","Sim, três","Sim, três","Sim, um",Não,"Sim, um","Sim, um","Sim, um","Sim, um","Sim, um",Não,Não,"Sim, dois",Sim,Sim,"Sim, quatro ou mais",Sim,"Sim, dois",Sim
210058995848,2023,20 anos,Feminino,Solteiro(a),Branca,Brasileiro(a),Já concluí o Ensino Médio,2021,Não respondeu,NA,Não,NA,NA,NA,NA,NA,NA,NA,2507507,João Pessoa,25,PB,Presente na prova,Presente na prova,Presente na prova,Presente na prova,Rosa,Amarela,Amarela,Cinza,668.8,698.2,658.7,695.8,CEDBABDBCCBEBEDDCCEEAACEDAABABBCCDCECAAACBDBE,DBAADEADCDCABABCDDEBDDEDAECABCACECDAECBDAABCD,BBAEACAEAEDBACBCACABEAACAAAECBBEEBECADDDCDDAC,EBDADDEEBEAADDDEEBBCCAECADECCDDCBDDBEBCABCDDC,Espanhol,CDDDABBABDBEABDECCEEEDCEDAEBABDCCAACCCADACDBE,DBAADEADCDCABABCDDEBAEABAECABAACECDAECBDAABCD,BBBDAABAEACCEEEDEACBCACAACAACAAAECBBEDBCCADBDEDDAC,EBDADDAEBEACBEDCECCBEABCADEBCCBCCDEBDDAABBADD,Sem problemas,160,200,200,180,200,940,"Completou a Faculdade, mas não completou a Pós-graduação",Completou a Pós-graduação,Grupo 4 (Verificar a definição no dicionário de dados),Grupo 4 (Verificar a definição no dicionário de dados),4,"De R$ 3.960,01 até R$ 5.280,00.",Não,"Sim, três","Sim, três","Sim, um","Sim, um","Sim, um","Sim, um","Sim, um","Sim, um",Não,Não,Não,"Sim, três",Não,Não,"Sim, quatro ou mais",Não,"Sim, três",Sim
210060467413,2023,19 anos,Masculino,Solteiro(a),Branca,Brasileiro(a),Já concluí o Ensino Médio,2021,Não respondeu,NA,Não,NA,NA,NA,NA,NA,NA,NA,2507507,João Pessoa,25,PB,Presente na prova,Presente na prova,Presente na prova,Presente na prova,Rosa,Amarela,Amarela,Cinza,627.4,537,466.4,538.4,CDCABCCCEDBECEDECDEDACCADABDCBBCCBDCBAABBCEEE,DBAAAEACCDDADABCEAEBAECBAEBDBBADCAEEADCBAADBE,BBBAACBEAEDEABBCBCAACDEEDABCBADEEDADACDEBEDCA,EABACDEEDEEDBCBDDBBBBAEACCBCCCBDBEADBDBBCCCCB,Inglês,CDDDABBABDBEABDECCEEEDCEDAEBABDCCAACCCADACDBE,DBAADEADCDCABABCDDEBAEABAECABAACECDAECBDAABCD,BBBDAABAEACCEEEDEACBCACAACAACAAAECBBEDBCCADBDEDDAC,EBDADDAEBEACBEDCECCBEABCADEBCCBCCDEBDDAABBADD,Sem problemas,160,200,160,200,160,880,Completou a Pós-graduação,"Completou o Ensino Médio, mas não completou a Faculdade",Grupo 5 (Verificar a definição no dicionário de dados),Grupo 2 (Verificar a definição no dicionário de dados),4,"De R$ 9.240,01 até R$ 10.560,00.","Sim, um ou dois dias por semana","Sim, quatro ou mais","Sim, quatro ou mais","Sim, dois",Não,"Sim, um","Sim, dois","Sim, um","Sim, um","Sim, um",Não,Não,"Sim, um",Sim,Sim,"Sim, quatro ou mais",Sim,"Sim, dois",Sim
210058926286,2023,17 anos,Masculino,Solteiro(a),Branca,Brasileiro(a),Estou cursando e concluirei o Ensino Médio em 2023,Não informado,Pública,Ensino Regular,Não,2507507,João Pessoa,25,PB,Estadual,Urbana,Em atividade,2507507,João Pessoa,25,PB,Presente na prova,Presente na prova,Presente na prova,Presente na prova,Cinza,Rosa,Rosa,Rosa,538.6,608.1,541,683.2,CCEDEEAEEEEBDACCDABEBCCADBACBBBDCBEAACEDBEBCB,DBCDCBDACDAECCEBAADDDACEBADBBADBCECABADCEAADE,BAACEDAEEBEEACCABBAAEDDBABECEAABBDCDBAEDDACDC,EBDAECCBDDCABCDCCABCDDAEDDDEACDAAAEDECABCECBC,Espanhol,CEDAEEDEECCEBADCCCABBABCAACDDDACDBEABDCDBEABD,ABCDCBDACDAEACEECABADBEABADEBAABCDCABADCDAADE,BDBBABAAAEAAECBBEAACAAACEACBCACCCEDEDADBDBEEDDACCC,EBDEEBDADDABCCBCCABBADDBDDAEAEABCBEDECADCECCB,Sem problemas,160,200,160,200,180,900,"Completou a 4ª série/5º ano, mas não completou a 8ª série/9º ano do ensino fundamental",Não sei,Não Sei,Grupo 2 (Verificar a definição no dicionário de dados),3,"De R$ 1.320,01 até R$ 1.980,00.",Não,"Sim, um","Sim, dois",Não,Não,"Sim, um","Sim, um","Sim, um",Não,"Sim, um",Não,Não,"Sim, um",Não,Não,"Sim, três",Não,"Sim, um",Sim
210058420366,2023,23 anos,Feminino,Não informado,Parda,Brasileiro(a),Já concluí o Ensino Médio,2018,Não respondeu,NA,Não,NA,NA,NA,NA,NA,NA,NA,2507507,João Pessoa,25,PB,Presente na prova,Presente na prova,Presente na prova,Presente na prova,Rosa,Amarela,Amarela,Cinza,544.8,613.4,638.8,444.9,EEBDDDBAEDBADEEBCBECABCEDCBBCDBDCEDDCCCEBCABA,DCAADEADCDCEBCBCECEBCEECBACEDDACECDAECBDDABCD,CEAEACBEEDDCACBAACAACAACAAAECBBECBCEADCDCDDEC,EDEBCDBCCEACEEECABDBBCDBCBACBCCCBDBCCCCAACCED,Espanhol,CDDDABBABDBEABDECCEEEDCEDAEBABDCCAACCCADACDBE,DBAADEADCDCABABCDDEBAEABAECABAACECDAECBDAABCD,BBBDAABAEACCEEEDEACBCACAACAACAAAECBBEDBCCADBDEDDAC,EBDADDAEBEACBEDCECCBEABCADEBCCBCCDEBDDAABBADD,Sem problemas,140,180,120,120,140,700,"Completou o Ensino Médio, mas não completou a Faculdade","Completou o Ensino Médio, mas não completou a Faculdade",Grupo 1 (Verificar a definição no dicionário de dados),Grupo 1 (Verificar a definição no dicionário de dados),5,"De R$ 1.320,01 até R$ 1.980,00.",Não,"Sim, um","Sim, dois",Não,"Sim, um","Sim, um","Sim, um",Não,Não,Não,Não,Não,"Sim, um",Não,Não,"Sim, dois",Não,"Sim, um",Sim
210061917290,2023,19 anos,Masculino,Solteiro(a),Branca,Brasileiro(a),Já concluí o Ensino Médio,2021,Não respondeu,NA,Não,NA,NA,NA,NA,NA,NA,NA,2507507,João Pessoa,25,PB,Presente na prova,Presente na prova,Presente na prova,Presente na prova,Amarela,Azul,Azul,Amarela,461.7,601.9,596.5,361.9,EECDCEBBADBEAACACBCEEBEACDACDDBCCBEDDACBDEACC,BDBDBDABDCCEAADECBDAAECDCDBADCCBADADBEEDEBCDA,BBDABDECEEDCCABADBDEDCAEABACEEEDCDAACABBBBAAC,BDDDCBEBACBCEDACBADECADACDBEBAACDDBCADADEBCDA,Inglês,CAAADCCCCDDDABDCACDBEEEDCEDAEECCDBEABDBABBAEB,CDAEECABAACEAADECBDAABCDCABADCDEABAABCDDEBADB,BBDABAAEBADACEEDCCDBADBDEDCCEBCACEACAACAACACBBEAAE,DCECACCBDECBEEABEABDDAADDABBBCCBCCDDAEBDADEEB,Sem problemas,120,180,120,140,160,720,Completou a Pós-graduação,Completou a Pós-graduação,Grupo 4 (Verificar a definição no dicionário de dados),Grupo 4 (Verificar a definição no dicionário de dados),4,"De R$ 15.840,01 até R$19.800,00.",Não,"Sim, dois","Sim, dois","Sim, dois",Não,"Sim, um","Sim, um",Não,Não,Não,Não,Não,"Sim, um",Não,Sim,"Sim, quatro ou mais",Sim,"Sim, quatro ou mais",Sim
210059623543,2023,22 anos,Feminino,Solteiro(a),Parda,Brasileiro(a),Já concluí o Ensino Médio,2018,Não respondeu,NA,Não,NA,NA,NA,NA,NA,NA,NA,2507507,João Pessoa,25,PB,Presente na prova,Presente na prova,Presente na prova,Presente na prova,Rosa,Amarela,Amarela,Cinza,737.4,665.9,676.3,812.5,CADBBBBACDBEAEDEBCEEEDCEDAEBABDCCDCCCCADDCDEE,DBAADEEDCDCDBDBEDDBBCEACAECABDACECDAECBDAABCD,BBBDACAEEEDAACBBACAAEAACAEAECBBEDBBCADCDCDDAC,EBDAAD.EBEACAEBCECBCEABCADEBCCBCBDEBDDAABABDB,Inglês,CDDDABBABDBEABDECCEEEDCEDAEBABDCCAACCCADACDBE,DBAADEADCDCABABCDDEBAEABAECABAACECDAECBDAABCD,BBBDAABAEACCEEEDEACBCACAACAACAAAECBBEDBCCADBDEDDAC,EBDADDAEBEACBEDCECCBEABCADEBCCBCCDEBDDAABBADD,Sem problemas,160,200,160,200,200,920,"Completou o Ensino Médio, mas não completou a Faculdade","Completou a 8ª série/9º ano do ensino fundamental, mas não completou o Ensino Médio",Não Sei,Grupo 2 (Verificar a definição no dicionário de dados),3,"Até R$ 1.320,00",Não,"Sim, dois","Sim, dois",Não,"Sim, um","Sim, um",Não,"Sim, um",Não,Não,Não,Não,Não,Não,Não,"Sim, um",Não,"Sim, um",Sim
