nu_inscricao,nu_ano,tp_faixa_etaria,tp_sexo,tp_estado_civil,tp_cor_raca,tp_nacionalidade,tp_st_conclusao,tp_ano_concluiu,tp_escola,tp_ensino,in_treineiro,co_municipio_esc,no_municipio_esc,co_uf_esc,sg_uf_esc,tp_dependencia_adm_esc,tp_localizacao_esc,tp_sit_func_esc,co_municipio_prova,no_municipio_prova,co_uf_prova,sg_uf_prova,tp_presenca_cn,tp_presenca_ch,tp_presenca_lc,tp_presenca_mt,co_prova_cn,co_prova_ch,co_prova_lc,co_prova_mt,nu_nota_cn,nu_nota_ch,nu_nota_lc,nu_nota_mt,tx_respostas_cn,tx_respostas_ch,tx_respostas_lc,tx_respostas_mt,tp_lingua,tx_gabarito_cn,tx_gabarito_ch,tx_gabarito_lc,tx_gabarito_mt,tp_status_redacao,nu_nota_comp1,nu_nota_comp2,nu_nota_comp3,nu_nota_comp4,nu_nota_comp5,nu_nota_redacao,q001,q002,q003,q004,q005,q006,q007,q008,q009,q010,q011,q012,q013,q014,q015,q016,q017,q018,q019,q020,q021,q022,q023,q024,q025
210061345927,2023,17 anos,Masculino,Solteiro(a),Branca,Brasileiro(a),Estou cursando e concluirei o Ensino Médio após 2023,Não informado,Não respondeu,NA,Sim,NA,NA,NA,NA,NA,NA,NA,3549805,São José do Rio Preto,35,SP,Presente na prova,Presente na prova,Presente na prova,Presente na prova,Amarela,Azul,Azul,Amarela,643.3,644.3,606,782.5,CECADECACEEBEECCDDEBEECDCDDAEDCDDBEEDDBCBBCBB,CDAEEAEBAACEAABECBDAABCACABADCDCEAAEBCDDEACDB,BBCABCACAEDBCDBADADEDCCEBBABDAEDADACCADBBEEAE,DAECACBBCDCBEECBEABCDADDAABDECCACCADDEBDADEEB,Inglês,CAAADCCCCDDDABDCACDBEEEDCEDAEECCDBEABDBABBAEB,CDAEECABAACEAADECBDAABCDCABADCDEABAABCDDEBADB,BBDABAAEBADACEEDCCDBADBDEDCCEBCACEACAACAACACBBEAAE,DCECACCBDECBEEABEABDDAADDABBBCCBCCDDAEBDADEEB,Sem problemas,160,160,120,160,200,800,"Completou a Faculdade, mas não completou a Pós-graduação","Completou a Faculdade, mas não completou a Pós-graduação",Não Sei,Grupo 5 (Verificar a definição no dicionário de dados),3,"De R$ 3.300,01 até R$ 3.960,00.",Não,"Sim, dois","Sim, três","Sim, um",Não,"Sim, um",Não,"Sim, um",Não,"Sim, um",Não,Não,"Sim, três",Não,Não,"Sim, três",Não,"Sim, dois",Sim
210061116006,2023,Menor de 17 anos,Masculino,Solteiro(a),Branca,Brasileiro(a),Estou cursando e concluirei o Ensino Médio após 2023,Não informado,Não respondeu,NA,Sim,NA,NA,NA,NA,NA,NA,NA,3549805,São José do Rio Preto,35,SP,Presente na prova,Presente na prova,Presente na prova,Presente na prova,Cinza,Rosa,Rosa,Rosa,450.1,429.7,484.8,583.5,CDCDBECEEBDCCBADBAABBBCBECAEBBABCEDCBCEEBCEEE,AEBD.C.BAADAAEEBDCBDDCEDABBACDEADBCEDBDCCDEDC,CBDBBCADEDBEACEEBDBECAABDCCBEDDBBEBDBEEADCD.D,CDDBEEDACCDCBCCCCEA.DDDDCBAEACABCADDCCCDDDECD,Inglês,CEDAEEDEECCEBADCCCABBABCAACDDDACDBEABDCDBEABD,ABCDCBDACDAEACEECABADBEABADEBAABCDCABADCDAADE,BDBBABAAAEAAECBBEAACAAACEACBCACCCEDEDADBDBEEDDACCC,EBDEEBDADDABCCBCCABBADDBDDAEAEABCBEDECADCECCB,Sem problemas,80,100,80,60,20,340,"Completou a Faculdade, mas não completou a Pós-graduação",Completou a Pós-graduação,Grupo 5 (Verificar a definição no dicionário de dados),Grupo 5 (Verificar a definição no dicionário de dados),3,"De R$ 10.560,01 até R$ 11.880,00.",Não,"Sim, dois","Sim, três","Sim, dois","Sim, um","Sim, um","Sim, um","Sim, um",Não,"Sim, um",Não,Sim,"Sim, três",Não,Sim,"Sim, quatro ou mais",Sim,"Sim, três",Sim
210060580678,2023,20 anos,Feminino,Solteiro(a),Parda,Brasileiro(a),Já concluí o Ensino Médio,2020,Não respondeu,NA,Não,NA,NA,NA,NA,NA,NA,NA,3549805,São José do Rio Preto,35,SP,Presente na prova,Presente na prova,Presente na prova,Presente na prova,Cinza,Rosa,Rosa,Rosa,662,663.4,607.8,821.4,CBDACACEECEABADCCAAABCBBABCDADADDBCABCCDBEEEB,ABCCCBDADDAEACDEAEBCDBEAACDEBCABCDCABADCDAADE,CDBBAAADCBBEAADABAEBAEBBACCBEDEDADCABAEDCECBC,EBDEEBDA.EEBCCBCCABBADDABDDEBEABCBEDEEADCECDB,Inglês,CEDAEEDEECCEBADCCCABBABCAACDDDACDBEABDCDBEABD,ABCDCBDACDAEACEECABADBEABADEBAABCDCABADCDAADE,BDBBABAAAEAAECBBEAACAAACEACBCACCCEDEDADBDBEEDDACCC,EBDEEBDADDABCCBCCABBADDBDDAEAEABCBEDECADCECCB,Sem problemas,160,200,200,180,140,880,"Completou a Faculdade, mas não completou a Pós-graduação","Completou o Ensino Médio, mas não completou a Faculdade",Grupo 4 (Verificar a definição no dicionário de dados),Grupo 2 (Verificar a definição no dicionário de dados),3,"De R$ 2.640,01 até R$ 3.300,00.",Não,"Sim, três","Sim, três","Sim, dois","Sim, um","Sim, um","Sim, um","Sim, um",Não,"Sim, um","Sim, um",Sim,"Sim, dois",Não,Não,"Sim, três",Não,"Sim, um",Sim
210061765394,2023,Menor de 17 anos,Feminino,Solteiro(a),Branca,Brasileiro(a),Estou cursando e concluirei o Ensino Médio após 2023,Não informado,Não respondeu,NA,Sim,NA,NA,NA,NA,NA,NA,NA,3549805,São José do Rio Preto,35,SP,Presente na prova,Presente na prova,Presente na prova,Presente na prova,Cinza,Rosa,Rosa,Rosa,532.2,561.5,578.4,696.4,BCDACABCCCEBBCCBABCECBCEEDCCBDBBEEECEACDBDEDC,ABCDBCDDCDEEACBEABBADAEEBBDEADCBCADEBADCDBADB,CDBBAAAECBBEAADABBBEAEBBECCBBDCABDDDBAEDDBBBC,EBDCEBDAADDBCCBCDABCCDABADDEBECBADACEEBBCABBC,Inglês,CEDAEEDEECCEBADCCCABBABCAACDDDACDBEABDCDBEABD,ABCDCBDACDAEACEECABADBEABADEBAABCDCABADCDAADE,BDBBABAAAEAAECBBEAACAAACEACBCACCCEDEDADBDBEEDDACCC,EBDEEBDADDABCCBCCABBADDBDDAEAEABCBEDECADCECCB,Sem problemas,160,180,160,160,200,860,"Completou o Ensino Médio, mas não completou a Faculdade","Completou a Faculdade, mas não completou a Pós-graduação",Grupo 4 (Verificar a definição no dicionário de dados),Grupo 2 (Verificar a definição no dicionário de dados),3,"De R$ 7.920,01 até R$ 9240,00.",Não,"Sim, dois","Sim, três","Sim, um",Não,"Sim, um","Sim, um","Sim, um",Não,"Sim, um",Não,Não,"Sim, um",Sim,Não,"Sim, três",Não,Não,Sim
210058093796,2023,17 anos,Feminino,Solteiro(a),Branca,Brasileiro(a),Estou cursando e concluirei o Ensino Médio em 2023,Não informado,Pública,Ensino Regular,Não,3549805,São José do Rio Preto,35,SP,Estadual,Urbana,Em atividade,3549805,São José do Rio Preto,35,SP,Presente na prova,Presente na prova,Presente na prova,Presente na prova,Rosa,Amarela,Amarela,Cinza,503.5,502.7,463.8,475.8,AECAAEBBCEBECEAEEBCDEBCABAECEBCDEECCAEEEDCCDE,ECEADECCCAEDDDBAADEEDEEADCCEEAAEECDCDBACDABCD,DDBDBDBEAEACECDBACCCBEAEEAABDCBDDBDEBAAABDBEC,EDDADEDEBCBCDCACCBEBDACAECCACDABBDCECDEDAEACB,Inglês,CDDDABBABDBEABDECCEEEDCEDAEBABDCCAACCCADACDBE,DBAADEADCDCABABCDDEBAEABAECABAACECDAECBDAABCD,BBBDAABAEACCEEEDEACBCACAACAACAAAECBBEDBCCADBDEDDAC,EBDADDAEBEACBEDCECCBEABCADEBCCBCCDEBDDAABBADD,Sem problemas,140,160,120,120,140,680,Não sei,"Completou a 8ª série/9º ano do ensino fundamental, mas não completou o Ensino Médio",Grupo 4 (Verificar a definição no dicionário de dados),Grupo 2 (Verificar a definição no dicionário de dados),3,"De R$ 3.300,01 até R$ 3.960,00.",Não,"Sim, um","Sim, um",Não,Não,"Sim, um","Sim, um",Não,Não,Não,Não,Não,"Sim, um",Não,Não,"Sim, um",Não,Não,Sim
210061655233,2023,18 anos,Feminino,Solteiro(a),Preta,Brasileiro(a),Estou cursando e concluirei o Ensino Médio em 2023,Não informado,Pública,Ensino Regular,Não,3549805,São José do Rio Preto,35,SP,Estadual,Urbana,Em atividade,3549805,São José do Rio Preto,35,SP,Presente na prova,Presente na prova,Presente na prova,Presente na prova,Amarela,Azul,Azul,Amarela,463.6,571.2,537.6,528.2,EDCCDEDBAABECCDBABCEABECCDBCECCBEBCAEDBADADBC,DEAECABBAACEAADEABDAABCDDCBCDCAEEBAABEAABAADA,BCBABDACABDBCBCBBDDBACAEBBACBACCBBACDAACBECAE,ABBDCCDBCAEDCDBCEABCDEBDBBABECCCBADEDBADADBEA,Inglês,CAAADCCCCDDDABDCACDBEEEDCEDAEECCDBEABDBABBAEB,CDAEECABAACEAADECBDAABCDCABADCDEABAABCDDEBADB,BBDABAAEBADACEEDCCDBADBDEDCCEBCACEACAACAACACBBEAAE,DCECACCBDECBEEABEABDDAADDABBBCCBCCDDAEBDADEEB,Sem problemas,120,120,120,120,120,600,"Completou o Ensino Médio, mas não completou a Faculdade","Completou o Ensino Médio, mas não completou a Faculdade",Grupo 2 (Verificar a definição no dicionário de dados),Grupo 4 (Verificar a definição no dicionário de dados),4,"Até R$ 1.320,00",Não,"Sim, um","Sim, dois","Sim, um","Sim, um","Sim, um","Sim, um","Sim, um",Não,"Sim, um",Não,Não,"Sim, um",Sim,Sim,"Sim, três",Não,"Sim, um",Sim
210058104337,2023,19 anos,Feminino,Solteiro(a),Branca,Brasileiro(a),Já concluí o Ensino Médio,2021,Não respondeu,NA,Não,NA,NA,NA,NA,NA,NA,NA,3549805,São José do Rio Preto,35,SP,Presente na prova,Presente na prova,Presente na prova,Presente na prova,Rosa,Amarela,Amarela,Cinza,651.4,685,597,735,CDBDABEBCCBEEDDECCECABCBDAABABDCCDEDABADDECCE,DBAADEBDCDCABABCEDEBAEABAECABCECECDAECCDAABCD,BCBAACAEADDEAABBACBBCAADAAADABBECBCCADEDCDDAC,EBDACDBEDEBABEDCDBCEECBAADDACCBCBDEBBDAABABDA,Inglês,CDDDABBABDBEABDECCEEEDCEDAEBABDCCAACCCADACDBE,DBAADEADCDCABABCDDEBAEABAECABAACECDAECBDAABCD,BBBDAABAEACCEEEDEACBCACAACAACAAAECBBEDBCCADBDEDDAC,EBDADDAEBEACBEDCECCBEABCADEBCCBCCDEBDDAABBADD,Sem problemas,160,200,200,180,180,920,Completou a Pós-graduação,Completou a Pós-graduação,Grupo 4 (Verificar a definição no dicionário de dados),Grupo 4 (Verificar a definição no dicionário de dados),3,"De R$ 7.920,01 até R$ 9240,00.",Não,"Sim, dois","Sim, três","Sim, um","Sim, um","Sim, um","Sim, um","Sim, um","Sim, um","Sim, um","Sim, um",Sim,"Sim, três",Não,Não,"Sim, quatro ou mais",Não,"Sim, dois",Sim
210061627807,2023,17 anos,Masculino,Solteiro(a),Branca,Brasileiro(a),Estou cursando e concluirei o Ensino Médio após 2023,Não informado,Não respondeu,NA,Sim,NA,NA,NA,NA,NA,NA,NA,3549805,São José do Rio Preto,35,SP,Presente na prova,Presente na prova,Presente na prova,Presente na prova,Rosa,Amarela,Amarela,Cinza,670.6,654.7,605.8,872.6,AECDCCEBEEBECBDECDEAEDCEDAABABACAAABCEADDCBBE,DBAEDEEDCDCABDBCEDEBDEABBECABBACECDEDCBDAABCD,BBBDBCCEEEDEACDBACAABACCAEADDBBEEBCDADAACDDAD,EBDADDAEBEACBEBCECCBEDBCECEBCCBCDDEBDDAABBADD,Inglês,CDDDABBABDBEABDECCEEEDCEDAEBABDCCAACCCADACDBE,DBAADEADCDCABABCDDEBAEABAECABAACECDAECBDAABCD,BBBDAABAEACCEEEDEACBCACAACAACAAAECBBEDBCCADBDEDDAC,EBDADDAEBEACBEDCECCBEABCADEBCCBCCDEBDDAABBADD,Sem problemas,160,200,160,200,200,920,Não sei,Completou a Pós-graduação,Grupo 2 (Verificar a definição no dicionário de dados),Grupo 4 (Verificar a definição no dicionário de dados),3,"De R$ 3.300,01 até R$ 3.960,00.",Não,"Sim, dois","Sim, três","Sim, um",Não,"Sim, um",Não,Não,Não,"Sim, um",Não,Sim,"Sim, três",Sim,Sim,"Sim, três",Não,Não,Sim
210061538708,2023,18 anos,Masculino,Solteiro(a),Branca,Brasileiro(a),Estou cursando e concluirei o Ensino Médio em 2023,Não informado,Pública,Ensino Regular,Não,NA,NA,NA,NA,NA,NA,NA,3549805,São José do Rio Preto,35,SP,Presente na prova,Presente na prova,Presente na prova,Presente na prova,Cinza,Rosa,Rosa,Rosa,478.4,483.4,525.9,633.4,CAAAAADBCEEEAEEDAEAABCCEEEBCBABBAAECAAAEBEEEB,AEDDACDACDCDACDCAABBDDECAADCAAABDEEEBBACADBAC,DEBBBCAEACBCAAEAAAABACCBEACEADEBDDAABEDDDACBA,EEDCBCDAAEDACCBDACBDCECCBDBEAEABCADCECACCACCA,Inglês,CEDAEEDEECCEBADCCCABBABCAACDDDACDBEABDCDBEABD,ABCDCBDACDAEACEECABADBEABADEBAABCDCABADCDAADE,BDBBABAAAEAAECBBEAACAAACEACBCACCCEDEDADBDBEEDDACCC,EBDEEBDADDABCCBCCABBADDBDDAEAEABCBEDECADCECCB,Sem problemas,120,40,40,80,40,320,"Completou o Ensino Médio, mas não completou a Faculdade",Completou a Pós-graduação,Grupo 5 (Verificar a definição no dicionário de dados),Grupo 4 (Verificar a definição no dicionário de dados),4,"De R$ 6.600,01 até R$ 7.920,00.",Não,"Sim, dois","Sim, dois","Sim, um","Sim, um","Sim, um","Sim, um","Sim, um",Não,"Sim, um",Não,Sim,"Sim, dois",Não,Não,"Sim, quatro ou mais",Não,"Sim, um",Sim
210058216788,2023,17 anos,Feminino,Solteiro(a),Branca,Brasileiro(a),Estou cursando e concluirei o Ensino Médio em 2023,Não informado,Privada,Ensino Regular,Não,3549805,São José do Rio Preto,35,SP,Privada,Urbana,Em atividade,3549805,São José do Rio Preto,35,SP,Presente na prova,Presente na prova,Presente na prova,Presente na prova,Rosa,Amarela,Amarela,Cinza,545.1,601.2,543.6,444.4,AAAACACCADBEEACCCCEDACCADADCDABBEDECBEEACCBBC,DBAADEADCDCABBACEDCBEEEBDDCDCAACEDDCECBCAABCD,BDBABCAEEEDBDEBBAEEBBAACAEABEBBEDBCABDCAADAAD,EBEDEDBCEBABBDCADADBBADBCEEBCDDEBEDBCCEAACDCE,Inglês,CDDDABBABDBEABDECCEEEDCEDAEBABDCCAACCCADACDBE,DBAADEADCDCABABCDDEBAEABAECABAACECDAECBDAABCD,BBBDAABAEACCEEEDEACBCACAACAACAAAECBBEDBCCADBDEDDAC,EBDADDAEBEACBEDCECCBEABCADEBCCBCCDEBDDAABBADD,Sem problemas,140,200,140,180,180,840,Não sei,"Completou o Ensino Médio, mas não completou a Faculdade",Não Sei,Grupo 3 (Verificar a definição no dicionário de dados),3,"De R$ 6.600,01 até R$ 7.920,00.",Não,"Sim, dois","Sim, três","Sim, um",Não,"Sim, dois","Sim, um","Sim, um",Não,"Sim, um",Não,Não,"Sim, três",Sim,Sim,"Sim, três",Sim,"Sim, dois",Sim
