nu_inscricao,nu_ano,tp_faixa_etaria,tp_sexo,tp_estado_civil,tp_cor_raca,tp_nacionalidade,tp_st_conclusao,tp_ano_concluiu,tp_escola,tp_ensino,in_treineiro,co_municipio_esc,no_municipio_esc,co_uf_esc,sg_uf_esc,tp_dependencia_adm_esc,tp_localizacao_esc,tp_sit_func_esc,co_municipio_prova,no_municipio_prova,co_uf_prova,sg_uf_prova,tp_presenca_cn,tp_presenca_ch,tp_presenca_lc,tp_presenca_mt,co_prova_cn,co_prova_ch,co_prova_lc,co_prova_mt,nu_nota_cn,nu_nota_ch,nu_nota_lc,nu_nota_mt,tx_respostas_cn,tx_respostas_ch,tx_respostas_lc,tx_respostas_mt,tp_lingua,tx_gabarito_cn,tx_gabarito_ch,tx_gabarito_lc,tx_gabarito_mt,tp_status_redacao,nu_nota_comp1,nu_nota_comp2,nu_nota_comp3,nu_nota_comp4,nu_nota_comp5,nu_nota_redacao,q001,q002,q003,q004,q005,q006,q007,q008,q009,q010,q011,q012,q013,q014,q015,q016,q017,q018,q019,q020,q021,q022,q023,q024,q025
210059738856,2023,Entre 26 e 30 anos,Masculino,Solteiro(a),Preta,Brasileiro(a),Já concluí o Ensino Médio,Não informado,Não respondeu,NA,Não,NA,NA,NA,NA,NA,NA,NA,3118601,Contagem,31,MG,Presente na prova,Presente na prova,Presente na prova,Presente na prova,Rosa,Amarela,Amarela,Cinza,389.6,324.7,433.8,366.1,ABCBACECBEBAADCDDACAADEBEDDDDDDBDEDDACDCACCCB,ECAABDBBEAEDCCBABBEDDBCCBAABDEABCAAEDAACCDCCE,BACDAABEEEEBABABEDBAAACCCEABBCAEEAABBEECDAACE,DDEAAADCACCBCEEAABCBEABACEDADBCBABEDCBECAEBEC,Inglês,CDDDABBABDBEABDECCEEEDCEDAEBABDCCAACCCADACDBE,DBAADEADCDCABABCDDEBAEABAECABAACECDAECBDAABCD,BBBDAABAEACCEEEDEACBCACAACAACAAAECBBEDBCCADBDEDDAC,EBDADDAEBEACBEDCECCBEABCADEBCCBCCDEBDDAABBADD,Sem problemas,100,100,100,100,0,400,Nunca estudou,"Completou a 8ª série/9º ano do ensino fundamental, mas não completou o Ensino Médio",Grupo 2 (Verificar a definição no dicionário de dados),Grupo 2 (Verificar a definição no dicionário de dados),1,"Até R$ 1.320,00",Não,"Sim, um","Sim, um",Não,Não,"Sim, um",Não,Não,Não,Não,Não,Não,"Sim, um",Não,Não,"Sim, um",Não,Não,Não
210061020975,2023,18 anos,Masculino,Solteiro(a),Preta,Brasileiro(a),Estou cursando e concluirei o Ensino Médio em 2023,Não informado,Pública,Ensino Regular,Não,3118601,Contagem,31,MG,Estadual,Urbana,Em atividade,3118601,Contagem,31,MG,Presente na prova,Presente na prova,Presente na prova,Presente na prova,Amarela,Azul,Azul,Amarela,510.7,535.6,573,548.6,EACEEDBBEBCABDCDCACEBCDACBDADEADBBEACCDAABBAC,CDDECDBDCAEAADDECBABAECDBEBEDCDAEBADDCCEDADDA,BAEBADACEEDACDBADADDABBEBBDBBACCDBAEEADBBEDAE,ECABCBEECDCADDADCACDEBCDBDADECBCCDADDEAEADBEB,Espanhol,CAAADCCCCDDDABDCACDBEEEDCEDAEECCDBEABDBABBAEB,CDAEECABAACEAADECBDAABCDCABADCDEABAABCDDEBADB,BBDABAAEBADACEEDCCDBADBDEDCCEBCACEACAACAACACBBEAAE,DCECACCBDECBEEABEABDDAADDABBBCCBCCDDAEBDADEEB,Sem problemas,120,120,120,120,100,580,"Completou a 4ª série/5º ano, mas não completou a 8ª série/9º ano do ensino fundamental",Completou a Pós-graduação,Grupo 3 (Verificar a definição no dicionário de dados),Grupo 4 (Verificar a definição no dicionário de dados),3,"De R$ 3.300,01 até R$ 3.960,00.",Não,"Sim, um","Sim, três","Sim, um",Não,"Sim, um","Sim, um","Sim, um",Não,"Sim, um",Não,Não,"Sim, dois",Sim,Sim,"Sim, quatro ou mais",Sim,"Sim, um",Sim
210061909583,2023,17 anos,Feminino,Solteiro(a),Branca,Brasileiro(a),Estou cursando e concluirei o Ensino Médio em 2023,Não informado,Pública,Ensino Regular,Não,NA,NA,NA,NA,NA,NA,NA,3118601,Contagem,31,MG,Presente na prova,Presente na prova,Presente na prova,Presente na prova,Amarela,Azul,Azul,Amarela,502.2,576.2,557,585.6,CEBEADCBCEBBCCCAACEBACEECDBADEBCEBCADDBAEDCBD,CEBEBADCAACDAAEEBBDAABCDCADEDCDDEAADBAADEACDE,ABCBABABAEDBDDBAAADEDCBEABAC.BCBBBAAEACCBEAAB,BABAABDACADACEBCEBACCEBDBEBDBBCCCCEDDEABADDEE,Espanhol,CAAADCCCCDDDABDCACDBEEEDCEDAEECCDBEABDBABBAEB,CDAEECABAACEAADECBDAABCDCABADCDEABAABCDDEBADB,BBDABAAEBADACEEDCCDBADBDEDCCEBCACEACAACAACACBBEAAE,DCECACCBDECBEEABEABDDAADDABBBCCBCCDDAEBDADEEB,Sem problemas,120,160,120,120,60,580,Não sei,Completou a Pós-graduação,Grupo 3 (Verificar a definição no dicionário de dados),Grupo 4 (Verificar a definição no dicionário de dados),2,"De R$ 1.980,01 até R$ 2.640,00.",Não,"Sim, um","Sim, dois",Não,Não,"Sim, um",Não,Não,Não,Não,Não,Não,"Sim, um",Não,Não,"Sim, um",Não,Não,Sim
210060222168,2023,20 anos,Feminino,Solteiro(a),Preta,Brasileiro(a) Naturalizado(a),Já concluí o Ensino Médio,2022,Não respondeu,NA,Não,NA,NA,NA,NA,NA,NA,NA,3118601,Contagem,31,MG,Presente na prova,Presente na prova,Presente na prova,Presente na prova,Cinza,Rosa,Rosa,Rosa,325.7,506.6,510.9,403.5,EACBBDCBBCDBCCEDBDCCDCCEDDDBBACEEADDDABBACCAB,ABCDEADBBEDCDCDABDCADBBBAACBBDABAAEEEEDCAAABE,EABBAEACDBBEBADABBDDCABAABAAEDABADDDBABDCAABE,ECDBBCCDCEDCBDABAABDBABDBCABDCABEBABADCBBBABA,Inglês,CEDAEEDEECCEBADCCCABBABCAACDDDACDBEABDCDBEABD,ABCDCBDACDAEACEECABADBEABADEBAABCDCABADCDAADE,BDBBABAAAEAAECBBEAACAAACEACBCACCCEDEDADBDBEEDDACCC,EBDEEBDADDABCCBCCABBADDBDDAEAEABCBEDECADCECCB,Sem problemas,120,120,120,100,100,560,Não completou a 4ª série/5º ano do ensino fundamental,"Completou o Ensino Médio, mas não completou a Faculdade",Grupo 4 (Verificar a definição no dicionário de dados),Grupo 1 (Verificar a definição no dicionário de dados),5,"De R$ 1.320,01 até R$ 1.980,00.",Não,"Sim, dois","Sim, quatro ou mais","Sim, um","Sim, um","Sim, um",Não,"Sim, um",Não,"Sim, um",Não,Não,Não,Não,Não,"Sim, um",Sim,"Sim, um",Sim
210058168552,2023,17 anos,Masculino,Solteiro(a),Parda,Brasileiro(a),Estou cursando e concluirei o Ensino Médio em 2023,Não informado,Privada,Ensino Regular,Não,3106200,Belo Horizonte,31,MG,Privada,Urbana,Em atividade,3118601,Contagem,31,MG,Presente na prova,Presente na prova,Presente na prova,Presente na prova,Rosa,Amarela,Amarela,Cinza,485.1,520,482.9,595.8,BECDAAABCDBDBDCCECAACBCABDBBAECDDEDCCEAADBBEE,DCAAEEADCBCEADDCDBCADBEABCBABECCECAADBADDABBC,BCAEDDDDDEEAABBCACEBAACDBEACCBBEDEAEECBDBADBB,ABEBADDEEBAEEDDCBBBEECBCBCDBCDDCCEBCCEAABADBA,Inglês,CDDDABBABDBEABDECCEEEDCEDAEBABDCCAACCCADACDBE,DBAADEADCDCABABCDDEBAEABAECABAACECDAECBDAABCD,BBBDAABAEACCEEEDEACBCACAACAACAAAECBBEDBCCADBDEDDAC,EBDADDAEBEACBEDCECCBEABCADEBCCBCCDEBDDAABBADD,Sem problemas,100,120,80,120,120,540,"Completou o Ensino Médio, mas não completou a Faculdade","Completou a Faculdade, mas não completou a Pós-graduação",Grupo 4 (Verificar a definição no dicionário de dados),Grupo 4 (Verificar a definição no dicionário de dados),4,"De R$ 5.280,01 até R$ 6.600,00.",Não,"Sim, dois","Sim, três","Sim, dois",Não,"Sim, um","Sim, um","Sim, um",Não,"Sim, um",Não,Não,"Sim, dois",Não,Não,"Sim, três",Não,"Sim, um",Sim
210059567109,2023,20 anos,Masculino,Solteiro(a),Parda,Brasileiro(a),Já concluí o Ensino Médio,2021,Não respondeu,NA,Não,NA,NA,NA,NA,NA,NA,NA,3118601,Contagem,31,MG,Presente na prova,Presente na prova,Presente na prova,Presente na prova,Amarela,Azul,Azul,Amarela,566.1,615.5,609.4,664.9,CAEEEACACCBBECBEDBDBCBAECADABECACBEEBAEBADABA,CDEEECAECECEAADECBDAABCDCABACCDADAEECCEEEBADB,BBDABDACAEDCCCBADCDCDCCAABADAACAAAAEDACCBBCAE,BDECABCBEEDBABACEBDBDDDDEABECCABCCADDEDEADCEE,Inglês,CAAADCCCCDDDABDCACDBEEEDCEDAEECCDBEABDBABBAEB,CDAEECABAACEAADECBDAABCDCABADCDEABAABCDDEBADB,BBDABAAEBADACEEDCCDBADBDEDCCEBCACEACAACAACACBBEAAE,DCECACCBDECBEEABEABDDAADDABBBCCBCCDDAEBDADEEB,Sem problemas,160,140,120,160,200,780,"Completou a Faculdade, mas não completou a Pós-graduação","Completou o Ensino Médio, mas não completou a Faculdade",Grupo 5 (Verificar a definição no dicionário de dados),Grupo 2 (Verificar a definição no dicionário de dados),3,"De R$ 6.600,01 até R$ 7.920,00.",Não,"Sim, um","Sim, dois","Sim, um",Não,"Sim, um","Sim, um","Sim, um",Não,"Sim, um",Não,Não,"Sim, um",Não,Não,"Sim, três",Não,"Sim, dois",Sim
210059224930,2023,19 anos,Feminino,Solteiro(a),Parda,Brasileiro(a),Estou cursando e concluirei o Ensino Médio em 2023,Não informado,Pública,Ensino Regular,Não,NA,NA,NA,NA,NA,NA,NA,3118601,Contagem,31,MG,Presente na prova,Presente na prova,Presente na prova,Presente na prova,Amarela,Azul,Azul,Amarela,353.1,454.9,467.9,402.7,EBDCEEAEADCBDEDCCEDBDEADBACADEDABCADBECBBECBE,CABADCEBDACDDADECEDBDECDADBEBAEBDEDACDCCBDEAC,BCACBDBEACDBCAEADCADBDBECADBDABBCDACBAEDBACAB,EAABDACBDBCBDAEDAEBBCDDBCBDBABECACACDEDAEDBCB,Inglês,CAAADCCCCDDDABDCACDBEEEDCEDAEECCDBEABDBABBAEB,CDAEECABAACEAADECBDAABCDCABADCDEABAABCDDEBADB,BBDABAAEBADACEEDCCDBADBDEDCCEBCACEACAACAACACBBEAAE,DCECACCBDECBEEABEABDDAADDABBBCCBCCDDAEBDADEEB,Sem problemas,80,120,80,80,80,440,Não completou a 4ª série/5º ano do ensino fundamental,Não sei,Grupo 2 (Verificar a definição no dicionário de dados),Grupo 2 (Verificar a definição no dicionário de dados),5,"De R$ 3.960,01 até R$ 5.280,00.",Não,"Sim, dois","Sim, dois",Não,Não,"Sim, um",Não,"Sim, um",Não,"Sim, um",Não,Não,"Sim, dois",Não,Não,"Sim, um",Sim,Não,Sim
210061156796,2023,19 anos,Feminino,Solteiro(a),Branca,Brasileiro(a),Já concluí o Ensino Médio,2022,Não respondeu,NA,Não,NA,NA,NA,NA,NA,NA,NA,3118601,Contagem,31,MG,Presente na prova,Presente na prova,Presente na prova,Presente na prova,Rosa,Amarela,Amarela,Cinza,497.9,502.6,503.1,636.5,AEDBAACDCEBEBEAEDDCCCECBEABBCCDBAACDADCECBCEE,DAEDDEECCDADBEECDAAAECCADAAACDAEACEDDEADDABCD,DCBBDCBEAEDDDCABACACACABAAADEBBECCBCABAAAAAAD,EDEAADDEBDACCCDDEBCCBCCCEDACCCACCDAAECBAABDDA,Inglês,CDDDABBABDBEABDECCEEEDCEDAEBABDCCAACCCADACDBE,DBAADEADCDCABABCDDEBAEABAECABAACECDAECBDAABCD,BBBDAABAEACCEEEDEACBCACAACAACAAAECBBEDBCCADBDEDDAC,EBDADDAEBEACBEDCECCBEABCADEBCCBCCDEBDDAABBADD,Sem problemas,120,160,120,120,80,600,"Completou o Ensino Médio, mas não completou a Faculdade","Completou a 4ª série/5º ano, mas não completou a 8ª série/9º ano do ensino fundamental",Grupo 3 (Verificar a definição no dicionário de dados),Grupo 2 (Verificar a definição no dicionário de dados),4,"De R$ 1.320,01 até R$ 1.980,00.",Não,"Sim, dois","Sim, três","Sim, um",Não,"Sim, um","Sim, um",Não,Não,"Sim, um",Não,Não,"Sim, dois",Não,Sim,"Sim, quatro ou mais",Não,Não,Sim
210061725370,2023,Entre 61 e 65 anos,Masculino,Casado(a)/Mora com um(a) companheiro(a),Parda,Brasileiro(a),Já concluí o Ensino Médio,Anterior a 2007,Não respondeu,NA,Não,NA,NA,NA,NA,NA,NA,NA,3118601,Contagem,31,MG,Presente na prova,Presente na prova,Presente na prova,Presente na prova,Cinza,Rosa,Rosa,Rosa,508.7,495.4,329.6,409.6,CBDAEACBEDABADCAEABAECCDEDDBCBDCCEADEDDEBEEBD,AA.D.EDBABCEE.CACAD.DDE.BD..A.....C..ADBDAADE,C...D...E.E...C.....A.B..C.AADB.A.DB..DB..B.E,EBDCBDDDCEDCBDA.CBA.EDCACBDACDABEDCABEDABACCB,Inglês,CEDAEEDEECCEBADCCCABBABCAACDDDACDBEABDCDBEABD,ABCDCBDACDAEACEECABADBEABADEBAABCDCABADCDAADE,BDBBABAAAEAAECBBEAACAAACEACBCACCCEDEDADBDBEEDDACCC,EBDEEBDADDABCCBCCABBADDBDDAEAEABCBEDECADCECCB,Sem problemas,100,140,120,120,140,620,"Completou a 4ª série/5º ano, mas não completou a 8ª série/9º ano do ensino fundamental",Não completou a 4ª série/5º ano do ensino fundamental,Grupo 3 (Verificar a definição no dicionário de dados),Não Sei,2,"De R$ 7.920,01 até R$ 9240,00.",Não,"Sim, dois","Sim, três","Sim, um",Não,"Sim, um",Não,"Sim, um",Não,Não,Não,Sim,"Sim, dois",Sim,Não,"Sim, dois",Não,"Sim, um",Sim
210061455799,2023,Menor de 17 anos,Masculino,Solteiro(a),Branca,Brasileiro(a),Estou cursando e concluirei o Ensino Médio após 2023,Não informado,Não respondeu,NA,Sim,NA,NA,NA,NA,NA,NA,NA,3118601,Contagem,31,MG,Presente na prova,Presente na prova,Presente na prova,Presente na prova,Cinza,Rosa,Rosa,Rosa,462.8,527.6,431.7,575.4,CACABECCDABDAECDDBEABCDBEDACAECEBABEABDBBECAD,ABCDCCDEDEEEACACCEBDDDABACEABDDBCABABEDCABEBE,AEDBABAEACEEDAACACBBACBBDDDACDEDBCBCCAEBCEABB,ECDBEABBDEDECCBCACBADEAADEDEABEEEAECEBDDAEBCC,Inglês,CEDAEEDEECCEBADCCCABBABCAACDDDACDBEABDCDBEABD,ABCDCBDACDAEACEECABADBEABADEBAABCDCABADCDAADE,BDBBABAAAEAAECBBEAACAAACEACBCACCCEDEDADBDBEEDDACCC,EBDEEBDADDABCCBCCABBADDBDDAEAEABCBEDECADCECCB,Sem problemas,160,160,140,160,160,780,"Completou o Ensino Médio, mas não completou a Faculdade","Completou o Ensino Médio, mas não completou a Faculdade",Grupo 3 (Verificar a definição no dicionário de dados),Grupo 2 (Verificar a definição no dicionário de dados),5,"De R$ 3.960,01 até R$ 5.280,00.",Não,"Sim, dois","Sim, três",Não,Não,"Sim, um",Não,"Sim, um",Não,Não,Não,Não,"Sim, um",Não,Não,"Sim, três",Sim,"Sim, um",Sim
