nu_inscricao,nu_ano,tp_faixa_etaria,tp_sexo,tp_estado_civil,tp_cor_raca,tp_nacionalidade,tp_st_conclusao,tp_ano_concluiu,tp_escola,tp_ensino,in_treineiro,co_municipio_esc,no_municipio_esc,co_uf_esc,sg_uf_esc,tp_dependencia_adm_esc,tp_localizacao_esc,tp_sit_func_esc,co_municipio_prova,no_municipio_prova,co_uf_prova,sg_uf_prova,tp_presenca_cn,tp_presenca_ch,tp_presenca_lc,tp_presenca_mt,co_prova_cn,co_prova_ch,co_prova_lc,co_prova_mt,nu_nota_cn,nu_nota_ch,nu_nota_lc,nu_nota_mt,tx_respostas_cn,tx_respostas_ch,tx_respostas_lc,tx_respostas_mt,tp_lingua,tx_gabarito_cn,tx_gabarito_ch,tx_gabarito_lc,tx_gabarito_mt,tp_status_redacao,nu_nota_comp1,nu_nota_comp2,nu_nota_comp3,nu_nota_comp4,nu_nota_comp5,nu_nota_redacao,q001,q002,q003,q004,q005,q006,q007,q008,q009,q010,q011,q012,q013,q014,q015,q016,q017,q018,q019,q020,q021,q022,q023,q024,q025
210059810349,2023,18 anos,Feminino,Solteiro(a),Branca,Brasileiro(a),Estou cursando e concluirei o Ensino Médio em 2023,Não informado,Pública,Ensino Regular,Não,3301702,Duque de Caxias,33,RJ,Estadual,Urbana,Em atividade,3301702,Duque de Caxias,33,RJ,Presente na prova,Presente na prova,Presente na prova,Presente na prova,Cinza,Rosa,Rosa,Rosa,503,536.1,579.2,475.5,CDBAAECDECDBBDEDCBAECCADECBEBBDCDEAECCDDBDBDB,ABCDCEDDCEBACCECCAECDAABABBAEDAECEDCBEBCDAADE,ACBBACABCBBDAACABDCBCCDBECCDEADDADCDBAEDDACCC,ECDDBECADEDCCBDBCDABBCBDCDAEECDBBACAABDCAEDDE,Inglês,CEDAEEDEECCEBADCCCABBABCAACDDDACDBEABDCDBEABD,ABCDCBDACDAEACEECABADBEABADEBAABCDCABADCDAADE,BDBBABAAAEAAECBBEAACAAACEACBCACCCEDEDADBDBEEDDACCC,EBDEEBDADDABCCBCCABBADDBDDAEAEABCBEDECADCECCB,Sem problemas,120,120,120,120,0,480,"Completou o Ensino Médio, mas não completou a Faculdade","Completou a 8ª série/9º ano do ensino fundamental, mas não completou o Ensino Médio",Grupo 3 (Verificar a definição no dicionário de dados),Grupo 2 (Verificar a definição no dicionário de dados),3,"Até R$ 1.320,00",Não,"Sim, um","Sim, três",Não,Não,"Sim, um",Não,"Sim, um",Não,"Sim, um",Não,Sim,"Sim, um",Não,Não,"Sim, dois",Não,"Sim, um",Sim
210058499727,2023,Entre 26 e 30 anos,Masculino,Solteiro(a),Preta,Brasileiro(a),Já concluí o Ensino Médio,Não informado,Não respondeu,NA,Não,NA,NA,NA,NA,NA,NA,NA,3301702,Duque de Caxias,33,RJ,Presente na prova,Presente na prova,Presente na prova,Presente na prova,Cinza,Rosa,Rosa,Rosa,452.4,462.8,458.2,389.9,EBAACADADEDAAEEDBABBDDBCACECECCAEBAEBECDBABEE,DBCDACCEBAAEAAEADAADCCACDBDBCCBDABCEBACEDAEDE,ECAAEADECBBCADEBBCCCDDDDACABECADDADBEEDDAAADE,DEDBCDEAECDEBDBEADACDCCAADEBCDEEDCBBACCBCDAEC,Espanhol,CEDAEEDEECCEBADCCCABBABCAACDDDACDBEABDCDBEABD,ABCDCBDACDAEACEECABADBEABADEBAABCDCABADCDAADE,BDBBABAAAEAAECBBEAACAAACEACBCACCCEDEDADBDBEEDDACCC,EBDEEBDADDABCCBCCABBADDBDDAEAEABCBEDECADCECCB,Sem problemas,80,120,80,80,0,360,Não sei,"Completou a 4ª série/5º ano, mas não completou a 8ª série/9º ano do ensino fundamental",Não Sei,Não Sei,6,"Até R$ 1.320,00","Sim, um ou dois dias por semana","Sim, dois","Sim, três",Não,Não,"Sim, um",Não,"Sim, um",Não,Não,Não,Não,"Sim, um",Sim,Não,"Sim, um",Não,Não,Sim
210059221521,2023,19 anos,Feminino,Solteiro(a),Preta,Brasileiro(a),Já concluí o Ensino Médio,2022,Não respondeu,NA,Não,NA,NA,NA,NA,NA,NA,NA,3301702,Duque de Caxias,33,RJ,Presente na prova,Presente na prova,Presente na prova,Presente na prova,Cinza,Rosa,Rosa,Rosa,534.3,650,559.9,474.7,CDDAEAACCDDBCCCDEEBECEBDDDCCBBDDDECBBCDEBECBC,ABCACBDACDAEACECAABCDBCACCDEBDDBCDCADADCBAADE,CABBACADCBBEAADAABDDDDBAABCDEDDDAACDBEDDCBCCD,EEDEDABABBDBCDADAEEEEBCEDDCDDBBBCCDDDDBEEDABB,Inglês,CEDAEEDEECCEBADCCCABBABCAACDDDACDBEABDCDBEABD,ABCDCBDACDAEACEECABADBEABADEBAABCDCABADCDAADE,BDBBABAAAEAAECBBEAACAAACEACBCACCCEDEDADBDBEEDDACCC,EBDEEBDADDABCCBCCABBADDBDDAEAEABCBEDECADCECCB,Sem problemas,120,180,140,140,180,760,Não sei,"Completou a 8ª série/9º ano do ensino fundamental, mas não completou o Ensino Médio",Grupo 3 (Verificar a definição no dicionário de dados),Grupo 2 (Verificar a definição no dicionário de dados),3,"Até R$ 1.320,00",Não,"Sim, um","Sim, dois",Não,Não,"Sim, um","Sim, um",Não,Não,Não,Não,Não,"Sim, um",Não,Não,"Sim, um",Não,Não,Não
210061237960,2023,Menor de 17 anos,Masculino,Solteiro(a),Branca,Brasileiro(a),Estou cursando e concluirei o Ensino Médio após 2023,Não informado,Não respondeu,NA,Sim,NA,NA,NA,NA,NA,NA,NA,3301702,Duque de Caxias,33,RJ,Presente na prova,Presente na prova,Presente na prova,Presente na prova,Rosa,Amarela,Amarela,Cinza,490.4,424.5,498.6,417.5,ABCDCACACAEDDDABCCEBEACDDAABBCDBEAEEDBAEAEDDD,DBBDCEBACACEBCDECEABEABEADDCEAAEACAACCEDCBABA,CBBAACCEEAECBCAADDDACECAAAAECBBEEABDDDCADACAC,BECAECECEAACCABAEADCBABADABACDBCCDBEBEBDABCEE,Inglês,CDDDABBABDBEABDECCEEEDCEDAEBABDCCAACCCADACDBE,DBAADEADCDCABABCDDEBAEABAECABAACECDAECBDAABCD,BBBDAABAEACCEEEDEACBCACAACAACAAAECBBEDBCCADBDEDDAC,EBDADDAEBEACBEDCECCBEABCADEBCCBCCDEBDDAABBADD,Sem problemas,120,100,100,80,60,460,"Completou o Ensino Médio, mas não completou a Faculdade","Completou o Ensino Médio, mas não completou a Faculdade",Grupo 4 (Verificar a definição no dicionário de dados),Não Sei,5,"De R$ 2.640,01 até R$ 3.300,00.",Não,"Sim, um","Sim, dois",Não,"Sim, um","Sim, um",Não,"Sim, um",Não,Não,Não,Não,"Sim, um",Não,Não,"Sim, dois",Não,"Sim, um",Sim
210060281380,2023,18 anos,Feminino,Solteiro(a),Branca,Brasileiro(a),Estou cursando e concluirei o Ensino Médio em 2023,Não informado,Privada,Ensino Regular,Não,3301702,Duque de Caxias,33,RJ,Privada,Urbana,Em atividade,3301702,Duque de Caxias,33,RJ,Presente na prova,Presente na prova,Presente na prova,Presente na prova,Amarela,Azul,Azul,Amarela,510.5,524.6,511.9,550.4,CECCECDEAEBDEABDCEBDCCCDCAEAECDDDBCEEDBABCDEB,BDABCCDEACABAADEBECAABCDDDBADCDBCACBEBDDABCBE,BDBBBBACACDCCCDBCEDBDAAEABACCBDBBCBADACCBECAE,CDBAEDBBCDEABCBEBDBCDECECABDBEDCCCDEDEACADBEB,Inglês,CAAADCCCCDDDABDCACDBEEEDCEDAEECCDBEABDBABBAEB,CDAEECABAACEAADECBDAABCDCABADCDEABAABCDDEBADB,BBDABAAEBADACEEDCCDBADBDEDCCEBCACEACAACAACACBBEAAE,DCECACCBDECBEEABEABDDAADDABBBCCBCCDDAEBDADEEB,Sem problemas,180,180,180,200,180,920,"Completou a 8ª série/9º ano do ensino fundamental, mas não completou o Ensino Médio","Completou o Ensino Médio, mas não completou a Faculdade",Grupo 3 (Verificar a definição no dicionário de dados),Grupo 4 (Verificar a definição no dicionário de dados),3,"De R$ 1.980,01 até R$ 2.640,00.",Não,"Sim, dois","Sim, dois",Não,Não,"Sim, dois","Sim, um","Sim, um",Não,"Sim, um",Não,Sim,"Sim, dois",Não,Não,"Sim, três",Não,Não,Sim
210061551886,2023,17 anos,Masculino,Solteiro(a),Preta,Brasileiro(a),Estou cursando e concluirei o Ensino Médio em 2023,Não informado,Pública,Ensino Regular,Não,NA,NA,NA,NA,NA,NA,NA,3301702,Duque de Caxias,33,RJ,Presente na prova,Presente na prova,Presente na prova,Presente na prova,Rosa,Amarela,Amarela,Cinza,506,588.7,568.9,520.7,AEBBCECBCDBDAEAEECCEABCBDAABDEBDAEDEBCECCECEC,DAAADEADCDECBEBCABCBDEEAACCBBAECECDBDCBCAABCD,BBBAACBEAEBEADBBACCCDAADAEAEDCBEDBCABDAACBDAC,EADCCDBEBDDCCBCDDCEBBDCCACEACDDDBDCADBDEABCCB,Inglês,CDDDABBABDBEABDECCEEEDCEDAEBABDCCAACCCADACDBE,DBAADEADCDCABABCDDEBAEABAECABAACECDAECBDAABCD,BBBDAABAEACCEEEDEACBCACAACAACAAAECBBEDBCCADBDEDDAC,EBDADDAEBEACBEDCECCBEABCADEBCCBCCDEBDDAABBADD,Sem problemas,140,120,120,120,120,620,"Completou o Ensino Médio, mas não completou a Faculdade","Completou a Faculdade, mas não completou a Pós-graduação",Não Sei,Grupo 4 (Verificar a definição no dicionário de dados),4,"De R$ 3.960,01 até R$ 5.280,00.",Não,"Sim, um","Sim, dois",Não,Não,"Sim, um","Sim, um","Sim, um",Não,Não,Não,Não,"Sim, um",Não,Sim,"Sim, três",Não,"Sim, um",Sim
210060861617,2023,17 anos,Masculino,Solteiro(a),Branca,Brasileiro(a),Estou cursando e concluirei o Ensino Médio em 2023,Não informado,Pública,Ensino Regular,Não,NA,NA,NA,NA,NA,NA,NA,3301702,Duque de Caxias,33,RJ,Presente na prova,Presente na prova,Presente na prova,Presente na prova,Rosa,Amarela,Amarela,Cinza,409.3,323,313.1,490.5,BECCAECAEEBDABAEBBBEBDECEDCDEEADEDDCCEBECEDCE,DEBCAABCDACEBBCACBECAECBAADBEBDAABCBBCDBCBADC,EDECBAABEBCCEEDEEABADDCBCBBDBBDEEDCAADBACCABD,ABDCDDAEADCCBEBECEBECBBDACEBCADECEEDBBAAEADCB,Inglês,CDDDABBABDBEABDECCEEEDCEDAEBABDCCAACCCADACDBE,DBAADEADCDCABABCDDEBAEABAECABAACECDAECBDAABCD,BBBDAABAEACCEEEDEACBCACAACAACAAAECBBEDBCCADBDEDDAC,EBDADDAEBEACBEDCECCBEABCADEBCCBCCDEBDDAABBADD,Sem problemas,80,160,120,120,60,540,"Completou a 8ª série/9º ano do ensino fundamental, mas não completou o Ensino Médio","Completou o Ensino Médio, mas não completou a Faculdade",Grupo 3 (Verificar a definição no dicionário de dados),Grupo 2 (Verificar a definição no dicionário de dados),4,"De R$ 1.320,01 até R$ 1.980,00.",Não,"Sim, um","Sim, dois","Sim, um",Não,"Sim, um","Sim, um","Sim, um",Não,"Sim, um",Não,Não,"Sim, um",Não,Não,"Sim, quatro ou mais",Não,"Sim, um",Sim
210061796771,2023,18 anos,Feminino,Solteiro(a),Parda,Brasileiro(a),Já concluí o Ensino Médio,2022,Não respondeu,NA,Não,NA,NA,NA,NA,NA,NA,NA,3301702,Duque de Caxias,33,RJ,Presente na prova,Presente na prova,Presente na prova,Presente na prova,Rosa,Amarela,Amarela,Cinza,485.2,497.7,611.9,533.2,EBBDCEBCDEBEBBCCADACACCCBAABBCCDACBBABAECDEEC,DAAADECBCDCEBDACDDCAADACEACBDCCADEBCDBDCBDBCE,BDBEACBEAEBEACBAACABCAADACAECCBEDBBCADCDCDABC,EACACDDEDCEDECBCCBDABEBADDBACBADBDCADDBAECBCE,Inglês,CDDDABBABDBEABDECCEEEDCEDAEBABDCCAACCCADACDBE,DBAADEADCDCABABCDDEBAEABAECABAACECDAECBDAABCD,BBBDAABAEACCEEEDEACBCACAACAACAAAECBBEDBCCADBDEDDAC,EBDADDAEBEACBEDCECCBEABCADEBCCBCCDEBDDAABBADD,Sem problemas,140,140,140,140,100,660,"Completou a 4ª série/5º ano, mas não completou a 8ª série/9º ano do ensino fundamental","Completou a 8ª série/9º ano do ensino fundamental, mas não completou o Ensino Médio",Grupo 3 (Verificar a definição no dicionário de dados),Grupo 2 (Verificar a definição no dicionário de dados),3,"De R$ 6.600,01 até R$ 7.920,00.",Não,"Sim, um",Não,"Sim, dois",Não,"Sim, um","Sim, um","Sim, um",Não,"Sim, um",Não,Não,"Sim, um",Não,Sim,"Sim, um",Não,Não,Sim
210058377435,2023,19 anos,Feminino,Solteiro(a),Parda,Brasileiro(a),Já concluí o Ensino Médio,2021,Não respondeu,NA,Não,NA,NA,NA,NA,NA,NA,NA,3301702,Duque de Caxias,33,RJ,Presente na prova,Presente na prova,Presente na prova,Presente na prova,Cinza,Rosa,Rosa,Rosa,641.4,577.2,557.2,736.5,CEDABEAEDCECDADCCA.BBAAEAECBBDDCDBEDDCCDBDEC.,DECCCBCACDAEACEECEBADBEECDEDCAABEDAEAADCDCABE,DDEBBAAECBEEBACAABAEBEBBADCDEDDDADEEBAEDACDBC,EBDEABDAADBACCACCABDADEBDEEEBEECADADECCDCECBE,Inglês,CEDAEEDEECCEBADCCCABBABCAACDDDACDBEABDCDBEABD,ABCDCBDACDAEACEECABADBEABADEBAABCDCABADCDAADE,BDBBABAAAEAAECBBEAACAAACEACBCACCCEDEDADBDBEEDDACCC,EBDEEBDADDABCCBCCABBADDBDDAEAEABCBEDECADCECCB,Sem problemas,160,180,160,180,200,880,"Completou a 4ª série/5º ano, mas não completou a 8ª série/9º ano do ensino fundamental","Completou a 4ª série/5º ano, mas não completou a 8ª série/9º ano do ensino fundamental",Grupo 3 (Verificar a definição no dicionário de dados),Grupo 3 (Verificar a definição no dicionário de dados),2,"De R$ 1.980,01 até R$ 2.640,00.",Não,"Sim, um","Sim, dois","Sim, um",Não,"Sim, um","Sim, um","Sim, um",Não,"Sim, um",Não,Sim,"Sim, um",Não,Não,"Sim, dois",Não,Não,Sim
210060314035,2023,18 anos,Masculino,Solteiro(a),Preta,Brasileiro(a),Já concluí o Ensino Médio,2022,Não respondeu,NA,Não,NA,NA,NA,NA,NA,NA,NA,3301702,Duque de Caxias,33,RJ,Presente na prova,Presente na prova,Presente na prova,Presente na prova,Amarela,Azul,Azul,Amarela,489.8,580.9,491.7,544.6,EEDCCBCAEDBBACBACEDEBBADCDEABEDAEBECCADDBBABC,CDAEDCABCCCEAADECBDAABCDBEBCACBEEADEDAADBDADB,CAEBADBACBDEADAACDDEADEEBDACDACBCBADEBECBADAD,DCEAEAACDAACDCBEEACBDEBEAAADBEBACEAEDEDBADCEA,Espanhol,CAAADCCCCDDDABDCACDBEEEDCEDAEECCDBEABDBABBAEB,CDAEECABAACEAADECBDAABCDCABADCDEABAABCDDEBADB,BBDABAAEBADACEEDCCDBADBDEDCCEBCACEACAACAACACBBEAAE,DCECACCBDECBEEABEABDDAADDABBBCCBCCDDAEBDADEEB,Sem problemas,120,120,100,80,60,480,Não completou a 4ª série/5º ano do ensino fundamental,"Completou o Ensino Médio, mas não completou a Faculdade",Grupo 3 (Verificar a definição no dicionário de dados),Grupo 2 (Verificar a definição no dicionário de dados),4,"De R$ 1.980,01 até R$ 2.640,00.",Não,"Sim, um","Sim, dois","Sim, um",Não,"Sim, um","Sim, um","Sim, um",Não,"Sim, um",Não,Não,"Sim, um",Não,Não,"Sim, três",Não,Não,Sim
