nu_inscricao,nu_ano,tp_faixa_etaria,tp_sexo,tp_estado_civil,tp_cor_raca,tp_nacionalidade,tp_st_conclusao,tp_ano_concluiu,tp_escola,tp_ensino,in_treineiro,co_municipio_esc,no_municipio_esc,co_uf_esc,sg_uf_esc,tp_dependencia_adm_esc,tp_localizacao_esc,tp_sit_func_esc,co_municipio_prova,no_municipio_prova,co_uf_prova,sg_uf_prova,tp_presenca_cn,tp_presenca_ch,tp_presenca_lc,tp_presenca_mt,co_prova_cn,co_prova_ch,co_prova_lc,co_prova_mt,nu_nota_cn,nu_nota_ch,nu_nota_lc,nu_nota_mt,tx_respostas_cn,tx_respostas_ch,tx_respostas_lc,tx_respostas_mt,tp_lingua,tx_gabarito_cn,tx_gabarito_ch,tx_gabarito_lc,tx_gabarito_mt,tp_status_redacao,nu_nota_comp1,nu_nota_comp2,nu_nota_comp3,nu_nota_comp4,nu_nota_comp5,nu_nota_redacao,q001,q002,q003,q004,q005,q006,q007,q008,q009,q010,q011,q012,q013,q014,q015,q016,q017,q018,q019,q020,q021,q022,q023,q024,q025
210059349422,2023,19 anos,Feminino,Solteiro(a),Preta,Brasileiro(a),Estou cursando e concluirei o Ensino Médio em 2023,Não informado,Pública,Ensino Regular,Não,NA,NA,NA,NA,NA,NA,NA,2910800,Feira de Santana,29,BA,Presente na prova,Presente na prova,Presente na prova,Presente na prova,Cinza,Rosa,Rosa,Rosa,402.4,475.8,459.8,365.8,DBEACACBDDDBAACDACCAEEBABBBCCACCCEEBEDDEBBCEC,ABCDBADACABDBECEACDEBBCABAECBDDCADEBBACCCACAA,ACBDACAACCBCEACABECBCACBACCCEBABDEBDBCDECAEEA,CBEACBBECDDDDDCEBCDCADBBCDABBCAEECAAADEAEDEDB,Espanhol,CEDAEEDEECCEBADCCCABBABCAACDDDACDBEABDCDBEABD,ABCDCBDACDAEACEECABADBEABADEBAABCDCABADCDAADE,BDBBABAAAEAAECBBEAACAAACEACBCACCCEDEDADBDBEEDDACCC,EBDEEBDADDABCCBCCABBADDBDDAEAEABCBEDECADCECCB,Sem problemas,140,120,120,120,80,580,"Completou a 4ª série/5º ano, mas não completou a 8ª série/9º ano do ensino fundamental",Não completou a 4ª série/5º ano do ensino fundamental,Grupo 1 (Verificar a definição no dicionário de dados),Grupo 1 (Verificar a definição no dicionário de dados),3,"De R$ 1.320,01 até R$ 1.980,00.",Não,"Sim, dois","Sim, três",Não,Não,"Sim, um",Não,"Sim, um",Não,Não,Não,Não,"Sim, um",Sim,Não,"Sim, três",Não,Não,Sim
210060212980,2023,Menor de 17 anos,Feminino,Solteiro(a),Branca,Brasileiro(a),Estou cursando e concluirei o Ensino Médio após 2023,Não informado,Não respondeu,NA,Sim,NA,NA,NA,NA,NA,NA,NA,2910800,Feira de Santana,29,BA,Presente na prova,Presente na prova,Presente na prova,Presente na prova,Amarela,Azul,Azul,Amarela,606.5,588.6,637.8,681,CACADCCBCECAABCAADEDEAEACDDAEDBDBBCEBDAAACDBC,CAACEDDBAABDAADEBADAABCDCEBADCDEBADEBCEAEBEDC,BBDABDACAEDBCDBADEACDCBEDBACBACABEAADACBBEAAE,DEEEBCBCDCACBEABEEEBDCBDAABCEDABCCADEBBCADEEB,Inglês,CAAADCCCCDDDABDCACDBEEEDCEDAEECCDBEABDBABBAEB,CDAEECABAACEAADECBDAABCDCABADCDEABAABCDDEBADB,BBDABAAEBADACEEDCCDBADBDEDCCEBCACEACAACAACACBBEAAE,DCECACCBDECBEEABEABDDAADDABBBCCBCCDDAEBDADEEB,Sem problemas,160,200,180,200,160,900,"Completou o Ensino Médio, mas não completou a Faculdade","Completou a Faculdade, mas não completou a Pós-graduação",Grupo 5 (Verificar a definição no dicionário de dados),Grupo 4 (Verificar a definição no dicionário de dados),4,"De R$ 9.240,01 até R$ 10.560,00.","Sim, pelo menos cinco dias por semana","Sim, quatro ou mais","Sim, quatro ou mais","Sim, dois",Não,"Sim, um","Sim, um","Sim, um",Não,"Sim, um",Não,Sim,"Sim, quatro ou mais",Sim,Sim,"Sim, um",Sim,"Sim, um",Sim
210060519409,2023,17 anos,Feminino,Solteiro(a),Branca,Brasileiro(a),Estou cursando e concluirei o Ensino Médio em 2023,Não informado,Privada,Ensino Regular,Não,NA,NA,NA,NA,NA,NA,NA,2910800,Feira de Santana,29,BA,Presente na prova,Presente na prova,Presente na prova,Presente na prova,Cinza,Rosa,Rosa,Rosa,590.4,645.8,567,744.6,CDDAEDBEDCDBCBDBEDCCDDCDBDCDBBACDECEDCCEBEECD,ABCCCBDACDAEACEEAABADAEAAAEEBAEBEDCABABCDCEDE,EDBBACAEDBBEAADABBBEDCADACCBDCCDADCDBDDDDACEE,EBDEEBDADDBBCCCCDABCADCBBDECAECCADEDBCEBCEDCB,Inglês,CEDAEEDEECCEBADCCCABBABCAACDDDACDBEABDCDBEABD,ABCDCBDACDAEACEECABADBEABADEBAABCDCABADCDAADE,BDBBABAAAEAAECBBEAACAAACEACBCACCCEDEDADBDBEEDDACCC,EBDEEBDADDABCCBCCABBADDBDDAEAEABCBEDECADCECCB,Sem problemas,160,200,200,180,180,920,Completou a Pós-graduação,"Completou o Ensino Médio, mas não completou a Faculdade",Grupo 5 (Verificar a definição no dicionário de dados),Grupo 2 (Verificar a definição no dicionário de dados),4,"De R$ 7.920,01 até R$ 9240,00.","Sim, um ou dois dias por semana","Sim, dois","Sim, três","Sim, um",Não,"Sim, um","Sim, um","Sim, um",Não,"Sim, um",Não,Não,"Sim, dois",Não,Não,"Sim, três",Não,"Sim, um",Sim
210060670600,2023,17 anos,Feminino,Solteiro(a),Parda,Brasileiro(a),Estou cursando e concluirei o Ensino Médio em 2023,Não informado,Privada,Ensino Regular,Não,2910800,Feira de Santana,29,BA,Privada,Urbana,Em atividade,2910800,Feira de Santana,29,BA,Presente na prova,Presente na prova,Presente na prova,Presente na prova,Cinza,Rosa,Rosa,Rosa,394.6,469.5,503.5,485.8,DBEACDACCDBBCCBECEABADACECCBDBBCEBECCCCECDEBC,ABCCDADBCECCEEBECEBBADDEAEBEDDCAEECCBEDCDCBDD,ADBEBEAEDBBECADBBDECAACBDDCCECDDCDDDBCDDDEABD,EDBBCCBDDCBBBCCBEDCCDDABDBDEADEACDDBCBEBCDCCB,Inglês,CEDAEEDEECCEBADCCCABBABCAACDDDACDBEABDCDBEABD,ABCDCBDACDAEACEECABADBEABADEBAABCDCABADCDAADE,BDBBABAAAEAAECBBEAACAAACEACBCACCCEDEDADBDBEEDDACCC,EBDEEBDADDABCCBCCABBADDBDDAEAEABCBEDECADCECCB,Sem problemas,120,180,120,180,160,760,"Completou o Ensino Médio, mas não completou a Faculdade","Completou o Ensino Médio, mas não completou a Faculdade",Grupo 4 (Verificar a definição no dicionário de dados),Grupo 4 (Verificar a definição no dicionário de dados),4,"De R$ 6.600,01 até R$ 7.920,00.",Não,"Sim, dois","Sim, três","Sim, dois",Não,"Sim, um","Sim, um","Sim, um",Não,"Sim, um",Não,Não,"Sim, um",Sim,Sim,"Sim, quatro ou mais",Não,"Sim, dois",Sim
210059963520,2023,24 anos,Feminino,Solteiro(a),Parda,Brasileiro(a),Já concluí o Ensino Médio,2015,Não respondeu,NA,Não,NA,NA,NA,NA,NA,NA,NA,2910800,Feira de Santana,29,BA,Presente na prova,Presente na prova,Presente na prova,Presente na prova,Amarela,Azul,Azul,Amarela,593.2,683.4,632.2,664,AEBEEDCACACBCBCDACEBECACDDDAEECEDBEDBBEBADEEC,CDAEEAECCACEAADECBDAAECDCABADCDEACAABCADEBADB,ADEBADACAEBCABBBDBDADCCEBAABAAEAACAAEACBBEAAE,BEECCAEBDEAAEECEEADBDDADADBCCCABCDEDDEBABDCEE,Espanhol,CAAADCCCCDDDABDCACDBEEEDCEDAEECCDBEABDBABBAEB,CDAEECABAACEAADECBDAABCDCABADCDEABAABCDDEBADB,BBDABAAEBADACEEDCCDBADBDEDCCEBCACEACAACAACACBBEAAE,DCECACCBDECBEEABEABDDAADDABBBCCBCCDDAEBDADEEB,Sem problemas,140,180,120,140,160,740,"Completou o Ensino Médio, mas não completou a Faculdade","Completou o Ensino Médio, mas não completou a Faculdade",Grupo 3 (Verificar a definição no dicionário de dados),Grupo 2 (Verificar a definição no dicionário de dados),4,"De R$ 3.960,01 até R$ 5.280,00.",Não,"Sim, um","Sim, dois","Sim, um","Sim, um","Sim, um",Não,Não,Não,"Sim, um",Não,Não,"Sim, um",Não,Não,"Sim, três",Não,"Sim, um",Sim
210060779245,2023,19 anos,Masculino,Solteiro(a),Preta,Brasileiro(a),Já concluí o Ensino Médio,2022,Não respondeu,NA,Não,NA,NA,NA,NA,NA,NA,NA,2910800,Feira de Santana,29,BA,Presente na prova,Presente na prova,Presente na prova,Presente na prova,Rosa,Amarela,Amarela,Cinza,453,346,478.5,465.6,ADEBADCCDEBCEBDEDECCAECDBABAECCDDEDDCACEDAEEB,DCECDADBDDAEEBBEDDAADEEBDEEBCEBACDCEDEEDDCCAB,BBBACCBEAEBAAADBACEBAECDACADCBEBBDBCBBEAABDEB,EAECCDDEAEEECCBAECCCDADDECABDBCAADDDCBBDECBDC,Inglês,CDDDABBABDBEABDECCEEEDCEDAEBABDCCAACCCADACDBE,DBAADEADCDCABABCDDEBAEABAECABAACECDAECBDAABCD,BBBDAABAEACCEEEDEACBCACAACAACAAAECBBEDBCCADBDEDDAC,EBDADDAEBEACBEDCECCBEABCADEBCCBCCDEBDDAABBADD,Sem problemas,140,180,120,160,80,680,"Completou o Ensino Médio, mas não completou a Faculdade","Completou a 8ª série/9º ano do ensino fundamental, mas não completou o Ensino Médio",Grupo 4 (Verificar a definição no dicionário de dados),Grupo 4 (Verificar a definição no dicionário de dados),5,"De R$ 2.640,01 até R$ 3.300,00.",Não,"Sim, dois","Sim, três","Sim, um","Sim, um","Sim, um","Sim, um",Não,Não,"Sim, um",Não,Não,"Sim, um",Não,Não,"Sim, quatro ou mais",Não,Não,Sim
210059227439,2023,19 anos,Feminino,Solteiro(a),Preta,Brasileiro(a),Estou cursando e concluirei o Ensino Médio em 2023,Não informado,Pública,Ensino Regular,Não,NA,NA,NA,NA,NA,NA,NA,2910800,Feira de Santana,29,BA,Presente na prova,Presente na prova,Presente na prova,Presente na prova,Amarela,Azul,Azul,Amarela,366.2,456.6,470.8,353.8,EECBDDBBEABBECEDDBEEDDACCAACCEDAEDDCBDCBCBCBA,BDCACCEEBEEAACEAEEDAABCDBBBDECAEAADCCBEABCEEA,BBEBBABBEADCEABBDAACDADABBADCBDBCCEABAACBDCAB,CADEEBEBABDACBCBBEBCAEBCBDBDABACDEBBDDACBEACB,Inglês,CAAADCCCCDDDABDCACDBEEEDCEDAEECCDBEABDBABBAEB,CDAEECABAACEAADECBDAABCDCABADCDEABAABCDDEBADB,BBDABAAEBADACEEDCCDBADBDEDCCEBCACEACAACAACACBBEAAE,DCECACCBDECBEEABEABDDAADDABBBCCBCCDDAEBDADEEB,Sem problemas,120,120,120,120,40,520,Não sei,"Completou o Ensino Médio, mas não completou a Faculdade",Não Sei,Grupo 2 (Verificar a definição no dicionário de dados),2,"Até R$ 1.320,00",Não,"Sim, um","Sim, dois",Não,Não,"Sim, um","Sim, um","Sim, um",Não,"Sim, um",Não,Não,"Sim, um",Não,Não,"Sim, dois",Não,Não,Sim
210060277854,2023,17 anos,Masculino,Solteiro(a),Branca,Brasileiro(a),Estou cursando e concluirei o Ensino Médio em 2023,Não informado,Privada,Ensino Regular,Não,2910800,Feira de Santana,29,BA,Privada,Urbana,Em atividade,2910800,Feira de Santana,29,BA,Presente na prova,Presente na prova,Presente na prova,Presente na prova,Amarela,Azul,Azul,Amarela,500.9,529.3,568,702,DECACCDBDCBAECCADDDDCDAACDDADCDBEBDADDDAACCAB,CACABBDCDCCEBADECCAEABCDDDBCDCBDCBEDBCDDCADDB,AAEDCDACDDABCDBADCDEACDEBBDCDECABCAACACCBBAAB,BDECACBCDEABCEBBEBBDDACDBABDCCDCCCACBCABADCEB,Espanhol,CAAADCCCCDDDABDCACDBEEEDCEDAEECCDBEABDBABBAEB,CDAEECABAACEAADECBDAABCDCABADCDEABAABCDDEBADB,BBDABAAEBADACEEDCCDBADBDEDCCEBCACEACAACAACACBBEAAE,DCECACCBDECBEEABEABDDAADDABBBCCBCCDDAEBDADEEB,Sem problemas,160,180,160,180,160,840,"Completou a 4ª série/5º ano, mas não completou a 8ª série/9º ano do ensino fundamental","Completou o Ensino Médio, mas não completou a Faculdade",Grupo 5 (Verificar a definição no dicionário de dados),Grupo 5 (Verificar a definição no dicionário de dados),3,"De R$ 9.240,01 até R$ 10.560,00.","Sim, pelo menos cinco dias por semana","Sim, quatro ou mais","Sim, quatro ou mais","Sim, dois",Não,"Sim, um","Sim, um","Sim, um",Não,"Sim, um",Não,Não,"Sim, três",Não,Sim,"Sim, quatro ou mais",Não,"Sim, um",Sim
210059088412,2023,21 anos,Feminino,Solteiro(a),Preta,Brasileiro(a),Já concluí o Ensino Médio,Não informado,Não respondeu,NA,Não,NA,NA,NA,NA,NA,NA,NA,2910800,Feira de Santana,29,BA,Presente na prova,Presente na prova,Presente na prova,Presente na prova,Cinza,Rosa,Rosa,Rosa,489.1,445,464.5,574.8,CAECCEDEEBBBAECAEEAEACCAECBEDDEECEACCCCABEDEC,ACEADCDAAECECCECEAADCBCDABEAAEDBEACACEDDEEEDE,EBADCAADEDBEACDEDABACDDCAEBEEAABDCCABCBDDAAED,ECDBEEEADEDDCDCCCECECDEEEACDDBABBCEACCEBAECAD,Espanhol,CEDAEEDEECCEBADCCCABBABCAACDDDACDBEABDCDBEABD,ABCDCBDACDAEACEECABADBEABADEBAABCDCABADCDAADE,BDBBABAAAEAAECBBEAACAAACEACBCACCCEDEDADBDBEEDDACCC,EBDEEBDADDABCCBCCABBADDBDDAEAEABCBEDECADCECCB,Sem problemas,140,120,120,120,40,540,Não completou a 4ª série/5º ano do ensino fundamental,"Completou o Ensino Médio, mas não completou a Faculdade",Grupo 3 (Verificar a definição no dicionário de dados),Grupo 2 (Verificar a definição no dicionário de dados),5,"De R$ 1.320,01 até R$ 1.980,00.",Não,"Sim, um","Sim, dois",Não,Não,"Sim, um",Não,Não,Não,Não,Não,Não,"Sim, um",Não,Não,"Sim, três",Não,Não,Sim
210060655960,2023,Entre 26 e 30 anos,Feminino,Solteiro(a),Preta,Brasileiro(a),Já concluí o Ensino Médio,2016,Não respondeu,NA,Não,NA,NA,NA,NA,NA,NA,NA,2910800,Feira de Santana,29,BA,Presente na prova,Presente na prova,Presente na prova,Presente na prova,Cinza,Rosa,Rosa,Rosa,482.1,557.7,464.8,353,CEDDAADADEEBAECDAEECBBDEECCEBBBEDDBECCADEECCA,ABCDABDADACEACEDADEDDBEABDBACAABEDDAEABDBAADE,DAAAEACEBEBEAAEDECDDEEBDEBDDEDCBDCCEDEBDCBCBA,CDBBBDAABCDEEAAEADDADCBDCACACBDECEAACEEAADEDC,Espanhol,CEDAEEDEECCEBADCCCABBABCAACDDDACDBEABDCDBEABD,ABCDCBDACDAEACEECABADBEABADEBAABCDCABADCDAADE,BDBBABAAAEAAECBBEAACAAACEACBCACCCEDEDADBDBEEDDACCC,EBDEEBDADDABCCBCCABBADDBDDAEAEABCBEDECADCECCB,Sem problemas,100,120,120,120,100,560,Não completou a 4ª série/5º ano do ensino fundamental,Não completou a 4ª série/5º ano do ensino fundamental,Grupo 1 (Verificar a definição no dicionário de dados),Grupo 1 (Verificar a definição no dicionário de dados),4,"De R$ 1.320,01 até R$ 1.980,00.",Não,"Sim, um","Sim, dois",Não,Não,"Sim, um",Não,Não,Não,Não,Não,Não,"Sim, um",Não,Não,"Sim, dois",Não,"Sim, um",Sim
