nu_inscricao,nu_ano,tp_faixa_etaria,tp_sexo,tp_estado_civil,tp_cor_raca,tp_nacionalidade,tp_st_conclusao,tp_ano_concluiu,tp_escola,tp_ensino,in_treineiro,co_municipio_esc,no_municipio_esc,co_uf_esc,sg_uf_esc,tp_dependencia_adm_esc,tp_localizacao_esc,tp_sit_func_esc,co_municipio_prova,no_municipio_prova,co_uf_prova,sg_uf_prova,tp_presenca_cn,tp_presenca_ch,tp_presenca_lc,tp_presenca_mt,co_prova_cn,co_prova_ch,co_prova_lc,co_prova_mt,nu_nota_cn,nu_nota_ch,nu_nota_lc,nu_nota_mt,tx_respostas_cn,tx_respostas_ch,tx_respostas_lc,tx_respostas_mt,tp_lingua,tx_gabarito_cn,tx_gabarito_ch,tx_gabarito_lc,tx_gabarito_mt,tp_status_redacao,nu_nota_comp1,nu_nota_comp2,nu_nota_comp3,nu_nota_comp4,nu_nota_comp5,nu_nota_redacao,q001,q002,q003,q004,q005,q006,q007,q008,q009,q010,q011,q012,q013,q014,q015,q016,q017,q018,q019,q020,q021,q022,q023,q024,q025
210061907719,2023,17 anos,Masculino,Solteiro(a),Parda,Brasileiro(a),Estou cursando e concluirei o Ensino Médio após 2023,Não informado,Não respondeu,NA,Sim,NA,NA,NA,NA,NA,NA,NA,2304400,Fortaleza,23,CE,Presente na prova,Presente na prova,Presente na prova,Presente na prova,Amarela,Azul,Azul,Amarela,589.8,501.7,480.3,461.9,AADBECDACEBCBCCCDACBEDABCBDDEEACDBEEBCDAECDAB,CDCEACADDCEDBCDDAADAABCACABCDBCBEACEECDADAADA,BCAADCBCEEDADDDCAABCDCDEAEACBEDBABACAABCCCDAB,DCDCBBBCCDADCCBDDACBCEBCBDCABDCCCAEBDDEEBEBEC,Inglês,CAAADCCCCDDDABDCACDBEEEDCEDAEECCDBEABDBABBAEB,CDAEECABAACEAADECBDAABCDCABADCDEABAABCDDEBADB,BBDABAAEBADACEEDCCDBADBDEDCCEBCACEACAACAACACBBEAAE,DCECACCBDECBEEABEABDDAADDABBBCCBCCDDAEBDADEEB,Sem problemas,100,80,80,80,60,400,"Completou o Ensino Médio, mas não completou a Faculdade","Completou o Ensino Médio, mas não completou a Faculdade",Grupo 3 (Verificar a definição no dicionário de dados),Grupo 3 (Verificar a definição no dicionário de dados),5,"Até R$ 1.320,00",Não,"Sim, um","Sim, um",Não,Não,"Sim, um",Não,Não,Não,Não,Não,Não,"Sim, um",Não,Não,"Sim, um",Não,Não,Não
210058089950,2023,17 anos,Masculino,Solteiro(a),Branca,Brasileiro(a),Estou cursando e concluirei o Ensino Médio em 2023,Não informado,Pública,Ensino Regular,Não,2304400,Fortaleza,23,CE,Estadual,Urbana,Em atividade,2304400,Fortaleza,23,CE,Presente na prova,Presente na prova,Presente na prova,Presente na prova,Cinza,Rosa,Rosa,Rosa,647.5,415.4,512.6,690.8,CEDAEECEDCEABADEAAABDDCAAEBAAADECBEABBCDBDAAD,ABEDBBEABDAABBDCDEBBDBBBBDABDCDBBCEEBCCACEEDA,EDBBCDAECBBCADCADBEACCB.DCAACDCCCDDDBAEBADDCA,EADCEEDACDBCCCBC.ABBEDABDDBEDCDBDABEEEABBDCCB,Inglês,CEDAEEDEECCEBADCCCABBABCAACDDDACDBEABDCDBEABD,ABCDCBDACDAEACEECABADBEABADEBAABCDCABADCDAADE,BDBBABAAAEAAECBBEAACAAACEACBCACCCEDEDADBDBEEDDACCC,EBDEEBDADDABCCBCCABBADDBDDAEAEABCBEDECADCECCB,Sem problemas,120,160,120,120,140,660,Completou a Pós-graduação,"Completou a Faculdade, mas não completou a Pós-graduação",Grupo 5 (Verificar a definição no dicionário de dados),Grupo 2 (Verificar a definição no dicionário de dados),2,"Até R$ 1.320,00",Não,"Sim, três","Sim, três",Não,Não,"Sim, um",Não,"Sim, um",Não,Não,Não,Não,"Sim, um",Não,Não,"Sim, dois",Não,"Sim, um",Não
210060509985,2023,Entre 26 e 30 anos,Masculino,Solteiro(a),Branca,Brasileiro(a),Já concluí o Ensino Médio,2012,Não respondeu,NA,Não,NA,NA,NA,NA,NA,NA,NA,2304400,Fortaleza,23,CE,Presente na prova,Presente na prova,Presente na prova,Presente na prova,Amarela,Azul,Azul,Amarela,647.4,685.2,613.3,775,EEEEDCBACDBDABDCACDEDBABCADACDCDDBEECDBAACEBB,CDAEEAABEACEAADECBDAABCCCABAACDEACAEBADDEBADD,AAEAADCCEEDBCDBADADADCBEBBACDAEDBCAACAEBBEEAB,BCEAACCBCBCBCEABEABBDABDEABBBCCCCCDDEEEDADEEA,Espanhol,CAAADCCCCDDDABDCACDBEEEDCEDAEECCDBEABDBABBAEB,CDAEECABAACEAADECBDAABCDCABADCDEABAABCDDEBADB,BBDABAAEBADACEEDCCDBADBDEDCCEBCACEACAACAACACBBEAAE,DCECACCBDECBEEABEABDDAADDABBBCCBCCDDAEBDADEEB,Sem problemas,180,200,180,200,200,960,Não sei,Completou a Pós-graduação,Não Sei,Grupo 4 (Verificar a definição no dicionário de dados),2,"De R$ 6.600,01 até R$ 7.920,00.",Não,"Sim, dois","Sim, dois","Sim, um",Não,"Sim, um",Não,"Sim, um",Não,Não,Não,Sim,"Sim, um",Não,Não,"Sim, dois",Não,"Sim, dois",Sim
210061038677,2023,18 anos,Masculino,Solteiro(a),Parda,Brasileiro(a),Estou cursando e concluirei o Ensino Médio em 2023,Não informado,Pública,Ensino Regular,Não,2304400,Fortaleza,23,CE,Estadual,Urbana,Em atividade,2304400,Fortaleza,23,CE,Presente na prova,Presente na prova,Presente na prova,Presente na prova,Amarela,Azul,Azul,Amarela,497.6,374.8,569.9,582.1,DDBEEDCAAECBCCADBEDECBAACADDDBECEBEEBCCBBDDCB,CEDEAEEEEAEEEEDEEBEEEECEEEBCEEEEEA...........,BBDABDEAAEDECEBADCDCACBEEAADEEEAABACEACCBEAAB,BEDABCBEDADCDCCAEABDBDDDDAAEBECECDDAAEECADEEE,Inglês,CAAADCCCCDDDABDCACDBEEEDCEDAEECCDBEABDBABBAEB,CDAEECABAACEAADECBDAABCDCABADCDEABAABCDDEBADB,BBDABAAEBADACEEDCCDBADBDEDCCEBCACEACAACAACACBBEAAE,DCECACCBDECBEEABEABDDAADDABBBCCBCCDDAEBDADEEB,Sem problemas,120,120,120,120,0,480,"Completou o Ensino Médio, mas não completou a Faculdade","Completou o Ensino Médio, mas não completou a Faculdade",Grupo 3 (Verificar a definição no dicionário de dados),Grupo 3 (Verificar a definição no dicionário de dados),4,"De R$ 2.640,01 até R$ 3.300,00.",Não,"Sim, um","Sim, três",Não,Não,"Sim, um","Sim, um",Não,Não,"Sim, um",Não,Não,"Sim, um",Sim,Não,"Sim, três",Não,Não,Sim
210059756477,2023,17 anos,Masculino,Solteiro(a),Parda,Brasileiro(a),Estou cursando e concluirei o Ensino Médio após 2023,Não informado,Não respondeu,NA,Sim,NA,NA,NA,NA,NA,NA,NA,2304400,Fortaleza,23,CE,Presente na prova,Presente na prova,Presente na prova,Presente na prova,Rosa,Amarela,Amarela,Cinza,341.3,522.5,496.3,702.3,AABBCCDDEEAABBCCDDEEAABBCCDDEEAABBCDEEAABBCDE,DAAABEABBDCDBABAECECDDACACDBABCABCBCEDEDAACBD,BCBECCAEDEDBACCAACBBEACDADAEACBCBAADEDCEAACBD,BADADDEEBEDACBDDDCCCEDCCADEACCACCEBADDEABBCDD,Inglês,CDDDABBABDBEABDECCEEEDCEDAEBABDCCAACCCADACDBE,DBAADEADCDCABABCDDEBAEABAECABAACECDAECBDAABCD,BBBDAABAEACCEEEDEACBCACAACAACAAAECBBEDBCCADBDEDDAC,EBDADDAEBEACBEDCECCBEABCADEBCCBCCDEBDDAABBADD,Sem problemas,120,120,160,160,180,740,"Completou a 4ª série/5º ano, mas não completou a 8ª série/9º ano do ensino fundamental","Completou a 4ª série/5º ano, mas não completou a 8ª série/9º ano do ensino fundamental",Grupo 2 (Verificar a definição no dicionário de dados),Grupo 2 (Verificar a definição no dicionário de dados),4,"De R$ 1.320,01 até R$ 1.980,00.",Não,"Sim, dois","Sim, três",Não,Não,"Sim, um","Sim, um","Sim, um",Não,Não,Não,Não,"Sim, um",Não,Não,"Sim, quatro ou mais",Não,Não,Sim
210058764094,2023,18 anos,Masculino,Solteiro(a),Parda,Brasileiro(a),Estou cursando e concluirei o Ensino Médio em 2023,Não informado,Privada,Ensino Regular,Não,2304400,Fortaleza,23,CE,Privada,Urbana,Em atividade,2304400,Fortaleza,23,CE,Presente na prova,Presente na prova,Presente na prova,Presente na prova,Cinza,Rosa,Rosa,Rosa,649.6,593.2,572.5,749.4,CEDEDEADAADBBADCBADDCDCAECCDDBACBBEABDCDBECEC,ABAACBDDDACEACCAADBCDBDEBADEBEABEDCABADCDAADE,BDBBAEABEDBEAACABBBCACBDACCBEAEDBDCABDBADECCD,EBDAEEDAADBCCCDCAABBDDBBCDBBADEBCBEDDCADCECCB,Inglês,CEDAEEDEECCEBADCCCABBABCAACDDDACDBEABDCDBEABD,ABCDCBDACDAEACEECABADBEABADEBAABCDCABADCDAADE,BDBBABAAAEAAECBBEAACAAACEACBCACCCEDEDADBDBEEDDACCC,EBDEEBDADDABCCBCCABBADDBDDAEAEABCBEDECADCECCB,Sem problemas,120,200,120,200,160,800,"Completou o Ensino Médio, mas não completou a Faculdade",Completou a Pós-graduação,Grupo 4 (Verificar a definição no dicionário de dados),Grupo 4 (Verificar a definição no dicionário de dados),4,"De R$ 9.240,01 até R$ 10.560,00.","Sim, um ou dois dias por semana","Sim, quatro ou mais","Sim, quatro ou mais","Sim, um","Sim, um","Sim, um",Não,"Sim, um",Não,"Sim, um",Não,Sim,"Sim, quatro ou mais",Não,Não,"Sim, quatro ou mais",Sim,"Sim, dois",Sim
210059314183,2023,17 anos,Feminino,Solteiro(a),Parda,Brasileiro(a),Estou cursando e concluirei o Ensino Médio em 2023,Não informado,Pública,Ensino Regular,Não,2304400,Fortaleza,23,CE,Estadual,Urbana,Em atividade,2304400,Fortaleza,23,CE,Presente na prova,Presente na prova,Presente na prova,Presente na prova,Rosa,Amarela,Amarela,Cinza,526.1,554.2,559.5,574.3,ADBBAEACBEBCBCDEADEDEACBDABDBECDDEAEBEEEDCDDE,DBCAAEAECDCDDBCCEBCAAEACDBAABECCECDAABEDAABCE,BCBDBCAEAEBAEDDDACDBCAADAEABCBBEDBCEBBADCDDAC,CCDAAEEEBAADABDBEECABAECACCBEEECCECDADBACCDDB,Inglês,CDDDABBABDBEABDECCEEEDCEDAEBABDCCAACCCADACDBE,DBAADEADCDCABABCDDEBAEABAECABAACECDAECBDAABCD,BBBDAABAEACCEEEDEACBCACAACAACAAAECBBEDBCCADBDEDDAC,EBDADDAEBEACBEDCECCBEABCADEBCCBCCDEBDDAABBADD,Sem problemas,160,200,180,200,160,900,Não sei,Completou a Pós-graduação,Não Sei,Grupo 4 (Verificar a definição no dicionário de dados),3,"De R$ 7.920,01 até R$ 9240,00.",Não,"Sim, um","Sim, dois","Sim, um","Sim, um","Sim, um","Sim, um","Sim, um",Não,Não,Não,Não,"Sim, dois",Não,Não,"Sim, três",Não,"Sim, um",Sim
210061573501,2023,Menor de 17 anos,Feminino,Solteiro(a),Branca,Brasileiro(a),Estou cursando e concluirei o Ensino Médio após 2023,Não informado,Não respondeu,NA,Sim,NA,NA,NA,NA,NA,NA,NA,2304400,Fortaleza,23,CE,Presente na prova,Presente na prova,Presente na prova,Presente na prova,Cinza,Rosa,Rosa,Rosa,515.9,528.1,567,631.3,CBCADABEEADBACEABDBACCDDEBEBBACABBABCCCDBEBCB,ABCDCAAACEBEDEEACDBADBAADDBECEEBCAEEBDCAEEBCE,CABBAAADEBBECEDAACDDBCCBDCCAADADADCDBEEDDECBC,EBDDBADBEDECCCBCCDABBDDBCADEAECADEDCEACBDDCBC,Inglês,CEDAEEDEECCEBADCCCABBABCAACDDDACDBEABDCDBEABD,ABCDCBDACDAEACEECABADBEABADEBAABCDCABADCDAADE,BDBBABAAAEAAECBBEAACAAACEACBCACCCEDEDADBDBEEDDACCC,EBDEEBDADDABCCBCCABBADDBDDAEAEABCBEDECADCECCB,Sem problemas,140,160,120,160,140,720,"Completou o Ensino Médio, mas não completou a Faculdade",Completou a Pós-graduação,Grupo 5 (Verificar a definição no dicionário de dados),Grupo 4 (Verificar a definição no dicionário de dados),4,"De R$ 19.800,01 até R$ 26.400,00.","Sim, pelo menos cinco dias por semana","Sim, quatro ou mais","Sim, quatro ou mais","Sim, dois",Não,"Sim, um","Sim, um","Sim, um",Não,"Sim, um","Sim, um",Sim,"Sim, quatro ou mais",Não,Não,"Sim, quatro ou mais",Não,"Sim, três",Sim
210060580662,2023,17 anos,Feminino,Solteiro(a),Branca,Brasileiro(a),Estou cursando e concluirei o Ensino Médio em 2023,Não informado,Pública,Ensino Regular,Não,2304400,Fortaleza,23,CE,Estadual,Urbana,Em atividade,2304400,Fortaleza,23,CE,Presente na prova,Presente na prova,Presente na prova,Presente na prova,Rosa,Amarela,Amarela,Cinza,546.2,605.9,632.6,503.4,CBBBABEDCDBCECDECDABECCADDAAEDCBDEBDBDEACCDBA,DAAADCADCDDDBDBCEBEBDAABABCDDDACECDAACBDAABCA,BBBDACCEAEDCACBDACCBDAECADAECBBDDBCCADCDEDDBC,EDDCAECEBCDABEBEACDDBCADEEABCCBDDECAEABDBCCEA,Inglês,CDDDABBABDBEABDECCEEEDCEDAEBABDCCAACCCADACDBE,DBAADEADCDCABABCDDEBAEABAECABAACECDAECBDAABCD,BBBDAABAEACCEEEDEACBCACAACAACAAAECBBEDBCCADBDEDDAC,EBDADDAEBEACBEDCECCBEABCADEBCCBCCDEBDDAABBADD,Sem problemas,140,200,160,200,200,900,"Completou o Ensino Médio, mas não completou a Faculdade","Completou o Ensino Médio, mas não completou a Faculdade",Grupo 3 (Verificar a definição no dicionário de dados),Grupo 2 (Verificar a definição no dicionário de dados),3,"De R$ 1.320,01 até R$ 1.980,00.",Não,"Sim, um","Sim, dois",Não,"Sim, um","Sim, um","Sim, um","Sim, um",Não,"Sim, um",Não,Sim,"Sim, um",Não,Não,"Sim, três",Não,"Sim, um",Sim
210061327893,2023,18 anos,Feminino,Divorciado(a)/Desquitado(a)/Separado(a),Branca,Brasileiro(a),Estou cursando e concluirei o Ensino Médio em 2023,Não informado,Pública,Ensino Regular,Não,2304400,Fortaleza,23,CE,Estadual,Urbana,Em atividade,2304400,Fortaleza,23,CE,Presente na prova,Presente na prova,Presente na prova,Presente na prova,Rosa,Amarela,Amarela,Cinza,532.9,561.2,571,629.3,CDEAEEEBDDBDCBAEEBEEEADBDABAECCDEDCDCAEBCEDBC,DCAABECBCDEADCCCADEBEEEDABCDBEACDBDBECCDDABCE,BCBBACBEEEDEEDDBACBABACDAAAEDBBEDBCAADBDCBCAC,ECABADDEEEAEEBDCDCBCEBDADCCACCBCBDBEEDBDBEDDD,Inglês,CDDDABBABDBEABDECCEEEDCEDAEBABDCCAACCCADACDBE,DBAADEADCDCABABCDDEBAEABAECABAACECDAECBDAABCD,BBBDAABAEACCEEEDEACBCACAACAACAAAECBBEDBCCADBDEDDAC,EBDADDAEBEACBEDCECCBEABCADEBCCBCCDEBDDAABBADD,Sem problemas,140,200,140,160,200,840,Completou a Pós-graduação,"Completou o Ensino Médio, mas não completou a Faculdade",Grupo 4 (Verificar a definição no dicionário de dados),Grupo 2 (Verificar a definição no dicionário de dados),4,"De R$ 9.240,01 até R$ 10.560,00.",Não,"Sim, dois","Sim, três","Sim, um",Não,"Sim, um",Não,"Sim, um",Não,"Sim, um",Não,Não,"Sim, um",Não,Não,"Sim, quatro ou mais",Não,"Sim, dois",Sim
