nu_inscricao,nu_ano,tp_faixa_etaria,tp_sexo,tp_estado_civil,tp_cor_raca,tp_nacionalidade,tp_st_conclusao,tp_ano_concluiu,tp_escola,tp_ensino,in_treineiro,co_municipio_esc,no_municipio_esc,co_uf_esc,sg_uf_esc,tp_dependencia_adm_esc,tp_localizacao_esc,tp_sit_func_esc,co_municipio_prova,no_municipio_prova,co_uf_prova,sg_uf_prova,tp_presenca_cn,tp_presenca_ch,tp_presenca_lc,tp_presenca_mt,co_prova_cn,co_prova_ch,co_prova_lc,co_prova_mt,nu_nota_cn,nu_nota_ch,nu_nota_lc,nu_nota_mt,tx_respostas_cn,tx_respostas_ch,tx_respostas_lc,tx_respostas_mt,tp_lingua,tx_gabarito_cn,tx_gabarito_ch,tx_gabarito_lc,tx_gabarito_mt,tp_status_redacao,nu_nota_comp1,nu_nota_comp2,nu_nota_comp3,nu_nota_comp4,nu_nota_comp5,nu_nota_redacao,q001,q002,q003,q004,q005,q006,q007,q008,q009,q010,q011,q012,q013,q014,q015,q016,q017,q018,q019,q020,q021,q022,q023,q024,q025
210058289579,2023,19 anos,Feminino,Solteiro(a),Preta,Estrangeiro(a),Já concluí o Ensino Médio,2022,Não respondeu,NA,Não,NA,NA,NA,NA,NA,NA,NA,3518800,Guarulhos,35,SP,Presente na prova,Presente na prova,Presente na prova,Presente na prova,Cinza,Rosa,Rosa,Rosa,423.4,501.3,509.4,347.2,EADACADDCEDACDECBDEDBADDCEEEEAACBBBEBBDEBBBDC,ABCDCECDDEAEECEADCBEBDB.CCCEABDBCEACCACADBDAE,CABBACADDBCEACDAABCCEDEAACACEDCCABCDEADDCACBD,BDDCAECBCADBCDCEABEDBCDCCBEBEADDBAACDEECDDBEC,Inglês,CEDAEEDEECCEBADCCCABBABCAACDDDACDBEABDCDBEABD,ABCDCBDACDAEACEECABADBEABADEBAABCDCABADCDAADE,BDBBABAAAEAAECBBEAACAAACEACBCACCCEDEDADBDBEEDDACCC,EBDEEBDADDABCCBCCABBADDBDDAEAEABCBEDECADCECCB,Sem problemas,100,120,100,100,60,480,"Completou o Ensino Médio, mas não completou a Faculdade","Completou o Ensino Médio, mas não completou a Faculdade",Grupo 3 (Verificar a definição no dicionário de dados),Grupo 2 (Verificar a definição no dicionário de dados),7,"De R$ 5.280,01 até R$ 6.600,00.",Não,"Sim, um","Sim, dois",Não,Não,"Sim, um","Sim, um","Sim, dois","Sim, um",Não,Não,Não,"Sim, um",Não,Não,Não,Não,"Sim, dois",Sim
210060260961,2023,17 anos,Masculino,Solteiro(a),Parda,Brasileiro(a),Estou cursando e concluirei o Ensino Médio em 2023,Não informado,Privada,Ensino Regular,Não,3518800,Guarulhos,35,SP,Privada,Urbana,Em atividade,3518800,Guarulhos,35,SP,Presente na prova,Presente na prova,Presente na prova,Presente na prova,Amarela,Azul,Azul,Amarela,537.8,553.7,552.3,622.8,CEDDAEABCECBCECDCCBBACABCBDDDCBADBEECBCAABDBC,CAADABABACBCBADECADAABADDABADCBEAAAACCBEEBADA,BCACBDECEEDCACBBAADEDABEBBACBAECCDACCADBBEBAE,DCDBBBBEDCEABBDAEABCDDBDBABDCDDCCCBDDEEAADBEE,Inglês,CAAADCCCCDDDABDCACDBEEEDCEDAEECCDBEABDBABBAEB,CDAEECABAACEAADECBDAABCDCABADCDEABAABCDDEBADB,BBDABAAEBADACEEDCCDBADBDEDCCEBCACEACAACAACACBBEAAE,DCECACCBDECBEEABEABDDAADDABBBCCBCCDDAEBDADEEB,Sem problemas,140,120,100,120,40,520,"Completou a Faculdade, mas não completou a Pós-graduação","Completou o Ensino Médio, mas não completou a Faculdade",Grupo 5 (Verificar a definição no dicionário de dados),Grupo 2 (Verificar a definição no dicionário de dados),4,"De R$ 5.280,01 até R$ 6.600,00.",Não,"Sim, dois","Sim, dois","Sim, um","Sim, um","Sim, um","Sim, um","Sim, um",Não,Não,Não,Sim,"Sim, dois",Não,Sim,"Sim, quatro ou mais",Sim,"Sim, um",Sim
210059416876,2023,18 anos,Feminino,Solteiro(a),Branca,Brasileiro(a),Já concluí o Ensino Médio,2022,Não respondeu,NA,Não,NA,NA,NA,NA,NA,NA,NA,3518800,Guarulhos,35,SP,Presente na prova,Presente na prova,Presente na prova,Presente na prova,Amarela,Azul,Azul,Amarela,621.3,644.3,586.1,646.5,DEDABEABCDBAABCBCCDEEACBDCDAEDCBDBEEDDACBECBB,CDAEECDBAACEAADECBDAABCDEABEDCDEBAAEBCCBEBDDB,BCDABAADAEDCCDBBDCDDDCCEBBACEACBBABEDADBBEEAE,BCECABACCECCDBECBDCBEABDBCBABDCCCCDDDEADADEEB,Inglês,CAAADCCCCDDDABDCACDBEEEDCEDAEECCDBEABDBABBAEB,CDAEECABAACEAADECBDAABCDCABADCDEABAABCDDEBADB,BBDABAAEBADACEEDCCDBADBDEDCCEBCACEACAACAACACBBEAAE,DCECACCBDECBEEABEABDDAADDABBBCCBCCDDAEBDADEEB,Sem problemas,140,160,140,160,140,740,Completou a Pós-graduação,"Completou a Faculdade, mas não completou a Pós-graduação",Grupo 4 (Verificar a definição no dicionário de dados),Grupo 2 (Verificar a definição no dicionário de dados),4,"De R$ 3.960,01 até R$ 5.280,00.",Não,"Sim, quatro ou mais","Sim, quatro ou mais","Sim, dois","Sim, um","Sim, um",Não,"Sim, um",Não,"Sim, um",Não,Não,"Sim, três",Não,Sim,"Sim, quatro ou mais",Não,"Sim, um",Sim
210060614733,2023,17 anos,Feminino,Solteiro(a),Preta,Brasileiro(a),Estou cursando e concluirei o Ensino Médio após 2023,Não informado,Não respondeu,NA,Sim,NA,NA,NA,NA,NA,NA,NA,3518800,Guarulhos,35,SP,Presente na prova,Presente na prova,Presente na prova,Presente na prova,Amarela,Azul,Azul,Amarela,556,572,584.9,729.6,AACEECCECECDAABDACEDBDDACBDEADEEDBEDBBCAACCBC,DEAECCABBACEDADEABDAABBDBDBADCDEBCADBCDACADDA,BCDABDACAEDCCBBBDBDEDCDDBBACDBEEBBAADACBBEDAB,DCDCACCCDBBBEEBBEAACDACDAABEBCCCCCDDBEEDADDEC,Inglês,CAAADCCCCDDDABDCACDBEEEDCEDAEECCDBEABDBABBAEB,CDAEECABAACEAADECBDAABCDCABADCDEABAABCDDEBADB,BBDABAAEBADACEEDCCDBADBDEDCCEBCACEACAACAACACBBEAAE,DCECACCBDECBEEABEABDDAADDABBBCCBCCDDAEBDADEEB,Sem problemas,140,200,120,140,120,720,"Completou a Faculdade, mas não completou a Pós-graduação","Completou a Faculdade, mas não completou a Pós-graduação",Grupo 4 (Verificar a definição no dicionário de dados),Grupo 4 (Verificar a definição no dicionário de dados),3,"De R$ 13.200,01 até R$ 15.840,00.",Não,"Sim, um","Sim, dois","Sim, um",Não,"Sim, um","Sim, um","Sim, um",Não,"Sim, um",Não,Não,"Sim, três",Não,Não,"Sim, três",Não,"Sim, um",Sim
210060954437,2023,21 anos,Masculino,Solteiro(a),Parda,Brasileiro(a),Já concluí o Ensino Médio,2020,Não respondeu,NA,Não,NA,NA,NA,NA,NA,NA,NA,3518800,Guarulhos,35,SP,Presente na prova,Presente na prova,Presente na prova,Presente na prova,Amarela,Azul,Azul,Amarela,590.3,579.7,567.6,681.9,CECADDBAADBADBDBCEDBECAACDDAEEBBEBEEBEDAEBBAC,DDAEADBBBCCBAADECCCAABCDEDDADCDDABBACCACEBCDA,ACCCCDABEEDCCEBADADEDDAEBBACEACCCDBCCADCBEAAE,DEDCACDCDDDBCCDBEABDECDCBEBCBCECCCADEEADADDEB,Espanhol,CAAADCCCCDDDABDCACDBEEEDCEDAEECCDBEABDBABBAEB,CDAEECABAACEAADECBDAABCDCABADCDEABAABCDDEBADB,BBDABAAEBADACEEDCCDBADBDEDCCEBCACEACAACAACACBBEAAE,DCECACCBDECBEEABEABDDAADDABBBCCBCCDDAEBDADEEB,Sem problemas,140,180,160,180,200,860,"Completou a 4ª série/5º ano, mas não completou a 8ª série/9º ano do ensino fundamental","Completou a 8ª série/9º ano do ensino fundamental, mas não completou o Ensino Médio",Grupo 1 (Verificar a definição no dicionário de dados),Grupo 2 (Verificar a definição no dicionário de dados),3,"De R$ 3.300,01 até R$ 3.960,00.",Não,"Sim, um","Sim, dois",Não,Não,"Sim, um","Sim, um","Sim, um",Não,"Sim, um",Não,Não,"Sim, um",Não,Não,"Sim, três",Não,Não,Sim
210060834629,2023,19 anos,Feminino,Solteiro(a),Parda,Brasileiro(a),Já concluí o Ensino Médio,2021,Não respondeu,NA,Não,NA,NA,NA,NA,NA,NA,NA,3518800,Guarulhos,35,SP,Presente na prova,Presente na prova,Presente na prova,Presente na prova,Amarela,Azul,Azul,Amarela,456.7,506.5,517,473.2,BEBEDDDEABCBCEDBCBEAACACCDADEDEEEBDAEDBABADBB,CDBECDDDCEBEDADECADBABCCECBABAADEBADADABBCEDC,ABDEACABAADCDDBBADDCDDCEABACBADBCEAEEAECEEAAE,CCDBBBEBEBDCECCDCBDBEDACAACBBCCCDDBDDECCAEBEE,Espanhol,CAAADCCCCDDDABDCACDBEEEDCEDAEECCDBEABDBABBAEB,CDAEECABAACEAADECBDAABCDCABADCDEABAABCDDEBADB,BBDABAAEBADACEEDCCDBADBDEDCCEBCACEACAACAACACBBEAAE,DCECACCBDECBEEABEABDDAADDABBBCCBCCDDAEBDADEEB,Sem problemas,120,160,120,140,160,700,"Completou a 8ª série/9º ano do ensino fundamental, mas não completou o Ensino Médio","Completou a 8ª série/9º ano do ensino fundamental, mas não completou o Ensino Médio",Grupo 3 (Verificar a definição no dicionário de dados),Grupo 3 (Verificar a definição no dicionário de dados),1,"Até R$ 1.320,00",Não,"Sim, um","Sim, um",Não,Não,"Sim, um","Sim, um",Não,Não,"Sim, um",Não,Não,"Sim, um",Não,Não,Não,Não,Não,Sim
210061021784,2023,18 anos,Feminino,Solteiro(a),Parda,Brasileiro(a),Estou cursando e concluirei o Ensino Médio em 2023,Não informado,Pública,Ensino Regular,Não,NA,NA,NA,NA,NA,NA,NA,3518800,Guarulhos,35,SP,Presente na prova,Presente na prova,Presente na prova,Presente na prova,Rosa,Amarela,Amarela,Cinza,440.7,550.1,544.6,565,ADCDBAECCEBDABBCDCBAACCBACBBECEAEEDDADAEACAED,DDAEBECDCCBABCAEADCBADEDECCBDAACECDBEABDAABAD,BCBCACDEAEDABCABACDACACEACAEDECEABBCADDABACAC,ECCBADDEBCAAACDCCCCBBEDBDDEBBDEEBEBACDBEBDDDB,Inglês,CDDDABBABDBEABDECCEEEDCEDAEBABDCCAACCCADACDBE,DBAADEADCDCABABCDDEBAEABAECABAACECDAECBDAABCD,BBBDAABAEACCEEEDEACBCACAACAACAAAECBBEDBCCADBDEDDAC,EBDADDAEBEACBEDCECCBEABCADEBCCBCCDEBDDAABBADD,Sem problemas,160,180,100,120,40,600,Não completou a 4ª série/5º ano do ensino fundamental,"Completou a 8ª série/9º ano do ensino fundamental, mas não completou o Ensino Médio",Grupo 2 (Verificar a definição no dicionário de dados),Grupo 2 (Verificar a definição no dicionário de dados),6,"Até R$ 1.320,00",Não,"Sim, um","Sim, um",Não,Não,"Sim, um",Não,Não,Não,Não,Não,Não,"Sim, um",Não,Não,"Sim, dois",Sim,Não,Sim
210058044329,2023,17 anos,Feminino,Solteiro(a),Preta,Brasileiro(a),Estou cursando e concluirei o Ensino Médio em 2023,Não informado,Pública,Ensino Regular,Não,NA,NA,NA,NA,NA,NA,NA,3518800,Guarulhos,35,SP,Presente na prova,Presente na prova,Presente na prova,Presente na prova,Amarela,Azul,Azul,Amarela,413.6,515.2,548.4,405.2,ABBCECDCECEBCDCBDBBBEADCBDDDCDCEDCCABEABBBCBD,CDACEDACCEADDBDECBCDABEDBEDADCBEBBDECABCEBEDC,BCAABDECAEDCDBBDBBADDCEEBADBCBBABDAAEACEBECAE,CBDAACAEABDBCBDDCACCCBBCCBADBCBCAEDBDCBEEDCEA,Inglês,CAAADCCCCDDDABDCACDBEEEDCEDAEECCDBEABDBABBAEB,CDAEECABAACEAADECBDAABCDCABADCDEABAABCDDEBADB,BBDABAAEBADACEEDCCDBADBDEDCCEBCACEACAACAACACBBEAAE,DCECACCBDECBEEABEABDDAADDABBBCCBCCDDAEBDADEEB,Sem problemas,120,140,120,160,40,580,"Completou o Ensino Médio, mas não completou a Faculdade",Completou a Pós-graduação,Não Sei,Grupo 4 (Verificar a definição no dicionário de dados),5,"De R$ 2.640,01 até R$ 3.300,00.",Não,"Sim, um","Sim, dois",Não,Não,"Sim, um","Sim, um","Sim, um",Não,"Sim, um",Não,Sim,"Sim, um",Não,Não,"Sim, dois",Não,"Sim, um",Sim
210058421957,2023,17 anos,Feminino,Solteiro(a),Parda,Brasileiro(a),Estou cursando e concluirei o Ensino Médio em 2023,Não informado,Pública,Ensino Regular,Não,NA,NA,NA,NA,NA,NA,NA,3518800,Guarulhos,35,SP,Presente na prova,Presente na prova,Presente na prova,Presente na prova,Cinza,Rosa,Rosa,Rosa,407.2,500.4,499.4,405.9,BBACEACEDACBCEADDEACBDCAEDBEBEBECBADCDAEBDACD,AEC*.BDACE.ADCEDCEDACBECAEBEBDACCBCEBADCCEBEA,DABDEEABEBDEAECCBCCDAEBEACDBCDCDBDADB.EAEBADC,CEDBEDABACDBCDBDEECADDAABECAEBDCCBECAADBECAEC,Inglês,CEDAEEDEECCEBADCCCABBABCAACDDDACDBEABDCDBEABD,ABCDCBDACDAEACEECABADBEABADEBAABCDCABADCDAADE,BDBBABAAAEAAECBBEAACAAACEACBCACCCEDEDADBDBEEDDACCC,EBDEEBDADDABCCBCCABBADDBDDAEAEABCBEDECADCECCB,Sem problemas,120,200,120,120,100,660,Não completou a 4ª série/5º ano do ensino fundamental,"Completou o Ensino Médio, mas não completou a Faculdade",Não Sei,Não Sei,3,"Até R$ 1.320,00",Não,"Sim, um","Sim, dois",Não,Não,"Sim, um",Não,"Sim, um",Não,Não,Não,Não,"Sim, um",Não,Não,"Sim, três",Não,Não,Sim
210058596124,2023,17 anos,Masculino,Solteiro(a),Branca,Brasileiro(a),Estou cursando e concluirei o Ensino Médio em 2023,Não informado,Privada,Ensino Regular,Não,3518800,Guarulhos,35,SP,Privada,Urbana,Extinta,3518800,Guarulhos,35,SP,Presente na prova,Presente na prova,Presente na prova,Presente na prova,Cinza,Rosa,Rosa,Rosa,632.5,647.4,586.7,656.1,CCDAEEAEBCEBBEECBEEABBCDEACDBBBCCBAEBCCEBEBAD,ABCACBDAADAEABECCABADBCCCADEBDEBCDCABADCDAADE,CDBBAAAEABBBAACACAECAEBBDCCBDDCDADCDDAEDCECCC,EDDDEABAADCBCCCCCABEEDCBDDEEABCAACECACDBCDABE,Inglês,CEDAEEDEECCEBADCCCABBABCAACDDDACDBEABDCDBEABD,ABCDCBDACDAEACEECABADBEABADEBAABCDCABADCDAADE,BDBBABAAAEAAECBBEAACAAACEACBCACCCEDEDADBDBEEDDACCC,EBDEEBDADDABCCBCCABBADDBDDAEAEABCBEDECADCECCB,Sem problemas,120,140,120,160,160,700,Completou a Pós-graduação,Completou a Pós-graduação,Grupo 5 (Verificar a definição no dicionário de dados),Grupo 4 (Verificar a definição no dicionário de dados),5,"De R$ 10.560,01 até R$ 11.880,00.",Não,"Sim, dois","Sim, dois","Sim, dois","Sim, um","Sim, um","Sim, um","Sim, um","Sim, um","Sim, um",Não,Sim,"Sim, três",Não,Sim,"Sim, três",Não,"Sim, dois",Sim
