nu_inscricao,nu_ano,tp_faixa_etaria,tp_sexo,tp_estado_civil,tp_cor_raca,tp_nacionalidade,tp_st_conclusao,tp_ano_concluiu,tp_escola,tp_ensino,in_treineiro,co_municipio_esc,no_municipio_esc,co_uf_esc,sg_uf_esc,tp_dependencia_adm_esc,tp_localizacao_esc,tp_sit_func_esc,co_municipio_prova,no_municipio_prova,co_uf_prova,sg_uf_prova,tp_presenca_cn,tp_presenca_ch,tp_presenca_lc,tp_presenca_mt,co_prova_cn,co_prova_ch,co_prova_lc,co_prova_mt,nu_nota_cn,nu_nota_ch,nu_nota_lc,nu_nota_mt,tx_respostas_cn,tx_respostas_ch,tx_respostas_lc,tx_respostas_mt,tp_lingua,tx_gabarito_cn,tx_gabarito_ch,tx_gabarito_lc,tx_gabarito_mt,tp_status_redacao,nu_nota_comp1,nu_nota_comp2,nu_nota_comp3,nu_nota_comp4,nu_nota_comp5,nu_nota_redacao,q001,q002,q003,q004,q005,q006,q007,q008,q009,q010,q011,q012,q013,q014,q015,q016,q017,q018,q019,q020,q021,q022,q023,q024,q025
210058677146,2023,Entre 26 e 30 anos,Masculino,Solteiro(a),Branca,Brasileiro(a),Já concluí o Ensino Médio,2011,Não respondeu,NA,Não,NA,NA,NA,NA,NA,NA,NA,3304557,Rio de Janeiro,33,RJ,Presente na prova,Presente na prova,Presente na prova,Presente na prova,Rosa,Amarela,Amarela,Cinza,526.1,546.6,518.7,562.9,CEBBDBCACDBEBCAEBADBECCBBABCDEADBEBCDACAAEBDB,DABDDEACCDCEDABCEDBBDABCBADEEBDCBDADECBDADBCD,ACCDACDEAEDCACBDABCADAEDAAAEDBDEBDCAEBCBDBDEB,EABADEDEBDBACDBCABDBCECEADBADCBCCDCADEACBDCDB,Espanhol,CDDDABBABDBEABDECCEEEDCEDAEBABDCCAACCCADACDBE,DBAADEADCDCABABCDDEBAEABAECABAACECDAECBDAABCD,BBBDAABAEACCEEEDEACBCACAACAACAAAECBBEDBCCADBDEDDAC,EBDADDAEBEACBEDCECCBEABCADEBCCBCCDEBDDAABBADD,Sem problemas,120,120,120,140,80,580,"Completou a 8ª série/9º ano do ensino fundamental, mas não completou o Ensino Médio","Completou o Ensino Médio, mas não completou a Faculdade",Grupo 3 (Verificar a definição no dicionário de dados),Grupo 2 (Verificar a definição no dicionário de dados),2,"De R$ 1.980,01 até R$ 2.640,00.",Não,"Sim, um","Sim, dois",Não,Não,"Sim, um",Não,"Sim, um",Não,"Sim, um",Não,Sim,"Sim, dois",Não,Não,"Sim, dois",Não,"Sim, um",Sim
210061451346,2023,24 anos,Feminino,Solteiro(a),Branca,Brasileiro(a),Já concluí o Ensino Médio,Não informado,Não respondeu,NA,Não,NA,NA,NA,NA,NA,NA,NA,3304557,Rio de Janeiro,33,RJ,Presente na prova,Presente na prova,Presente na prova,Presente na prova,Cinza,Rosa,Rosa,Rosa,495.7,504.2,434.8,473,CABDCEBEBCBBAEDDAADAAAABEDABCDCCBBAEDCDEBEEDC,ABCCBCCBEEADACBCEBBADADEADBDBECDCEBDBAECDCBDE,ABAADADDABBEAACEDABAADBEABADDBAAABCDEADACDBBC,EEDBECAABCDBCDCDCCCCBCEABCBADCBCCCBACBEBCECCC,Espanhol,CEDAEEDEECCEBADCCCABBABCAACDDDACDBEABDCDBEABD,ABCDCBDACDAEACEECABADBEABADEBAABCDCABADCDAADE,BDBBABAAAEAAECBBEAACAAACEACBCACCCEDEDADBDBEEDDACCC,EBDEEBDADDABCCBCCABBADDBDDAEAEABCBEDECADCECCB,Sem problemas,120,160,120,120,120,640,Não completou a 4ª série/5º ano do ensino fundamental,Não completou a 4ª série/5º ano do ensino fundamental,Grupo 1 (Verificar a definição no dicionário de dados),Grupo 1 (Verificar a definição no dicionário de dados),1,"Até R$ 1.320,00",Não,"Sim, um","Sim, um",Não,Não,"Sim, um",Não,Não,Não,Não,Não,Não,Não,Não,Não,"Sim, um",Não,Não,Sim
210059275212,2023,20 anos,Masculino,Solteiro(a),Parda,Brasileiro(a),Já concluí o Ensino Médio,2022,Não respondeu,NA,Não,NA,NA,NA,NA,NA,NA,NA,3304557,Rio de Janeiro,33,RJ,Presente na prova,Presente na prova,Presente na prova,Presente na prova,Rosa,Amarela,Amarela,Cinza,446.7,603.7,584.7,483.7,CEAACACAAABEBCCABCCBAAEDEACAECAABADADEE.ABBEE,DAABAEAAADCADABEEDBBDEABAEDEBBACECDAECBDEABDD,.BBBACCBEEBBACCAACAABAACABAECBBECDBCAEADEBDAC,EDAAACEEBACDDACEDAB.BABCECDEEBAABDCDBEBACBEBA,Inglês,CDDDABBABDBEABDECCEEEDCEDAEBABDCCAACCCADACDBE,DBAADEADCDCABABCDDEBAEABAECABAACECDAECBDAABCD,BBBDAABAEACCEEEDEACBCACAACAACAAAECBBEDBCCADBDEDDAC,EBDADDAEBEACBEDCECCBEABCADEBCCBCCDEBDDAABBADD,Sem problemas,160,180,140,180,140,800,"Completou o Ensino Médio, mas não completou a Faculdade","Completou a 8ª série/9º ano do ensino fundamental, mas não completou o Ensino Médio",Grupo 2 (Verificar a definição no dicionário de dados),Não Sei,2,"Até R$ 1.320,00",Não,"Sim, um","Sim, um",Não,Não,"Sim, um",Não,Não,Não,Não,Não,Não,"Sim, um",Não,Não,"Sim, um",Não,Não,Sim
210061373520,2023,18 anos,Masculino,Solteiro(a),Branca,Brasileiro(a),Estou cursando e concluirei o Ensino Médio em 2023,Não informado,Privada,Ensino Regular,Não,3304557,Rio de Janeiro,33,RJ,Privada,Urbana,Em atividade,3304557,Rio de Janeiro,33,RJ,Presente na prova,Presente na prova,Presente na prova,Presente na prova,Cinza,Rosa,Rosa,Rosa,535.4,587.9,563.7,662.3,CDADEABDCADBCECEDBCCECACECCCCDADBECEBCCDBEBBD,ABCDCADACDACACEACDBADADECADEBBDDCCCCDBDCDBACE,BDBBADAECEEEAADABECEAEBBACCCEDCBADBCDACBDDDBE,EBDCEBDADDBECCAAEDB.BDBAEEDCAEBEBBACCCACAECBE,Inglês,CEDAEEDEECCEBADCCCABBABCAACDDDACDBEABDCDBEABD,ABCDCBDACDAEACEECABADBEABADEBAABCDCABADCDAADE,BDBBABAAAEAAECBBEAACAAACEACBCACCCEDEDADBDBEEDDACCC,EBDEEBDADDABCCBCCABBADDBDDAEAEABCBEDECADCECCB,Sem problemas,160,180,180,180,140,840,"Completou o Ensino Médio, mas não completou a Faculdade","Completou a Faculdade, mas não completou a Pós-graduação",Grupo 4 (Verificar a definição no dicionário de dados),Grupo 4 (Verificar a definição no dicionário de dados),4,"De R$ 19.800,01 até R$ 26.400,00.","Sim, pelo menos cinco dias por semana","Sim, três","Sim, três","Sim, dois",Não,"Sim, três","Sim, um","Sim, um","Sim, um","Sim, um",Não,Sim,"Sim, quatro ou mais",Sim,Sim,"Sim, quatro ou mais",Sim,"Sim, quatro ou mais",Sim
210058456312,2023,19 anos,Feminino,Solteiro(a),Preta,Brasileiro(a),Já concluí o Ensino Médio,2021,Não respondeu,NA,Não,NA,NA,NA,NA,NA,NA,NA,3304557,Rio de Janeiro,33,RJ,Presente na prova,Presente na prova,Presente na prova,Presente na prova,Rosa,Amarela,Amarela,Cinza,459.6,473.2,519.4,407.9,BAEACACDDDBACBDDEDBBEACBECCBEDCEADDACBCAADCEA,CBAAEEEACBCCBDAEACACBCDABCCDEBCEACDBEAEDDACAD,BDBEACBEAEBCCCEBACBCDACEAEABBABEDCCBBDDDCACCC,BACCEADEEEACDDACDDCCBCDEDCDADDBBBDEDACEACCBEB,Espanhol,CDDDABBABDBEABDECCEEEDCEDAEBABDCCAACCCADACDBE,DBAADEADCDCABABCDDEBAEABAECABAACECDAECBDAABCD,BBBDAABAEACCEEEDEACBCACAACAACAAAECBBEDBCCADBDEDDAC,EBDADDAEBEACBEDCECCBEABCADEBCCBCCDEBDDAABBADD,Sem problemas,120,160,120,120,120,640,"Completou o Ensino Médio, mas não completou a Faculdade","Completou o Ensino Médio, mas não completou a Faculdade",Grupo 3 (Verificar a definição no dicionário de dados),Grupo 2 (Verificar a definição no dicionário de dados),3,Nenhuma Renda,Não,"Sim, um","Sim, dois",Não,Não,"Sim, um","Sim, um","Sim, um",Não,Não,Não,Não,"Sim, um",Não,Não,"Sim, dois",Não,Não,Sim
210059653577,2023,18 anos,Feminino,Solteiro(a),Parda,Brasileiro(a),Já concluí o Ensino Médio,2022,Não respondeu,NA,Não,NA,NA,NA,NA,NA,NA,NA,3304557,Rio de Janeiro,33,RJ,Presente na prova,Presente na prova,Presente na prova,Presente na prova,Amarela,Azul,Azul,Amarela,610.9,620.2,596.1,735.9,CBEAEBCEABCDEEBACEBDEEECCBDAEDCDDBEABDBADBABC,CDCECCADCACEABDECBDAABCDEEBABCDEABBDBADDEBCDC,AAEBADACEDDCADBADCDCECAEBBECBECDBBAACACBBEEAE,DDECCCDCDEEAACBBEABDDBBDCABCDCDCCBCDAEBDADEEB,Espanhol,CAAADCCCCDDDABDCACDBEEEDCEDAEECCDBEABDBABBAEB,CDAEECABAACEAADECBDAABCDCABADCDEABAABCDDEBADB,BBDABAAEBADACEEDCCDBADBDEDCCEBCACEACAACAACACBBEAAE,DCECACCBDECBEEABEABDDAADDABBBCCBCCDDAEBDADEEB,Sem problemas,160,200,160,160,160,840,"Completou a Faculdade, mas não completou a Pós-graduação","Completou o Ensino Médio, mas não completou a Faculdade",Grupo 3 (Verificar a definição no dicionário de dados),Grupo 2 (Verificar a definição no dicionário de dados),4,"Acima de R$ 26.400,00.",Não,"Sim, quatro ou mais","Sim, três","Sim, quatro ou mais",Não,"Sim, dois","Sim, dois","Sim, um",Não,"Sim, um",Não,Sim,"Sim, quatro ou mais",Não,Sim,"Sim, quatro ou mais",Sim,"Sim, dois",Sim
210058310935,2023,Entre 56 e 60 anos,Masculino,Solteiro(a),Parda,Brasileiro(a),Já concluí o Ensino Médio,Anterior a 2007,Não respondeu,NA,Não,NA,NA,NA,NA,NA,NA,NA,3304557,Rio de Janeiro,33,RJ,Presente na prova,Presente na prova,Presente na prova,Presente na prova,Cinza,Rosa,Rosa,Rosa,595.9,638.6,596.7,635.2,CBDACEAEEBBBACAABBAACDCDEDCDBCDCDEAAECCDBEEBA,ABCACBDACEADACECCABDDBDADAEEBAABCACABADCDAABE,BDBBAAAECBBEACAADACBAEABACCBEDEDBADDBEEDDABCE,EEDBEECACDBCCAAADABADDBBABAEBEABECDCECABBABAE,Inglês,CEDAEEDEECCEBADCCCABBABCAACDDDACDBEABDCDBEABD,ABCDCBDACDAEACEECABADBEABADEBAABCDCABADCDAADE,BDBBABAAAEAAECBBEAACAAACEACBCACCCEDEDADBDBEEDDACCC,EBDEEBDADDABCCBCCABBADDBDDAEAEABCBEDECADCECCB,Sem problemas,120,120,120,80,80,520,"Completou a Faculdade, mas não completou a Pós-graduação",Completou a Pós-graduação,Grupo 5 (Verificar a definição no dicionário de dados),Grupo 4 (Verificar a definição no dicionário de dados),1,Nenhuma Renda,Não,"Sim, um","Sim, um",Não,Não,"Sim, um",Não,"Sim, um","Sim, um","Sim, um",Não,Não,"Sim, dois",Não,Não,"Sim, um",Não,"Sim, um",Sim
210061236997,2023,18 anos,Masculino,Solteiro(a),Preta,Brasileiro(a),Estou cursando e concluirei o Ensino Médio em 2023,Não informado,Pública,Ensino Regular,Não,NA,NA,NA,NA,NA,NA,NA,3304557,Rio de Janeiro,33,RJ,Presente na prova,Presente na prova,Presente na prova,Presente na prova,Cinza,Rosa,Rosa,Rosa,421.1,570.6,517.1,613.3,CDECBBADEDDBAAADABEABCEDACEDBADBEACCCEBEBADCA,ABCACBDACEAEAAECAEDADACBDABEBCBBCEADBAACE.DDE,CACCEDAEDCCEBECACABCBCDBABCAEDCDBECDBEADDACBD,EDDBEACABDDCCAECBACDBDABCADCACEDBBADACABCDEAB,Espanhol,CEDAEEDEECCEBADCCCABBABCAACDDDACDBEABDCDBEABD,ABCDCBDACDAEACEECABADBEABADEBAABCDCABADCDAADE,BDBBABAAAEAAECBBEAACAAACEACBCACCCEDEDADBDBEEDDACCC,EBDEEBDADDABCCBCCABBADDBDDAEAEABCBEDECADCECCB,Sem problemas,120,140,100,100,80,540,"Completou o Ensino Médio, mas não completou a Faculdade","Completou a 4ª série/5º ano, mas não completou a 8ª série/9º ano do ensino fundamental",Grupo 4 (Verificar a definição no dicionário de dados),Grupo 2 (Verificar a definição no dicionário de dados),3,"Até R$ 1.320,00",Não,"Sim, um","Sim, dois",Não,Não,"Sim, um","Sim, um","Sim, um",Não,"Sim, um",Não,Não,"Sim, dois",Não,Não,"Sim, dois",Sim,"Sim, um",Sim
210059368934,2023,18 anos,Feminino,Solteiro(a),Parda,Brasileiro(a),Estou cursando e concluirei o Ensino Médio em 2023,Não informado,Pública,Ensino Regular,Não,NA,NA,NA,NA,NA,NA,NA,3304557,Rio de Janeiro,33,RJ,Presente na prova,Presente na prova,Presente na prova,Presente na prova,Amarela,Azul,Azul,Amarela,495.6,473.2,479.9,363.5,EECCEDADAEEBCEACBCBECDEECCDCDEDEDBDCEDDADBCBE,CDCAAADDBAAACADEBADBABEDDDDCBCDDCDEDCAABCBDEA,ACECBBAAABDBDBDDDDCCCCBDBAACBACDBBDCBAACBEAAE,DDBACCEABBDBAEDDDCEBBDABAACCBCCAEEADCAEABEACD,Inglês,CAAADCCCCDDDABDCACDBEEEDCEDAEECCDBEABDBABBAEB,CDAEECABAACEAADECBDAABCDCABADCDEABAABCDDEBADB,BBDABAAEBADACEEDCCDBADBDEDCCEBCACEACAACAACACBBEAAE,DCECACCBDECBEEABEABDDAADDABBBCCBCCDDAEBDADEEB,Sem problemas,120,120,100,120,80,540,"Completou o Ensino Médio, mas não completou a Faculdade","Completou a Faculdade, mas não completou a Pós-graduação",Grupo 2 (Verificar a definição no dicionário de dados),Grupo 4 (Verificar a definição no dicionário de dados),4,"De R$ 1.320,01 até R$ 1.980,00.",Não,"Sim, um","Sim, dois",Não,Não,"Sim, um","Sim, um","Sim, um",Não,"Sim, um",Não,Não,"Sim, um",Não,Não,"Sim, três",Não,Não,Sim
210060003258,2023,19 anos,Feminino,Solteiro(a),Branca,Brasileiro(a),Já concluí o Ensino Médio,2022,Não respondeu,NA,Não,NA,NA,NA,NA,NA,NA,NA,3304557,Rio de Janeiro,33,RJ,Presente na prova,Presente na prova,Presente na prova,Presente na prova,Amarela,Azul,Azul,Amarela,505.7,490.9,499.2,505,CECECEDCAEDACBEBDCDBAAACCBBABDECEBECBCBAEBDBD,CACEDAEEDEAEBABEDCBAACECCDBADCBEEDBABBDBEBCEA,BCECEAACADDCEDBDBADCBDBEDBACCECEBBAEEAAEBEAAE,BDDABACCDEAADEEDECCCDEDDBDDCBCABDBBEDCAAADBEC,Inglês,CAAADCCCCDDDABDCACDBEEEDCEDAEECCDBEABDBABBAEB,CDAEECABAACEAADECBDAABCDCABADCDEABAABCDDEBADB,BBDABAAEBADACEEDCCDBADBDEDCCEBCACEACAACAACACBBEAAE,DCECACCBDECBEEABEABDDAADDABBBCCBCCDDAEBDADEEB,Sem problemas,160,40,40,160,40,440,Completou a Pós-graduação,Completou a Pós-graduação,Grupo 5 (Verificar a definição no dicionário de dados),Não Sei,4,"De R$ 7.920,01 até R$ 9240,00.","Sim, um ou dois dias por semana","Sim, três","Sim, três","Sim, um",Não,"Sim, um","Sim, dois","Sim, um",Não,"Sim, um",Não,Sim,"Sim, três",Não,Sim,"Sim, quatro ou mais",Não,"Sim, quatro ou mais",Sim
