nu_inscricao;nu_ano;tp_faixa_etaria;tp_sexo;tp_estado_civil;tp_cor_raca;tp_nacionalidade;tp_st_conclusao;tp_ano_concluiu;tp_escola;tp_ensino;in_treineiro;co_municipio_esc;no_municipio_esc;co_uf_esc;sg_uf_esc;tp_dependencia_adm_esc;tp_localizacao_esc;tp_sit_func_esc;co_municipio_prova;no_municipio_prova;co_uf_prova;sg_uf_prova;tp_presenca_cn;tp_presenca_ch;tp_presenca_lc;tp_presenca_mt;co_prova_cn;co_prova_ch;co_prova_lc;co_prova_mt;nu_nota_cn;nu_nota_ch;nu_nota_lc;nu_nota_mt;tx_respostas_cn;tx_respostas_ch;tx_respostas_lc;tx_respostas_mt;tp_lingua;tx_gabarito_cn;tx_gabarito_ch;tx_gabarito_lc;tx_gabarito_mt;tp_status_redacao;nu_nota_comp1;nu_nota_comp2;nu_nota_comp3;nu_nota_comp4;nu_nota_comp5;nu_nota_redacao;q001;q002;q003;q004;q005;q006;q007;q008;q009;q010;q011;q012;q013;q014;q015;q016;q017;q018;q019;q020;q021;q022;q023;q024;q025
210061019241;2023;Entre 26 e 30 anos;Feminino;Solteiro(a);Parda;Brasileiro(a);Já concluí o Ensino Médio;2013;Não respondeu;NA;Não;NA;NA;NA;NA;NA;NA;NA;3301009;Campos dos Goytacazes;33;RJ;Presente na prova;Presente na prova;Presente na prova;Presente na prova;Cinza;Rosa;Rosa;Rosa;570,6;717,1;573,5;514,0;CBDDAEABECDAAEEDBAEBCDCDEDCECBDCCBECEBBDBEEBB;ABCDCBDACDAEACEECEBADCEAAADEBAABCDCDBADCDAADE;EAAAEAABECBEAEDAAADDACBDACCCEDEABEAACAEBDACCC;EEDBEAEBCDBECCCEEAACBEEDCDECBBECABDDDBAEEDABB;Espanhol;CEDAEEDEECCEBADCCCABBABCAACDDDACDBEABDCDBEABD;ABCDCBDACDAEACEECABADBEABADEBAABCDCABADCDAADE;BDBBABAAAEAAECBBEAACAAACEACBCACCCEDEDADBDBEEDDACCC;EBDEEBDADDABCCBCCABBADDBDDAEAEABCBEDECADCECCB;Sem problemas;160;120;140;120;80;620;Completou o Ensino Médio, mas não completou a Faculdade;Completou o Ensino Médio, mas não completou a Faculdade;Não Sei;Não Sei;5;De R$ 3.960,01 até R$ 5.280,00.;Não;Sim, dois;Sim, três;Não;Não;Sim, um;Sim, um;Sim, um;Não;Sim, um;Não;Sim;Sim, um;Não;Não;Sim, quatro ou mais;Não;Sim, um;Sim
210060376098;2023;18 anos;Feminino;Solteiro(a);Branca;Brasileiro(a);Estou cursando e concluirei o Ensino Médio em 2023;Não informado;Pública;Ensino Regular;Não;3301009;Campos dos Goytacazes;33;RJ;Estadual;Urbana;Em atividade;3301009;Campos dos Goytacazes;33;RJ;Presente na prova;Presente na prova;Presente na prova;Presente na prova;Cinza;Rosa;Rosa;Rosa;539,4;589,2;596,8;673,2;BDDACECEDCEBBECEBECADBDEECAEBDBDBECCDADDBEBBC;ABCDCBDACDADACEEBDDADBCBBBDEADEBCEEABBBCCAEEE;BDBBAAADCEBEAECACBBCBCBBECCBEDCDADADBEEBDACAD;EADEEABADDCECCDCCCBADDBBCDEEAEBDCAEDCDABABEBB;Inglês;CEDAEEDEECCEBADCCCABBABCAACDDDACDBEABDCDBEABD;ABCDCBDACDAEACEECABADBEABADEBAABCDCABADCDAADE;BDBBABAAAEAAECBBEAACAAACEACBCACCCEDEDADBDBEEDDACCC;EBDEEBDADDABCCBCCABBADDBDDAEAEABCBEDECADCECCB;Sem problemas;160;180;160;140;100;740;Completou o Ensino Médio, mas não completou a Faculdade;Completou a Faculdade, mas não completou a Pós-graduação;Grupo 2 (Verificar a definição no dicionário de dados);Grupo 2 (Verificar a definição no dicionário de dados);3;De R$ 1.980,01 até R$ 2.640,00.;Não;Sim, um;Sim, dois;Sim, um;Não;Sim, um;Não;Não;Não;Não;Não;Não;Sim, um;Não;Não;Sim, três;Não;Sim, um;Sim
210058737651;2023;17 anos;Feminino;Solteiro(a);Branca;Brasileiro(a);Estou cursando e concluirei o Ensino Médio em 2023;Não informado;Pública;Ensino Regular;Não;3305000;São João da Barra;33;RJ;Federal;Rural;Em atividade;3301009;Campos dos Goytacazes;33;RJ;Presente na prova;Presente na prova;Presente na prova;Presente na prova;Rosa;Amarela;Amarela;Cinza;568,4;649,4;632,3;709,6;CEBACAEDEDBEDCBBCCABEACDDABBECDEBEDCEEEBCEEBD;DAABDEADCDCEBABADDEBAEBBACCEBEACECDAECBCAABCD;BEBAACDEEEDBACBEACCABAAEAAACCBBECBCCADDDEDDAC;EBDABADEBBAABEBBDCBDECBCBDACCCDCCDEBBDAAABCDA;Inglês;CDDDABBABDBEABDECCEEEDCEDAEBABDCCAACCCADACDBE;DBAADEADCDCABABCDDEBAEABAECABAACECDAECBDAABCD;BBBDAABAEACCEEEDEACBCACAACAACAAAECBBEDBCCADBDEDDAC;EBDADDAEBEACBEDCECCBEABCADEBCCBCCDEBDDAABBADD;Sem problemas;160;200;120;180;200;860;Completou a Faculdade, mas não completou a Pós-graduação;Completou a Pós-graduação;Grupo 4 (Verificar a definição no dicionário de dados);Grupo 4 (Verificar a definição no dicionário de dados);5;De R$ 13.200,01 até R$ 15.840,00.;Não;Sim, três;Sim, três;Sim, um;Não;Sim, um;Sim, um;Sim, um;Não;Sim, um;Não;Não;Sim, quatro ou mais;Não;Sim;Sim, quatro ou mais;Não;Sim, um;Sim
210058192817;2023;Menor de 17 anos;Feminino;Solteiro(a);Parda;Brasileiro(a);Estou cursando e concluirei o Ensino Médio após 2023;Não informado;Não respondeu;NA;Sim;NA;NA;NA;NA;NA;NA;NA;3301009;Campos dos Goytacazes;33;RJ;Presente na prova;Presente na prova;Presente na prova;Presente na prova;Rosa;Amarela;Amarela;Cinza;495,7;583,9;542,0;572,3;EECBDADECCBEDBAABCBAADCDBABBEDBEDEDBEEADCEEBB;DBDEDEADCDCADEBCDDE.EDACBCC.BDDCECDCEBBDBACCD;BBBDCCBEABB.AEBBACCBABACAAAECBEEABADCACDEABAC;EABACDEECEEABBEABACBECEABDCEACDDCDADEEAACBDDA;Inglês;CDDDABBABDBEABDECCEEEDCEDAEBABDCCAACCCADACDBE;DBAADEADCDCABABCDDEBAEABAECABAACECDAECBDAABCD;BBBDAABAEACCEEEDEACBCACAACAACAAAECBBEDBCCADBDEDDAC;EBDADDAEBEACBEDCECCBEABCADEBCCBCCDEBDDAABBADD;Sem problemas;160;200;200;160;120;840;Completou o Ensino Médio, mas não completou a Faculdade;Completou a Pós-graduação;Grupo 4 (Verificar a definição no dicionário de dados);Grupo 4 (Verificar a definição no dicionário de dados);4;De R$ 10.560,01 até R$ 11.880,00.;Não;Sim, dois;Sim, dois;Sim, um;Não;Sim, um;Não;Sim, um;Não;Sim, um;Não;Não;Sim, dois;Não;Não;Sim, três;Não;Sim, um;Sim
210059559389;2023;17 anos;Feminino;Solteiro(a);Branca;Brasileiro(a);Estou cursando e concluirei o Ensino Médio em 2023;Não informado;Pública;Ensino Regular;Não;3305000;São João da Barra;33;RJ;Federal;Rural;Em atividade;3301009;Campos dos Goytacazes;33;RJ;Presente na prova;Presente na prova;Presente na prova;Presente na prova;Rosa;Amarela;Amarela;Cinza;463,5;562,5;565,1;620,6;CDAEBBEDCDBDEBCECBAEADDACCBAECADCBCEABEBDCADB;DAAADEADCBCDBCECAAEACDEBACDDBEACEDDBECEDBAECD;BCBDACBEAEBCAEBAABBCDACDAAADDBBEBBAEADEDCDCEB;EBCCBDDCBEADAEBBDCAEDCEDEDCBBCACBDECDCEABCDDC;Inglês;CDDDABBABDBEABDECCEEEDCEDAEBABDCCAACCCADACDBE;DBAADEADCDCABABCDDEBAEABAECABAACECDAECBDAABCD;BBBDAABAEACCEEEDEACBCACAACAACAAAECBBEDBCCADBDEDDAC;EBDADDAEBEACBEDCECCBEABCADEBCCBCCDEBDDAABBADD;Sem problemas;140;140;120;180;100;680;Completou a Pós-graduação;Completou o Ensino Médio, mas não completou a Faculdade;Grupo 4 (Verificar a definição no dicionário de dados);Grupo 4 (Verificar a definição no dicionário de dados);3;De R$ 3.960,01 até R$ 5.280,00.;Não;Sim, dois;Sim, dois;Sim, um;Não;Sim, dois;Não;Sim, um;Não;Não;Não;Não;Sim, dois;Não;Não;Sim, três;Não;Sim, um;Sim
210061378462;2023;Entre 36 e 40 anos;Feminino;Casado(a)/Mora com um(a) companheiro(a);Branca;Brasileiro(a);Estou cursando e concluirei o Ensino Médio em 2023;Não informado;Pública;NA;Não;3301009;Campos dos Goytacazes;33;RJ;Estadual;Urbana;Em atividade;3301009;Campos dos Goytacazes;33;RJ;Presente na prova;Presente na prova;Presente na prova;Presente na prova;Rosa;Amarela;Amarela;Cinza;431,6;521,8;424,0;383,4;EDBDEEBACEBACDABBCEBADCAB.BEECABEEEBAC.EDCBA.;EBEEDBABCDEABABCAACACEEDEBBBEAACDCDAACACAABCA;DEBEBADDADCADABBBADCBBABACAECCBECBEABBABBCCEA;.........BD...EBCBAEADCAAC.DCCBBADCB.DAD.D.CB;Inglês;CDDDABBABDBEABDECCEEEDCEDAEBABDCCAACCCADACDBE;DBAADEADCDCABABCDDEBAEABAECABAACECDAECBDAABCD;BBBDAABAEACCEEEDEACBCACAACAACAAAECBBEDBCCADBDEDDAC;EBDADDAEBEACBEDCECCBEABCADEBCCBCCDEBDDAABBADD;Sem problemas;100;100;80;80;40;400;Completou a 8ª série/9º ano do ensino fundamental, mas não completou o Ensino Médio;Não sei;Grupo 4 (Verificar a definição no dicionário de dados);Grupo 3 (Verificar a definição no dicionário de dados);5;De R$ 5.280,01 até R$ 6.600,00.;Não;Sim, um;Sim, dois;Sim, um;Não;Sim, um;Não;Não;Não;Não;Não;Sim;Sim, um;Sim;Sim;Sim, quatro ou mais;Sim;Sim, um;Sim
210058093834;2023;18 anos;Masculino;Solteiro(a);Parda;Brasileiro(a);Estou cursando e concluirei o Ensino Médio em 2023;Não informado;Pública;Ensino Regular;Não;3301009;Campos dos Goytacazes;33;RJ;Privada;Urbana;Em atividade;3301009;Campos dos Goytacazes;33;RJ;Presente na prova;Presente na prova;Presente na prova;Presente na prova;Cinza;Rosa;Rosa;Rosa;583,6;565,2;528,5;704,2;CBDACADDDCDBCACEABBBBCEAAAAABBDCEBEADBBDBEEDC;ABCDCDDADDBDCCDAADBBDACCDEAEBEAECDADBADCDAADE;EDBBABAEDBBEAADABEBCCDABECEAEBBDAABDBDBEECCBC;EBDCEBDACDACCCDCACBBEDBDCDCBBEDDABECEABCCECBE;Inglês;CEDAEEDEECCEBADCCCABBABCAACDDDACDBEABDCDBEABD;ABCDCBDACDAEACEECABADBEABADEBAABCDCABADCDAADE;BDBBABAAAEAAECBBEAACAAACEACBCACCCEDEDADBDBEEDDACCC;EBDEEBDADDABCCBCCABBADDBDDAEAEABCBEDECADCECCB;Sem problemas;120;200;140;140;180;780;Completou a Pós-graduação;Completou a Pós-graduação;Grupo 4 (Verificar a definição no dicionário de dados);Grupo 4 (Verificar a definição no dicionário de dados);2;De R$ 11.880,01 até R$ 13.200,00.;Não;Sim, um;Sim, um;Não;Não;Sim, um;Sim, um;Não;Não;Não;Não;Não;Não;Não;Não;Sim, dois;Não;Sim, dois;Sim
210060821576;2023;17 anos;Feminino;Não informado;Branca;Brasileiro(a);Estou cursando e concluirei o Ensino Médio após 2023;Não informado;Não respondeu;NA;Sim;NA;NA;NA;NA;NA;NA;NA;3301009;Campos dos Goytacazes;33;RJ;Presente na prova;Presente na prova;Presente na prova;Presente na prova;Amarela;Azul;Azul;Amarela;525,5;572,7;584,0;463,9;DEEBEDECCDCBECCDBCCEEBACCAEAEECADBDBECDBACBEA;CEBEACEDAECDABAECBCAABCDCABADCDCCADDBCAEDBCDA;BEAABCACADDBDDBADDDCDCBDBEACEACCBBAAEAEBBEAAE;CDEDBDCAECDBBDBAEBDECAEBCCADCDADCDCDDEACDEDEA;Inglês;CAAADCCCCDDDABDCACDBEEEDCEDAEECCDBEABDBABBAEB;CDAEECABAACEAADECBDAABCDCABADCDEABAABCDDEBADB;BBDABAAEBADACEEDCCDBADBDEDCCEBCACEACAACAACACBBEAAE;DCECACCBDECBEEABEABDDAADDABBBCCBCCDDAEBDADEEB;Sem problemas;160;180;200;180;180;900;Completou o Ensino Médio, mas não completou a Faculdade;Completou a Pós-graduação;Grupo 4 (Verificar a definição no dicionário de dados);Grupo 4 (Verificar a definição no dicionário de dados);4;De R$ 11.880,01 até R$ 13.200,00.;Não;Sim, dois;Sim, três;Sim, dois;Não;Sim, um;Sim, um;Sim, um;Sim, um;Sim, um;Não;Sim;Sim, dois;Sim;Não;Sim, quatro ou mais;Não;Sim, um;Sim
210060060799;2023;18 anos;Masculino;Solteiro(a);Branca;Brasileiro(a);Já concluí o Ensino Médio;2022;Não respondeu;NA;Não;NA;NA;NA;NA;NA;NA;NA;3301009;Campos dos Goytacazes;33;RJ;Presente na prova;Presente na prova;Presente na prova;Presente na prova;Rosa;Amarela;Amarela;Cinza;580,0;624,7;582,0;674,8;CEBAABCCCDBEDDBDADBCEBCBDAACACCCCECCEAECDABCC;DAAADEADCDCABECCDDEBAEABAAAABECCECEACCBCAABCA;BCBDACCEECDBAEBBACCABACCAAAEDBBECBDCBDBDCADDC;EDBAADDEEEAAAEBAEBBCBBBADEECCCDCCDEBADEACCDDD;Inglês;CDDDABBABDBEABDECCEEEDCEDAEBABDCCAACCCADACDBE;DBAADEADCDCABABCDDEBAEABAECABAACECDAECBDAABCD;BBBDAABAEACCEEEDEACBCACAACAACAAAECBBEDBCCADBDEDDAC;EBDADDAEBEACBEDCECCBEABCADEBCCBCCDEBDDAABBADD;Sem problemas;160;160;160;160;160;800;Completou a Faculdade, mas não completou a Pós-graduação;Completou o Ensino Médio, mas não completou a Faculdade;Grupo 5 (Verificar a definição no dicionário de dados);Não Sei;5;De R$ 13.200,01 até R$ 15.840,00.;Sim, um ou dois dias por semana;Sim, dois;Sim, três;Sim, dois;Sim, um;Sim, um;Sim, um;Sim, um;Não;Sim, um;Sim, um;Sim;Sim, um;Não;Sim;Sim, quatro ou mais;Não;Sim, três;Sim
210058799123;2023;21 anos;Masculino;Solteiro(a);Parda;Brasileiro(a);Estou cursando e concluirei o Ensino Médio em 2023;Não informado;Pública;Ensino Regular;Não;3301009;Campos dos Goytacazes;33;RJ;Federal;Urbana;Em atividade;3301009;Campos dos Goytacazes;33;RJ;Presente na prova;Presente na prova;Presente na prova;Presente na prova;Rosa;Amarela;Amarela;Cinza;522,0;570,7;532,5;450,2;EDCBADDDCDBDBBCAEEEBABCDDBEBCCCBDECEDBEECCEDE;DAADDEABCECAEDBADBABEBADADCABBCCDCACECBDDABCD;BBAEACBEADDAACDBACABBADAACABCBEEDBECBADEDCBBD;CDCBDDDCDEDCCDDBDBCBBDCDBDDCCDAECDBEDEBACBBDB;Espanhol;CDDDABBABDBEABDECCEEEDCEDAEBABDCCAACCCADACDBE;DBAADEADCDCABABCDDEBAEABAECABAACECDAECBDAABCD;BBBDAABAEACCEEEDEACBCACAACAACAAAECBBEDBCCADBDEDDAC;EBDADDAEBEACBEDCECCBEABCADEBCCBCCDEBDDAABBADD;Sem problemas;80;120;120;80;80;480;Não completou a 4ª série/5º ano do ensino fundamental;Completou o Ensino Médio, mas não completou a Faculdade;Grupo 2 (Verificar a definição no dicionário de dados);Grupo 2 (Verificar a definição no dicionário de dados);1;Nenhuma Renda;Não;Sim, um;Sim, dois;Não;Não;Sim, um;Sim, um;Sim, um;Não;Não;Não;Não;Sim, um;Não;Não;Sim, um;Não;Não;Sim
