nu_inscricao;nu_ano;tp_faixa_etaria;tp_sexo;tp_estado_civil;tp_cor_raca;tp_nacionalidade;tp_st_conclusao;tp_ano_concluiu;tp_escola;tp_ensino;in_treineiro;co_municipio_esc;no_municipio_esc;co_uf_esc;sg_uf_esc;tp_dependencia_adm_esc;tp_localizacao_esc;tp_sit_func_esc;co_municipio_prova;no_municipio_prova;co_uf_prova;sg_uf_prova;tp_presenca_cn;tp_presenca_ch;tp_presenca_lc;tp_presenca_mt;co_prova_cn;co_prova_ch;co_prova_lc;co_prova_mt;nu_nota_cn;nu_nota_ch;nu_nota_lc;nu_nota_mt;tx_respostas_cn;tx_respostas_ch;tx_respostas_lc;tx_respostas_mt;tp_lingua;tx_gabarito_cn;tx_gabarito_ch;tx_gabarito_lc;tx_gabarito_mt;tp_status_redacao;nu_nota_comp1;nu_nota_comp2;nu_nota_comp3;nu_nota_comp4;nu_nota_comp5;nu_nota_redacao;q001;q002;q003;q004;q005;q006;q007;q008;q009;q010;q011;q012;q013;q014;q015;q016;q017;q018;q019;q020;q021;q022;q023;q024;q025
210061456131;2023;18 anos;Masculino;Solteiro(a);Branca;Brasileiro(a);Estou cursando e concluirei o Ensino Médio em 2023;Não informado;Privada;Ensino Regular;Não;4209102;Joinville;42;SC;Privada;Urbana;Em atividade;4209102;Joinville;42;SC;Presente na prova;Presente na prova;Presente na prova;Presente na prova;Amarela;Azul;Azul;Amarela;392,1;371,7;584,2;729,4;BEBCDECBAAEDCBDEDDACBDCCEBACDEBCDDEECCBBAACDE;CCCCCCDCDDDDDDDBCDDDDCACCEBEBADEDADACABACEDAB;BCDBBDCCAADCCDBADCDCACCEBBACEACCBAAECAEBBEDAB;DBDCCCCBCDABEEEBCDBDDCADADBDDCCBCCADDEBDADEED;Inglês;CAAADCCCCDDDABDCACDBEEEDCEDAEECCDBEABDBABBAEB;CDAEECABAACEAADECBDAABCDCABADCDEABAABCDDEBADB;BBDABAAEBADACEEDCCDBADBDEDCCEBCACEACAACAACACBBEAAE;DCECACCBDECBEEABEABDDAADDABBBCCBCCDDAEBDADEEB;Sem problemas;140;140;120;120;140;660;Completou a 8ª série/9º ano do ensino fundamental, mas não completou o Ensino Médio;Completou a Pós-graduação;Grupo 3 (Verificar a definição no dicionário de dados);Grupo 4 (Verificar a definição no dicionário de dados);4;De R$ 5.280,01 até R$ 6.600,00.;Não;Sim, dois;Sim, três;Sim, dois;Não;Sim, um;Sim, um;Sim, dois;Sim, um;Sim, um;Não;Sim;Sim, um;Não;Não;Sim, quatro ou mais;Não;Sim, dois;Sim
210059235347;2023;19 anos;Feminino;Solteiro(a);Branca;Brasileiro(a);Já concluí o Ensino Médio;2022;Não respondeu;NA;Não;NA;NA;NA;NA;NA;NA;NA;4209102;Joinville;42;SC;Presente na prova;Presente na prova;Presente na prova;Presente na prova;Rosa;Amarela;Amarela;Cinza;583,8;612,1;586,5;623,5;ADDBBABDCDBEBEBECBABAACCDAACBAACDEEABBABDEBBE;DAAACEADCDEEAECCADEBCBAAAECEBBAADCDAECBCAABCD;BCBCBCDEEEDBACCBACDACACCADAEDBBEEBDCADBDCDCEC;EADAADDEDEEAEEBBDDBCBDEDEEECCCCCBDCBEBDACABDA;Inglês;CDDDABBABDBEABDECCEEEDCEDAEBABDCCAACCCADACDBE;DBAADEADCDCABABCDDEBAEABAECABAACECDAECBDAABCD;BBBDAABAEACCEEEDEACBCACAACAACAAAECBBEDBCCADBDEDDAC;EBDADDAEBEACBEDCECCBEABCADEBCCBCCDEBDDAABBADD;Sem problemas;140;180;160;140;160;780;Não sei;Completou o Ensino Médio, mas não completou a Faculdade;Não Sei;Grupo 2 (Verificar a definição no dicionário de dados);3;De R$ 1.980,01 até R$ 2.640,00.;Não;Sim, um;Sim, dois;Não;Não;Sim, um;Sim, um;Sim, um;Não;Não;Não;Não;Sim, dois;Não;Não;Sim, dois;Não;Sim, um;Sim
210061271331;2023;17 anos;Feminino;Solteiro(a);Branca;Brasileiro(a);Estou cursando e concluirei o Ensino Médio em 2023;Não informado;Pública;Ensino Regular;Não;4209102;Joinville;42;SC;Privada;Urbana;Em atividade;4209102;Joinville;42;SC;Presente na prova;Presente na prova;Presente na prova;Presente na prova;Cinza;Rosa;Rosa;Rosa;543,6;554,6;573,0;434,4;CBDEBEBACCDBCECDBAEEBCCDEEAEBDDECDCEBCCDBEEDC;ABCDCBDBCEDDACDACDDADBEEAADBAADBCCDABAADBAADE;EEBBEAADCBBEAADAAABBAEBAACCDADEDAADCBAEDCECAD;EEDBEDBDBACCEDADABCDAECECECDADEDDECDAEABDEBEB;Inglês;CEDAEEDEECCEBADCCCABBABCAACDDDACDBEABDCDBEABD;ABCDCBDACDAEACEECABADBEABADEBAABCDCABADCDAADE;BDBBABAAAEAAECBBEAACAAACEACBCACCCEDEDADBDBEEDDACCC;EBDEEBDADDABCCBCCABBADDBDDAEAEABCBEDECADCECCB;Sem problemas;140;180;160;180;140;800;Completou o Ensino Médio, mas não completou a Faculdade;Completou o Ensino Médio, mas não completou a Faculdade;Grupo 4 (Verificar a definição no dicionário de dados);Grupo 4 (Verificar a definição no dicionário de dados);4;De R$ 11.880,01 até R$ 13.200,00.;Não;Sim, três;Sim, três;Sim, três;Não;Sim, três;Sim, dois;Sim, dois;Sim, um;Sim, dois;Não;Sim;Sim, quatro ou mais;Sim;Sim;Sim, quatro ou mais;Sim;Sim, três;Sim
210060390955;2023;17 anos;Feminino;Solteiro(a);Branca;Brasileiro(a);Estou cursando e concluirei o Ensino Médio em 2023;Não informado;Pública;Ensino Regular;Não;4209102;Joinville;42;SC;Privada;Urbana;Em atividade;4209102;Joinville;42;SC;Presente na prova;Presente na prova;Presente na prova;Presente na prova;Amarela;Azul;Azul;Amarela;527,1;583,3;581,5;628,4;EECABADDAACACEEDCEBDBBEACBDACEDBDBDACACAAECBB;CEBEACDBBAEDAAEECEBAABCDCABCDCDEBDDABCAAEBEDA;BCBDBDEBAEDECBBADDDCDCBEBBACBAEBABAAEACDBEAAE;DAACCDBBDEBBDAABEABCDEDEACBEBDEACBEBCEEDADEEA;Inglês;CAAADCCCCDDDABDCACDBEEEDCEDAEECCDBEABDBABBAEB;CDAEECABAACEAADECBDAABCDCABADCDEABAABCDDEBADB;BBDABAAEBADACEEDCCDBADBDEDCCEBCACEACAACAACACBBEAAE;DCECACCBDECBEEABEABDDAADDABBBCCBCCDDAEBDADEEB;Sem problemas;100;180;120;160;180;740;Não completou a 4ª série/5º ano do ensino fundamental;Completou a 8ª série/9º ano do ensino fundamental, mas não completou o Ensino Médio;Grupo 3 (Verificar a definição no dicionário de dados);Grupo 3 (Verificar a definição no dicionário de dados);2;Até R$ 1.320,00;Não;Sim, um;Sim, dois;Não;Sim, um;Sim, um;Sim, um;Sim, um;Não;Sim, um;Não;Não;Sim, um;Não;Não;Sim, dois;Não;Não;Sim
210061527069;2023;17 anos;Feminino;Solteiro(a);Branca;Brasileiro(a);Estou cursando e concluirei o Ensino Médio após 2023;Não informado;Não respondeu;NA;Sim;NA;NA;NA;NA;NA;NA;NA;4209102;Joinville;42;SC;Presente na prova;Presente na prova;Presente na prova;Presente na prova;Cinza;Rosa;Rosa;Rosa;573,6;592,5;580,5;699,9;CADEEEBEDABBBADEABDCBAAEEDECBDDBABCEECCDBCBBD;ABCDCBCACDACCAECCABDDDEEAADEAADDCDCDBBBCDAAAE;CEBBAAAECBBEAACABBAEAEEBACCBEDEDABADDAEDDADAD;EADCEADAADCBCCCCDABBDDDBCDCCDCBBDDCDECBBBECBB;Inglês;CEDAEEDEECCEBADCCCABBABCAACDDDACDBEABDCDBEABD;ABCDCBDACDAEACEECABADBEABADEBAABCDCABADCDAADE;BDBBABAAAEAAECBBEAACAAACEACBCACCCEDEDADBDBEEDDACCC;EBDEEBDADDABCCBCCABBADDBDDAEAEABCBEDECADCECCB;Sem problemas;100;120;120;120;160;620;Completou o Ensino Médio, mas não completou a Faculdade;Completou o Ensino Médio, mas não completou a Faculdade;Grupo 3 (Verificar a definição no dicionário de dados);Grupo 3 (Verificar a definição no dicionário de dados);3;De R$ 3.960,01 até R$ 5.280,00.;Não;Sim, dois;Sim, três;Sim, um;Não;Sim, um;Sim, um;Sim, um;Sim, um;Não;Não;Sim;Sim, um;Não;Não;Sim, três;Não;Sim, um;Sim
210058241047;2023;17 anos;Feminino;Solteiro(a);Branca;Brasileiro(a);Estou cursando e concluirei o Ensino Médio em 2023;Não informado;Privada;Ensino Regular;Não;4209102;Joinville;42;SC;Privada;Urbana;Em atividade;4209102;Joinville;42;SC;Presente na prova;Presente na prova;Presente na prova;Presente na prova;Cinza;Rosa;Rosa;Rosa;502,2;538,9;531,9;473,5;CBDCCABCCDAAABEECBDBBABCCDEEBBCDDEECCCDDBDBCE;ABCDCBAACEEDACDDCABADDDBAABEACDDADDBCEBBDEABE;CABCAAAEAEEEAADABCAAABDBBCDCEEDDAACCBEEBDABCC;ECDEEBBBDEBBCCCDBDCBCEDDCBEBAACCCDACCAEBAADBC;Inglês;CEDAEEDEECCEBADCCCABBABCAACDDDACDBEABDCDBEABD;ABCDCBDACDAEACEECABADBEABADEBAABCDCABADCDAADE;BDBBABAAAEAAECBBEAACAAACEACBCACCCEDEDADBDBEEDDACCC;EBDEEBDADDABCCBCCABBADDBDDAEAEABCBEDECADCECCB;Sem problemas;120;180;140;120;120;680;Completou a Pós-graduação;Completou a Faculdade, mas não completou a Pós-graduação;Grupo 4 (Verificar a definição no dicionário de dados);Não Sei;4;De R$ 7.920,01 até R$ 9240,00.;Não;Sim, quatro ou mais;Sim, três;Sim, dois;Sim, um;Sim, dois;Não;Sim, um;Sim, um;Sim, um;Não;Sim;Sim, quatro ou mais;Sim;Sim;Sim, quatro ou mais;Não;Sim, três;Sim
210059009906;2023;18 anos;Feminino;Solteiro(a);Branca;Brasileiro(a);Estou cursando e concluirei o Ensino Médio em 2023;Não informado;Pública;Ensino Regular;Não;NA;NA;NA;NA;NA;NA;NA;4209102;Joinville;42;SC;Presente na prova;Presente na prova;Presente na prova;Presente na prova;Cinza;Rosa;Rosa;Rosa;470,7;497,2;547,6;423,2;CABCBEDECAEBDCAEDACEDBCACDEDEBCBCDBACCCDBDEAD;ABBDAEDDCDEDAEACCD.ADABDDDABEACBDEABBDACDBBDE;CDBBABADECBEACCADABCADBBABEBEADABDABBAEDDACCE;EBDBDECDAEDBDAEDBBDEABDCDECCABDAADCDADEDACADC;Inglês;CEDAEEDEECCEBADCCCABBABCAACDDDACDBEABDCDBEABD;ABCDCBDACDAEACEECABADBEABADEBAABCDCABADCDAADE;BDBBABAAAEAAECBBEAACAAACEACBCACCCEDEDADBDBEEDDACCC;EBDEEBDADDABCCBCCABBADDBDDAEAEABCBEDECADCECCB;Sem problemas;120;160;120;120;40;560;Completou a 4ª série/5º ano, mas não completou a 8ª série/9º ano do ensino fundamental;Completou a Faculdade, mas não completou a Pós-graduação;Grupo 3 (Verificar a definição no dicionário de dados);Grupo 4 (Verificar a definição no dicionário de dados);3;De R$ 3.300,01 até R$ 3.960,00.;Não;Sim, um;Sim, dois;Sim, um;Não;Sim, um;Sim, um;Sim, um;Não;Sim, um;Não;Não;Sim, dois;Não;Não;Sim, três;Não;Sim, um;Sim
210058214039;2023;18 anos;Masculino;Solteiro(a);Parda;Brasileiro(a);Estou cursando e concluirei o Ensino Médio em 2023;Não informado;Pública;Ensino Regular;Não;4209102;Joinville;42;SC;Estadual;Urbana;Em atividade;4209102;Joinville;42;SC;Presente na prova;Presente na prova;Presente na prova;Presente na prova;Cinza;Rosa;Rosa;Rosa;465,8;527,7;472,8;511,6;CDDCEEBAEEBBABAECDDABECEEEEDBBCCCBAEBAECBDDDA;AACDAAABAEDBECECCABADAEEBBDEACBACADEBEDCCAADE;ACBBACAECCBEACEDBBDABDBBADAEEACAAEDBAAECEBEBD;EEDBCABAEEDCEDCDAABDDBBBDEEEAAC.ECDBAAADBDBED;Inglês;CEDAEEDEECCEBADCCCABBABCAACDDDACDBEABDCDBEABD;ABCDCBDACDAEACEECABADBEABADEBAABCDCABADCDAADE;BDBBABAAAEAAECBBEAACAAACEACBCACCCEDEDADBDBEEDDACCC;EBDEEBDADDABCCBCCABBADDBDDAEAEABCBEDECADCECCB;Sem problemas;120;120;80;120;40;480;Não completou a 4ª série/5º ano do ensino fundamental;Não completou a 4ª série/5º ano do ensino fundamental;Grupo 1 (Verificar a definição no dicionário de dados);Não Sei;6;De R$ 2.640,01 até R$ 3.300,00.;Não;Sim, um;Sim, dois;Sim, um;Não;Sim, um;Não;Sim, um;Não;Não;Não;Não;Sim, um;Não;Não;Sim, três;Não;Não;Sim
210058208993;2023;17 anos;Masculino;Solteiro(a);Branca;Brasileiro(a);Estou cursando e concluirei o Ensino Médio após 2023;Não informado;Não respondeu;NA;Sim;NA;NA;NA;NA;NA;NA;NA;4209102;Joinville;42;SC;Presente na prova;Presente na prova;Presente na prova;Presente na prova;Rosa;Amarela;Amarela;Cinza;585,3;685,9;625,5;755,9;CBDAADBAADBEABAADDAADACEDABBDCCAEAAAABECBACAE;DBAADEADCDCADCBCCDEBAEADCACABBACECDAECBDAABCD;BBBDACAEAEDDACDBACABCAACADABCDBEDBDCADCDCDDAD;DBBAADEEBEADBEDBECCEECBCACEBCCACDDEBBDAABEEDA;Inglês;CDDDABBABDBEABDECCEEEDCEDAEBABDCCAACCCADACDBE;DBAADEADCDCABABCDDEBAEABAECABAACECDAECBDAABCD;BBBDAABAEACCEEEDEACBCACAACAACAAAECBBEDBCCADBDEDDAC;EBDADDAEBEACBEDCECCBEABCADEBCCBCCDEBDDAABBADD;Sem problemas;80;180;140;140;200;740;Completou a Pós-graduação;Completou a Pós-graduação;Grupo 5 (Verificar a definição no dicionário de dados);Grupo 5 (Verificar a definição no dicionário de dados);3;Acima de R$ 26.400,00.;Sim, pelo menos cinco dias por semana;Sim, três;Sim, três;Sim, dois;Não;Sim, um;Sim, um;Sim, um;Sim, um;Sim, um;Sim, um;Sim;Sim, três;Não;Sim;Sim, três;Não;Sim, dois;Sim
210058526276;2023;17 anos;Feminino;Solteiro(a);Branca;Brasileiro(a);Estou cursando e concluirei o Ensino Médio em 2023;Não informado;Privada;Ensino Regular;Não;4209102;Joinville;42;SC;Privada;Urbana;Em atividade;4209102;Joinville;42;SC;Presente na prova;Presente na prova;Presente na prova;Presente na prova;Rosa;Amarela;Amarela;Cinza;625,7;589,9;565,2;737,7;CDBBABCBDDBEBCDEACEDDBCBDECBABCAEDBECBAEDBBBE;DBADDEADCBCDBEBCCDBBAEEBEBAEBAECCCDEECBAAAECD;BCBABCCEAEDDACBCACAECCEDAAAEBBBBDBBCABCACDDAD;EBDADDDEACAABEEEECCEEDACEDBCCCBCBDEBBDAABDEDA;Inglês;CDDDABBABDBEABDECCEEEDCEDAEBABDCCAACCCADACDBE;DBAADEADCDCABABCDDEBAEABAECABAACECDAECBDAABCD;BBBDAABAEACCEEEDEACBCACAACAACAAAECBBEDBCCADBDEDDAC;EBDADDAEBEACBEDCECCBEABCADEBCCBCCDEBDDAABBADD;Sem problemas;160;200;180;200;160;900;Completou a Pós-graduação;Completou a Pós-graduação;Grupo 5 (Verificar a definição no dicionário de dados);Grupo 5 (Verificar a definição no dicionário de dados);4;De R$ 5.280,01 até R$ 6.600,00.;Não;Sim, dois;Sim, três;Sim, dois;Não;Sim, um;Sim, um;Sim, um;Não;Sim, um;Sim, um;Sim;Sim, dois;Não;Sim;Sim, dois;Não;Sim, um;Sim
