nu_inscricao;nu_ano;tp_faixa_etaria;tp_sexo;tp_estado_civil;tp_cor_raca;tp_nacionalidade;tp_st_conclusao;tp_ano_concluiu;tp_escola;tp_ensino;in_treineiro;co_municipio_esc;no_municipio_esc;co_uf_esc;sg_uf_esc;tp_dependencia_adm_esc;tp_localizacao_esc;tp_sit_func_esc;co_municipio_prova;no_municipio_prova;co_uf_prova;sg_uf_prova;tp_presenca_cn;tp_presenca_ch;tp_presenca_lc;tp_presenca_mt;co_prova_cn;co_prova_ch;co_prova_lc;co_prova_mt;nu_nota_cn;nu_nota_ch;nu_nota_lc;nu_nota_mt;tx_respostas_cn;tx_respostas_ch;tx_respostas_lc;tx_respostas_mt;tp_lingua;tx_gabarito_cn;tx_gabarito_ch;tx_gabarito_lc;tx_gabarito_mt;tp_status_redacao;nu_nota_comp1;nu_nota_comp2;nu_nota_comp3;nu_nota_comp4;nu_nota_comp5;nu_nota_redacao;q001;q002;q003;q004;q005;q006;q007;q008;q009;q010;q011;q012;q013;q014;q015;q016;q017;q018;q019;q020;q021;q022;q023;q024;q025
210058075822;2023;17 anos;Feminino;Solteiro(a);Branca;Brasileiro(a);Estou cursando e concluirei o Ensino Médio em 2023;Não informado;Pública;Ensino Regular;Não;3525904;Jundiaí;35;SP;Estadual;Urbana;Em atividade;3525904;Jundiaí;35;SP;Presente na prova;Presente na prova;Presente na prova;Presente na prova;Cinza;Rosa;Rosa;Rosa;420,6;452,2;502,8;451,2;CCACCEEADDDEBCBDADECBBDDECDBABBCBECBCADCBDBEA;ACEDBECACDCDAABBBAEDDCDBABCAAEEEABADBEBCACEAE;CEBBBDAECBBEACBABCBCDDBBECCBEACCCADDBBDDCBBED;EDDBCDECECAACDEDDDBACCBDDDDBEDAEBBDAEDBCDDCCD;Inglês;CEDAEEDEECCEBADCCCABBABCAACDDDACDBEABDCDBEABD;ABCDCBDACDAEACEECABADBEABADEBAABCDCABADCDAADE;BDBBABAAAEAAECBBEAACAAACEACBCACCCEDEDADBDBEEDDACCC;EBDEEBDADDABCCBCCABBADDBDDAEAEABCBEDECADCECCB;Sem problemas;120;120;100;100;120;560;Completou a 8ª série/9º ano do ensino fundamental, mas não completou o Ensino Médio;Completou a 8ª série/9º ano do ensino fundamental, mas não completou o Ensino Médio;Grupo 4 (Verificar a definição no dicionário de dados);Grupo 4 (Verificar a definição no dicionário de dados);4;De R$ 1.980,01 até R$ 2.640,00.;Não;Sim, dois;Sim, três;Sim, um;Não;Sim, um;Sim, um;Sim, um;Sim, um;Sim, um;Não;Não;Sim, um;Sim;Sim;Sim, três;Não;Sim, dois;Sim
210059934870;2023;23 anos;Feminino;Solteiro(a);Branca;Brasileiro(a);Já concluí o Ensino Médio;2018;Não respondeu;NA;Não;NA;NA;NA;NA;NA;NA;NA;3525904;Jundiaí;35;SP;Presente na prova;Presente na prova;Presente na prova;Presente na prova;Rosa;Amarela;Amarela;Cinza;531,5;592,9;562,1;557,1;AEBCCACBCDBEECEECBECADCCDDBAEABDAEDCBAECBCBEC;DBAADECDCBCDDABCAEEBCEEAACAEBAAEECDAEABDDABCC;CCAEACDAAEDAABBAACBBCAAAAAADEBCEEBAACDBDEBAAC;EADBCBDEAEBAAEDBEBABAECEACACCCCDADEACEEAADBDA;Espanhol;CDDDABBABDBEABDECCEEEDCEDAEBABDCCAACCCADACDBE;DBAADEADCDCABABCDDEBAEABAECABAACECDAECBDAABCD;BBBDAABAEACCEEEDEACBCACAACAACAAAECBBEDBCCADBDEDDAC;EBDADDAEBEACBEDCECCBEABCADEBCCBCCDEBDDAABBADD;Sem problemas;100;120;80;80;20;400;Completou o Ensino Médio, mas não completou a Faculdade;Completou o Ensino Médio, mas não completou a Faculdade;Grupo 3 (Verificar a definição no dicionário de dados);Grupo 3 (Verificar a definição no dicionário de dados);3;De R$ 1.980,01 até R$ 2.640,00.;Não;Sim, um;Sim, dois;Sim, um;Sim, um;Sim, um;Sim, um;Sim, um;Não;Sim, um;Não;Não;Sim, um;Não;Sim;Sim, três;Não;Sim, um;Sim
210061348265;2023;22 anos;Masculino;Solteiro(a);Parda;Brasileiro(a);Já concluí o Ensino Médio;2019;Não respondeu;NA;Não;NA;NA;NA;NA;NA;NA;NA;3525904;Jundiaí;35;SP;Presente na prova;Presente na prova;Presente na prova;Presente na prova;Rosa;Amarela;Amarela;Cinza;591,9;609,9;609,9;648,3;CDCAAACCDDBEDBBCCEBAECCEDABCEDAECEEAAAAEDCBDE;DBAADEAACDCABBBCDBBBCDABCCAABDAEECDADCEDAABCD;DCBDBCCEEEDDACBBABAAAAACAAADBBEEBBCEADADEDDAC;ECBAADCEEEAAAADDEEBCDEDCCDDCCCCCCDCBBBBDBBDDD;Inglês;CDDDABBABDBEABDECCEEEDCEDAEBABDCCAACCCADACDBE;DBAADEADCDCABABCDDEBAEABAECABAACECDAECBDAABCD;BBBDAABAEACCEEEDEACBCACAACAACAAAECBBEDBCCADBDEDDAC;EBDADDAEBEACBEDCECCBEABCADEBCCBCCDEBDDAABBADD;Sem problemas;120;180;140;160;180;780;Completou a Faculdade, mas não completou a Pós-graduação;Completou a 4ª série/5º ano, mas não completou a 8ª série/9º ano do ensino fundamental;Grupo 5 (Verificar a definição no dicionário de dados);Não Sei;4;De R$ 3.960,01 até R$ 5.280,00.;Não;Sim, dois;Sim, três;Sim, dois;Não;Sim, dois;Não;Sim, um;Não;Sim, um;Não;Sim;Sim, dois;Não;Não;Sim, quatro ou mais;Sim;Sim, três;Sim
210061250984;2023;17 anos;Masculino;Solteiro(a);Branca;Brasileiro(a);Estou cursando e concluirei o Ensino Médio em 2023;Não informado;Privada;Ensino Regular;Não;3525904;Jundiaí;35;SP;Privada;Urbana;Em atividade;3525904;Jundiaí;35;SP;Presente na prova;Presente na prova;Presente na prova;Presente na prova;Rosa;Amarela;Amarela;Cinza;541,2;537,9;561,0;628,6;CDBCCECDEDBDBBABBCCAACCBDDAACBCBEDACEEADCEEDE;DBAADEADCCBEDDDCEDABECADDADABCECCCECEABCDABDD;BBBDACBEEEDCACBBECAEBACDADABEEBEDDADABDACDCAD;EBBAEDCEBEAEBCBCABBCDBBEEEACCCBDDEBBDBCACBCDC;Inglês;CDDDABBABDBEABDECCEEEDCEDAEBABDCCAACCCADACDBE;DBAADEADCDCABABCDDEBAEABAECABAACECDAECBDAABCD;BBBDAABAEACCEEEDEACBCACAACAACAAAECBBEDBCCADBDEDDAC;EBDADDAEBEACBEDCECCBEABCADEBCCBCCDEBDDAABBADD;Sem problemas;140;140;100;120;100;600;Completou a Pós-graduação;Completou a Pós-graduação;Grupo 5 (Verificar a definição no dicionário de dados);Grupo 5 (Verificar a definição no dicionário de dados);5;De R$ 19.800,01 até R$ 26.400,00.;Sim, um ou dois dias por semana;Sim, quatro ou mais;Sim, quatro ou mais;Sim, três;Sim, três;Sim, quatro ou mais;Sim, dois;Sim, um;Não;Sim, um;Não;Sim;Sim, quatro ou mais;Sim;Sim;Sim, quatro ou mais;Sim;Sim, três;Sim
210060141786;2023;18 anos;Masculino;Solteiro(a);Parda;Brasileiro(a);Estou cursando e concluirei o Ensino Médio em 2023;Não informado;Pública;Ensino Regular;Não;NA;NA;NA;NA;NA;NA;NA;3525904;Jundiaí;35;SP;Presente na prova;Presente na prova;Presente na prova;Presente na prova;Cinza;Rosa;Rosa;Rosa;499,9;504,2;517,5;666,2;CBCAEDCECDEBCDDADBBCBAEDEBCBDAAEAECECEADBCBEA;ABDDBAEDBBCEACEDCACADBAECDABBDBCEDCEAACCCDAAE;EDBBCDAEEBCEAADABCDDACD*CAEBADEDAECBACDDBDCBC;EDDEEADAEDBECCBDDABCADEBCDECABABADECCCEBCDBAE;Inglês;CEDAEEDEECCEBADCCCABBABCAACDDDACDBEABDCDBEABD;ABCDCBDACDAEACEECABADBEABADEBAABCDCABADCDAADE;BDBBABAAAEAAECBBEAACAAACEACBCACCCEDEDADBDBEEDDACCC;EBDEEBDADDABCCBCCABBADDBDDAEAEABCBEDECADCECCB;Sem problemas;100;120;120;120;80;540;Completou o Ensino Médio, mas não completou a Faculdade;Completou o Ensino Médio, mas não completou a Faculdade;Grupo 3 (Verificar a definição no dicionário de dados);Grupo 2 (Verificar a definição no dicionário de dados);2;Até R$ 1.320,00;Não;Sim, dois;Sim, dois;Sim, um;Não;Sim, um;Não;Não;Não;Não;Não;Não;Sim, um;Não;Sim;Sim, dois;Não;Não;Não
210061703691;2023;17 anos;Feminino;Não informado;Parda;Brasileiro(a);Estou cursando e concluirei o Ensino Médio em 2023;Não informado;Pública;Ensino Regular;Não;3525904;Jundiaí;35;SP;Estadual;Urbana;Em atividade;3525904;Jundiaí;35;SP;Presente na prova;Presente na prova;Presente na prova;Presente na prova;Rosa;Amarela;Amarela;Cinza;390,3;358,5;448,4;403,8;ADECDAADEABDCBBEBBACDBDAECBDCCEDEEADCDCEDCBEE;CDEDEBABAABDAAEEBACAABDBDDBCCDABDDDEEBACDAECB;BBBBAEAAEEAEDEBDBCEEAEBECDAECBAABCCBCEABDDDCB;CDBDDEDEDACCCBECDCCBDECBCCEEECCBCEDDBCCDCCABB;Inglês;CDDDABBABDBEABDECCEEEDCEDAEBABDCCAACCCADACDBE;DBAADEADCDCABABCDDEBAEABAECABAACECDAECBDAABCD;BBBDAABAEACCEEEDEACBCACAACAACAAAECBBEDBCCADBDEDDAC;EBDADDAEBEACBEDCECCBEABCADEBCCBCCDEBDDAABBADD;Sem problemas;80;60;60;60;60;320;Completou a 8ª série/9º ano do ensino fundamental, mas não completou o Ensino Médio;Completou o Ensino Médio, mas não completou a Faculdade;Não Sei;Grupo 3 (Verificar a definição no dicionário de dados);4;De R$ 3.960,01 até R$ 5.280,00.;Não;Sim, um;Sim, dois;Sim, um;Sim, um;Sim, um;Não;Sim, um;Não;Não;Não;Não;Sim, um;Não;Não;Sim, três;Não;Não;Sim
210062060054;2023;17 anos;Masculino;Solteiro(a);Branca;Brasileiro(a);Estou cursando e concluirei o Ensino Médio em 2023;Não informado;Pública;Ensino Regular;Não;3525904;Jundiaí;35;SP;Estadual;Urbana;Em atividade;3525904;Jundiaí;35;SP;Presente na prova;Presente na prova;Presente na prova;Presente na prova;Rosa;Amarela;Amarela;Cinza;474,0;427,7;536,5;657,3;EDBBCACBECBCDCDEEAEDCBDCDABBEADCBEDEBDCEBCBBD;DCACEECDCDBBBCAACBCAEADBBEAABBEEBBCAEBDEACCEA;BCBAACDEBEDAECDBDCBBEADCEAABCCBECBCEACBCAEDAC;ECBAADEEDEDACDDCACBAECBBADECCABCDEBBBAADBDACB;Inglês;CDDDABBABDBEABDECCEEEDCEDAEBABDCCAACCCADACDBE;DBAADEADCDCABABCDDEBAEABAECABAACECDAECBDAABCD;BBBDAABAEACCEEEDEACBCACAACAACAAAECBBEDBCCADBDEDDAC;EBDADDAEBEACBEDCECCBEABCADEBCCBCCDEBDDAABBADD;Sem problemas;120;120;120;120;80;560;Completou o Ensino Médio, mas não completou a Faculdade;Completou a Pós-graduação;Grupo 3 (Verificar a definição no dicionário de dados);Grupo 4 (Verificar a definição no dicionário de dados);5;De R$ 5.280,01 até R$ 6.600,00.;Não;Sim, dois;Sim, quatro ou mais;Sim, dois;Não;Sim, um;Sim, um;Sim, um;Sim, um;Sim, um;Não;Sim;Sim, um;Sim;Sim;Sim, quatro ou mais;Não;Sim, dois;Sim
210060774782;2023;20 anos;Masculino;Solteiro(a);Branca;Brasileiro(a);Já concluí o Ensino Médio;Não informado;Não respondeu;NA;Não;NA;NA;NA;NA;NA;NA;NA;3525904;Jundiaí;35;SP;Presente na prova;Presente na prova;Presente na prova;Presente na prova;Amarela;Azul;Azul;Amarela;528,1;522,8;445,4;503,8;DEDBACDABEBBEDDEBDCAECAECBDAABCADAEAECECEEDBB;CDCEDAEBCABEBBEECCCBABCDADBEACAEDDCABCEBCACDA;BBDBBECBEEBDABBACADCDBDAEBDBACAEDABCEBDCAEDAE;EDDAECACCBEBDBAAEDBCEADBCEDAC.EACBACBEECAECEA;Inglês;CAAADCCCCDDDABDCACDBEEEDCEDAEECCDBEABDBABBAEB;CDAEECABAACEAADECBDAABCDCABADCDEABAABCDDEBADB;BBDABAAEBADACEEDCCDBADBDEDCCEBCACEACAACAACACBBEAAE;DCECACCBDECBEEABEABDDAADDABBBCCBCCDDAEBDADEEB;Sem problemas;80;40;40;100;40;300;Não completou a 4ª série/5º ano do ensino fundamental;Não completou a 4ª série/5º ano do ensino fundamental;Grupo 3 (Verificar a definição no dicionário de dados);Grupo 3 (Verificar a definição no dicionário de dados);3;Até R$ 1.320,00;Não;Sim, três;Sim, três;Sim, um;Não;Sim, um;Sim, um;Sim, um;Sim, um;Sim, um;Não;Sim;Sim, dois;Não;Não;Sim, três;Não;Sim, um;Sim
210059159110;2023;19 anos;Feminino;Solteiro(a);Branca;Brasileiro(a);Já concluí o Ensino Médio;2021;Não respondeu;NA;Não;NA;NA;NA;NA;NA;NA;NA;3525904;Jundiaí;35;SP;Presente na prova;Presente na prova;Presente na prova;Presente na prova;Rosa;Amarela;Amarela;Cinza;540,3;642,2;655,6;703,0;CBCBADDDBEBDEBDCCCDBCDCDDDBBAEACACDDACBCDCCEB;DBAABEADCDCEBEBCECBBCAABAECABCACECDAACBDAABCD;BBBDACAEEEDBABBBACABCAADADAECBBEDBCCADCDCDDEC;EEDACDCEBEBABEBEECCBCEBCCCBCCCBCBDCBBDDDBBDCB;Inglês;CDDDABBABDBEABDECCEEEDCEDAEBABDCCAACCCADACDBE;DBAADEADCDCABABCDDEBAEABAECABAACECDAECBDAABCD;BBBDAABAEACCEEEDEACBCACAACAACAAAECBBEDBCCADBDEDDAC;EBDADDAEBEACBEDCECCBEABCADEBCCBCCDEBDDAABBADD;Sem problemas;160;200;200;200;180;940;Completou o Ensino Médio, mas não completou a Faculdade;Completou a Pós-graduação;Grupo 4 (Verificar a definição no dicionário de dados);Grupo 5 (Verificar a definição no dicionário de dados);4;De R$ 7.920,01 até R$ 9240,00.;Não;Sim, três;Sim, quatro ou mais;Sim, um;Não;Sim, um;Sim, um;Sim, um;Não;Sim, um;Não;Sim;Sim, três;Sim;Sim;Sim, quatro ou mais;Não;Sim, quatro ou mais;Sim
210060996302;2023;Entre 46 e 50 anos;Feminino;Divorciado(a)/Desquitado(a)/Separado(a);Branca;Brasileiro(a);Já concluí o Ensino Médio;2008;Não respondeu;NA;Não;NA;NA;NA;NA;NA;NA;NA;3525904;Jundiaí;35;SP;Presente na prova;Presente na prova;Presente na prova;Presente na prova;Amarela;Azul;Azul;Amarela;439,6;441,9;385,7;371,9;EBCBEDAAEABEEACEACDEDAACABEACDEADBCEDEDAAABEE;CCDDACADDABAEADAD*DDACCAEEADDEDC*DDCCDCBCEBAA;B*EABADAABDDDADCBDEDCAEDADE*EEEEBAECEABCBBCAB;EAAEECCBEECABEDDEAECDECCCD.CCEBCEBDCDCEDCCAAE;Espanhol;CAAADCCCCDDDABDCACDBEEEDCEDAEECCDBEABDBABBAEB;CDAEECABAACEAADECBDAABCDCABADCDEABAABCDDEBADB;BBDABAAEBADACEEDCCDBADBDEDCCEBCACEACAACAACACBBEAAE;DCECACCBDECBEEABEABDDAADDABBBCCBCCDDAEBDADEEB;Sem problemas;80;120;80;80;40;400;Nunca estudou;Nunca estudou;Grupo 1 (Verificar a definição no dicionário de dados);Grupo 1 (Verificar a definição no dicionário de dados);3;Nenhuma Renda;Não;Sim, um;Sim, um;Não;Não;Sim, um;Não;Não;Não;Não;Não;Não;Sim, um;Não;Não;Sim, um;Não;Não;Não
