nu_inscricao;nu_ano;tp_faixa_etaria;tp_sexo;tp_estado_civil;tp_cor_raca;tp_nacionalidade;tp_st_conclusao;tp_ano_concluiu;tp_escola;tp_ensino;in_treineiro;co_municipio_esc;no_municipio_esc;co_uf_esc;sg_uf_esc;tp_dependencia_adm_esc;tp_localizacao_esc;tp_sit_func_esc;co_municipio_prova;no_municipio_prova;co_uf_prova;sg_uf_prova;tp_presenca_cn;tp_presenca_ch;tp_presenca_lc;tp_presenca_mt;co_prova_cn;co_prova_ch;co_prova_lc;co_prova_mt;nu_nota_cn;nu_nota_ch;nu_nota_lc;nu_nota_mt;tx_respostas_cn;tx_respostas_ch;tx_respostas_lc;tx_respostas_mt;tp_lingua;tx_gabarito_cn;tx_gabarito_ch;tx_gabarito_lc;tx_gabarito_mt;tp_status_redacao;nu_nota_comp1;nu_nota_comp2;nu_nota_comp3;nu_nota_comp4;nu_nota_comp5;nu_nota_redacao;q001;q002;q003;q004;q005;q006;q007;q008;q009;q010;q011;q012;q013;q014;q015;q016;q017;q018;q019;q020;q021;q022;q023;q024;q025
210059008333;2023;17 anos;Feminino;Solteiro(a);Parda;Brasileiro(a);Estou cursando e concluirei o Ensino Médio em 2023;Não informado;Privada;Ensino Regular;Não;4113700;Londrina;41;PR;Privada;Urbana;Em atividade;4113700;Londrina;41;PR;Presente na prova;Presente na prova;Presente na prova;Presente na prova;Amarela;Azul;Azul;Amarela;564,6;639,6;589,6;484,2;DECADCBACCBCCDCBDEDECDAACBDEECEBDBEACEEAEEDEA;CDAEACBBCACDAADECBDAABCDEEBAECDEADADBCEDEBADD;BEDABDADEEDACCBAEADCDCAEBDACEACBBCBADACCBEDAB;CDEABBECCCEABEBABDBDEADDBDAEBDBBDCAEEEADDDDEC;Inglês;CAAADCCCCDDDABDCACDBEEEDCEDAEECCDBEABDBABBAEB;CDAEECABAACEAADECBDAABCDCABADCDEABAABCDDEBADB;BBDABAAEBADACEEDCCDBADBDEDCCEBCACEACAACAACACBBEAAE;DCECACCBDECBEEABEABDDAADDABBBCCBCCDDAEBDADEEB;Sem problemas;160;200;180;200;180;920;Completou a Faculdade, mas não completou a Pós-graduação;Completou a Pós-graduação;Grupo 4 (Verificar a definição no dicionário de dados);Grupo 4 (Verificar a definição no dicionário de dados);4;De R$ 9.240,01 até R$ 10.560,00.;Sim, um ou dois dias por semana;Sim, três;Sim, três;Não;Não;Sim, um;Sim, um;Sim, um;Não;Sim, um;Não;Sim;Sim, quatro ou mais;Sim;Sim;Sim, quatro ou mais;Não;Sim, três;Sim
210060844842;2023;20 anos;Feminino;Solteiro(a);Branca;Brasileiro(a);Já concluí o Ensino Médio;2021;Não respondeu;NA;Não;NA;NA;NA;NA;NA;NA;NA;4113700;Londrina;41;PR;Presente na prova;Presente na prova;Presente na prova;Presente na prova;Cinza;Rosa;Rosa;Rosa;570,2;654,3;660,5;664,4;DCDECACEEACCCECACBAABDDDECCDBDDECCAABCADBEEED;ABCACBDACDAEABEEDDBBDAAABBDEBDCBEDCABACCDAADE;BDBBBAAECBBEBADAAAEEACBCECCCEDDDADBDBAEDDACEC;EBDCEBDAADBECCBCDCBAAEAACEEEABCDADEDABEBCEABB;Inglês;CEDAEEDEECCEBADCCCABBABCAACDDDACDBEABDCDBEABD;ABCDCBDACDAEACEECABADBEABADEBAABCDCABADCDAADE;BDBBABAAAEAAECBBEAACAAACEACBCACCCEDEDADBDBEEDDACCC;EBDEEBDADDABCCBCCABBADDBDDAEAEABCBEDECADCECCB;Sem problemas;140;180;140;140;160;760;Completou a Pós-graduação;Completou a Pós-graduação;Grupo 5 (Verificar a definição no dicionário de dados);Grupo 4 (Verificar a definição no dicionário de dados);4;De R$ 15.840,01 até R$19.800,00.;Não;Sim, dois;Sim, três;Sim, dois;Não;Sim, um;Não;Sim, um;Sim, um;Sim, um;Não;Sim;Sim, três;Sim;Não;Sim, quatro ou mais;Não;Sim, dois;Sim
210058155962;2023;17 anos;Feminino;Solteiro(a);Branca;Brasileiro(a);Estou cursando e concluirei o Ensino Médio em 2023;Não informado;Privada;Ensino Regular;Não;4113700;Londrina;41;PR;Privada;Urbana;Em atividade;4113700;Londrina;41;PR;Presente na prova;Presente na prova;Presente na prova;Presente na prova;Cinza;Rosa;Rosa;Rosa;624,0;594,2;559,5;714,8;CDBACCBCEACDBAEDCBABCDBCDCCDBDDBEEEDBCCDBEEBD;AECDCBDACDEEACEAAEBBDBEECCEEACCBCDEDBAECDABDE;EABBAEADCBBEAACACABDCEDBACEBBDEDADACBAEDDECBE;EEEEEBBAADBCCCBCCABCADBBCEEEBEEEEBDDDCCDEECBB;Inglês;CEDAEEDEECCEBADCCCABBABCAACDDDACDBEABDCDBEABD;ABCDCBDACDAEACEECABADBEABADEBAABCDCABADCDAADE;BDBBABAAAEAAECBBEAACAAACEACBCACCCEDEDADBDBEEDDACCC;EBDEEBDADDABCCBCCABBADDBDDAEAEABCBEDECADCECCB;Sem problemas;140;200;140;140;160;780;Completou o Ensino Médio, mas não completou a Faculdade;Completou a Faculdade, mas não completou a Pós-graduação;Grupo 3 (Verificar a definição no dicionário de dados);Grupo 4 (Verificar a definição no dicionário de dados);3;De R$ 3.960,01 até R$ 5.280,00.;Não;Sim, dois;Sim, dois;Não;Sim, um;Sim, um;Sim, um;Sim, um;Não;Sim, um;Sim, um;Não;Sim, dois;Sim;Sim;Sim, três;Não;Sim, um;Sim
210061522591;2023;17 anos;Feminino;Solteiro(a);Branca;Brasileiro(a);Estou cursando e concluirei o Ensino Médio em 2023;Não informado;Pública;Ensino Regular;Não;4113700;Londrina;41;PR;Estadual;Urbana;Em atividade;4113700;Londrina;41;PR;Presente na prova;Presente na prova;Presente na prova;Presente na prova;Cinza;Rosa;Rosa;Rosa;452,9;441,1;488,1;403,5;CCEBDEEACDCBBACDCAAEBDCEADDCABDCEAEAEBBEBACEC;ADEDDABBABEEABDCEABDEAEBAEBCBEADDBAEDADCBBADA;BDAAECAEABBEDECACDCBADEBDDBAEDDACBABDADDCEBAC;DBDBEDDCDADCBCAEBECADBECCDABABEEBCAEBDDECCBEB;Espanhol;CEDAEEDEECCEBADCCCABBABCAACDDDACDBEABDCDBEABD;ABCDCBDACDAEACEECABADBEABADEBAABCDCABADCDAADE;BDBBABAAAEAAECBBEAACAAACEACBCACCCEDEDADBDBEEDDACCC;EBDEEBDADDABCCBCCABBADDBDDAEAEABCBEDECADCECCB;Sem problemas;140;160;140;100;100;640;Completou a 4ª série/5º ano, mas não completou a 8ª série/9º ano do ensino fundamental;Completou a 8ª série/9º ano do ensino fundamental, mas não completou o Ensino Médio;Grupo 3 (Verificar a definição no dicionário de dados);Não Sei;4;De R$ 1.980,01 até R$ 2.640,00.;Não;Sim, um;Sim, três;Não;Sim, um;Sim, um;Sim, dois;Sim, um;Sim, um;Sim, um;Não;Sim;Sim, um;Não;Sim;Sim, três;Não;Sim, um;Sim
210061922329;2023;19 anos;Masculino;Solteiro(a);Parda;Brasileiro(a);Já concluí o Ensino Médio;Não informado;Não respondeu;NA;Não;NA;NA;NA;NA;NA;NA;NA;4113700;Londrina;41;PR;Presente na prova;Presente na prova;Presente na prova;Presente na prova;Amarela;Azul;Azul;Amarela;421,4;504,3;488,4;449,5;EDCEADBDADBBDCCBCABBAAADCDACAEDEABACCEBEADCBA;ADCECCACDCEBABDECADAAECDEDBCBCAEADA.CBEACABEA;ABACDEDBABBAEDBDBADCBABEBBADEAEDABEACACCBEDAE;CABDABABACEAACECEADDCDCCDACABEACEDAADEEACDAEB;Espanhol;CAAADCCCCDDDABDCACDBEEEDCEDAEECCDBEABDBABBAEB;CDAEECABAACEAADECBDAABCDCABADCDEABAABCDDEBADB;BBDABAAEBADACEEDCCDBADBDEDCCEBCACEACAACAACACBBEAAE;DCECACCBDECBEEABEABDDAADDABBBCCBCCDDAEBDADEEB;Sem problemas;120;120;100;120;120;580;Não sei;Completou o Ensino Médio, mas não completou a Faculdade;Grupo 3 (Verificar a definição no dicionário de dados);Grupo 2 (Verificar a definição no dicionário de dados);8;Até R$ 1.320,00;Não;Sim, dois;Sim, três;Não;Não;Sim, um;Sim, um;Sim, um;Não;Não;Não;Não;Sim, um;Não;Não;Sim, quatro ou mais;Não;Não;Sim
210061537869;2023;18 anos;Feminino;Solteiro(a);Branca;Brasileiro(a);Já concluí o Ensino Médio;2022;Não respondeu;NA;Não;NA;NA;NA;NA;NA;NA;NA;4113700;Londrina;41;PR;Presente na prova;Presente na prova;Presente na prova;Presente na prova;Amarela;Azul;Azul;Amarela;579,8;560,6;542,3;657,7;CADAAEBAEEBDCECBADEBEBAACDDAEECEABDEBCC.BCABB;CDADCBBDCAAEAEDEAACAABCDEEBEDCDECDADBCDABBBDD;BBAABDAAAEDBCBBCBDBEBCAECBACCACCDEACCAABBCEAE;BCDCABAAECDCDECBDDBCDCDDBABECCDABCADBEBCADDEC;Inglês;CAAADCCCCDDDABDCACDBEEEDCEDAEECCDBEABDBABBAEB;CDAEECABAACEAADECBDAABCDCABADCDEABAABCDDEBADB;BBDABAAEBADACEEDCCDBADBDEDCCEBCACEACAACAACACBBEAAE;DCECACCBDECBEEABEABDDAADDABBBCCBCCDDAEBDADEEB;Sem problemas;120;120;120;120;120;600;Completou o Ensino Médio, mas não completou a Faculdade;Completou o Ensino Médio, mas não completou a Faculdade;Grupo 4 (Verificar a definição no dicionário de dados);Grupo 2 (Verificar a definição no dicionário de dados);3;Até R$ 1.320,00;Não;Sim, um;Sim, dois;Sim, um;Sim, um;Sim, um;Sim, um;Sim, um;Não;Sim, um;Não;Sim;Sim, um;Não;Não;Sim, três;Não;Não;Sim
210059381686;2023;17 anos;Feminino;Solteiro(a);Branca;Brasileiro(a) Nato(a), nascido(a) no exterior;Estou cursando e concluirei o Ensino Médio após 2023;Não informado;Não respondeu;NA;Sim;NA;NA;NA;NA;NA;NA;NA;4113700;Londrina;41;PR;Presente na prova;Presente na prova;Presente na prova;Presente na prova;Cinza;Rosa;Rosa;Rosa;606,2;640,1;614,7;698,1;CBDACEEDEECDBADCBBAABDCAECCEBBCCCEEACCCDBDECA;ABCDCBCACDCEACEEAABEDBEDDAAEBCABEECEBADCDAADE;BBBBAAABACBEAACAABEDACDBACCBEDDDADEDBAEDDECCC;EEDEEBDADEDCCCBCDABCADAEBADEBDCBCBCDECADDDCCE;Inglês;CEDAEEDEECCEBADCCCABBABCAACDDDACDBEABDCDBEABD;ABCDCBDACDAEACEECABADBEABADEBAABCDCABADCDAADE;BDBBABAAAEAAECBBEAACAAACEACBCACCCEDEDADBDBEEDDACCC;EBDEEBDADDABCCBCCABBADDBDDAEAEABCBEDECADCECCB;Sem problemas;160;120;180;180;140;780;Completou a Pós-graduação;Completou a Pós-graduação;Grupo 2 (Verificar a definição no dicionário de dados);Grupo 2 (Verificar a definição no dicionário de dados);4;De R$ 3.960,01 até R$ 5.280,00.;Não;Sim, dois;Sim, três;Sim, um;Não;Sim, um;Sim, um;Sim, um;Não;Sim, um;Não;Não;Sim, três;Não;Sim;Sim, quatro ou mais;Não;Sim, dois;Sim
210060582224;2023;Entre 26 e 30 anos;Masculino;Solteiro(a);Branca;Brasileiro(a);Já concluí o Ensino Médio;2014;Não respondeu;NA;Não;NA;NA;NA;NA;NA;NA;NA;4113700;Londrina;41;PR;Presente na prova;Presente na prova;Presente na prova;Presente na prova;Rosa;Amarela;Amarela;Cinza;348,8;536,5;457,0;714,1;AAACBDEEDCCCCBCDBDBEECEAAABCCCBADEDDCDDBBABEE;DBAADDADCBECBEDCEBADADEDABCCCCACECDEDBBBDABCD;BECDCCAECBDAEECDABCEEEABACABBBBECBADBECCCCCDA;EEDACDDEAEAAAECBECBAECBCADDCCCBDDDBBDDCABCEDB;Espanhol;CDDDABBABDBEABDECCEEEDCEDAEBABDCCAACCCADACDBE;DBAADEADCDCABABCDDEBAEABAECABAACECDAECBDAABCD;BBBDAABAEACCEEEDEACBCACAACAACAAAECBBEDBCCADBDEDDAC;EBDADDAEBEACBEDCECCBEABCADEBCCBCCDEBDDAABBADD;Sem problemas;80;120;100;80;80;460;Completou a 4ª série/5º ano, mas não completou a 8ª série/9º ano do ensino fundamental;Completou a 8ª série/9º ano do ensino fundamental, mas não completou o Ensino Médio;Grupo 4 (Verificar a definição no dicionário de dados);Grupo 4 (Verificar a definição no dicionário de dados);3;De R$ 1.320,01 até R$ 1.980,00.;Não;Sim, dois;Sim, dois;Sim, um;Sim, um;Sim, um;Sim, um;Sim, um;Não;Sim, um;Não;Não;Sim, três;Não;Não;Sim, três;Não;Não;Sim
210060308979;2023;Entre 46 e 50 anos;Feminino;Divorciado(a)/Desquitado(a)/Separado(a);Branca;Brasileiro(a);Já concluí o Ensino Médio;2013;Não respondeu;NA;Não;NA;NA;NA;NA;NA;NA;NA;4113700;Londrina;41;PR;Presente na prova;Presente na prova;Presente na prova;Presente na prova;Rosa;Amarela;Amarela;Cinza;478,3;557,8;521,8;569,9;BBCCDEBDABBDEECDCEBCECCDCABBCCBDCADCBBEACEEDE;EAAADEADCBCABABCAEBBAEBABDABDCAAECEBDCBDDABCD;DEBAECCEEECEAAAEDCCCEACEBAAEABCEDBBCBADDDDABC;EACABDDEBCDCADDBBCDCBCDEACCCBDDEADBBCDCAEECDC;Inglês;CDDDABBABDBEABDECCEEEDCEDAEBABDCCAACCCADACDBE;DBAADEADCDCABABCDDEBAEABAECABAACECDAECBDAABCD;BBBDAABAEACCEEEDEACBCACAACAACAAAECBBEDBCCADBDEDDAC;EBDADDAEBEACBEDCECCBEABCADEBCCBCCDEBDDAABBADD;Sem problemas;100;120;80;120;80;500;Não completou a 4ª série/5º ano do ensino fundamental;Não completou a 4ª série/5º ano do ensino fundamental;Grupo 2 (Verificar a definição no dicionário de dados);Grupo 2 (Verificar a definição no dicionário de dados);5;De R$ 3.300,01 até R$ 3.960,00.;Não;Sim, um;Sim, três;Não;Não;Sim, um;Não;Sim, um;Não;Sim, um;Não;Não;Sim, um;Não;Não;Sim, um;Sim;Não;Sim
210061197964;2023;25 anos;Feminino;Solteiro(a);Branca;Brasileiro(a);Já concluí o Ensino Médio;2014;Não respondeu;NA;Não;NA;NA;NA;NA;NA;NA;NA;4113700;Londrina;41;PR;Presente na prova;Presente na prova;Presente na prova;Presente na prova;Cinza;Rosa;Rosa;Rosa;533,3;487,0;514,2;570,0;CDDDBAAECEDBBEBBEECEABCDCDEBBBCEDEEBDBDDBEDEC;ABCCBCDDDEDBACEECBBDDDEECACAACDDECAABCCCDEEEB;EACBADAEBEBEAACBDBDDABEBBCCBEDDDCBEDEAEDCEABB;EEDDEDAAADBCBCBABDACBDCADCBECBBBCDADCBBDAABCA;Inglês;CEDAEEDEECCEBADCCCABBABCAACDDDACDBEABDCDBEABD;ABCDCBDACDAEACEECABADBEABADEBAABCDCABADCDAADE;BDBBABAAAEAAECBBEAACAAACEACBCACCCEDEDADBDBEEDDACCC;EBDEEBDADDABCCBCCABBADDBDDAEAEABCBEDECADCECCB;Sem problemas;120;120;120;120;80;560;Completou o Ensino Médio, mas não completou a Faculdade;Completou a Pós-graduação;Grupo 4 (Verificar a definição no dicionário de dados);Grupo 4 (Verificar a definição no dicionário de dados);3;De R$ 6.600,01 até R$ 7.920,00.;Não;Sim, dois;Sim, quatro ou mais;Sim, três;Não;Sim, um;Sim, um;Sim, um;Não;Sim, um;Não;Não;Sim, três;Não;Não;Sim, três;Não;Sim, um;Sim
