nu_inscricao;nu_ano;tp_faixa_etaria;tp_sexo;tp_estado_civil;tp_cor_raca;tp_nacionalidade;tp_st_conclusao;tp_ano_concluiu;tp_escola;tp_ensino;in_treineiro;co_municipio_esc;no_municipio_esc;co_uf_esc;sg_uf_esc;tp_dependencia_adm_esc;tp_localizacao_esc;tp_sit_func_esc;co_municipio_prova;no_municipio_prova;co_uf_prova;sg_uf_prova;tp_presenca_cn;tp_presenca_ch;tp_presenca_lc;tp_presenca_mt;co_prova_cn;co_prova_ch;co_prova_lc;co_prova_mt;nu_nota_cn;nu_nota_ch;nu_nota_lc;nu_nota_mt;tx_respostas_cn;tx_respostas_ch;tx_respostas_lc;tx_respostas_mt;tp_lingua;tx_gabarito_cn;tx_gabarito_ch;tx_gabarito_lc;tx_gabarito_mt;tp_status_redacao;nu_nota_comp1;nu_nota_comp2;nu_nota_comp3;nu_nota_comp4;nu_nota_comp5;nu_nota_redacao;q001;q002;q003;q004;q005;q006;q007;q008;q009;q010;q011;q012;q013;q014;q015;q016;q017;q018;q019;q020;q021;q022;q023;q024;q025
210059418787;2023;Entre 26 e 30 anos;Feminino;Solteiro(a);Branca;Brasileiro(a);Já concluí o Ensino Médio;2011;Não respondeu;NA;Não;NA;NA;NA;NA;NA;NA;NA;2704302;Maceió;27;AL;Presente na prova;Presente na prova;Presente na prova;Presente na prova;Amarela;Azul;Azul;Amarela;695,7;658,9;596,1;772,5;BECECABECDBDABCCDCDBEEEBCEDAEECCDBEEBDBABEAEB;CDACEEABDACEAADECBDAABCDCABADCDEACBACCDCEBADB;AEEBACACEEDCCDBADADEDCCEBBAEBADACDAADAACACEAD;BCECACBBDDCEEEABEABBDDADDCBABCDACCDDDCCDADCEB;Espanhol;CAAADCCCCDDDABDCACDBEEEDCEDAEECCDBEABDBABBAEB;CDAEECABAACEAADECBDAABCDCABADCDEABAABCDDEBADB;BBDABAAEBADACEEDCCDBADBDEDCCEBCACEACAACAACACBBEAAE;DCECACCBDECBEEABEABDDAADDABBBCCBCCDDAEBDADEEB;Sem problemas;180;200;200;200;180;960;Completou a Faculdade, mas não completou a Pós-graduação;Completou o Ensino Médio, mas não completou a Faculdade;Grupo 5 (Verificar a definição no dicionário de dados);Grupo 4 (Verificar a definição no dicionário de dados);3;De R$ 10.560,01 até R$ 11.880,00.;Sim, um ou dois dias por semana;Sim, três;Sim, três;Sim, um;Não;Sim, um;Não;Sim, um;Não;Sim, um;Não;Sim;Sim, três;Não;Sim;Sim, três;Não;Sim, um;Sim
210060358900;2023;Entre 41 e 45 anos;Masculino;Casado(a)/Mora com um(a) companheiro(a);Branca;Brasileiro(a);Já concluí o Ensino Médio;2010;Não respondeu;NA;Não;NA;NA;NA;NA;NA;NA;NA;2704302;Maceió;27;AL;Presente na prova;Presente na prova;Presente na prova;Presente na prova;Cinza;Rosa;Rosa;Rosa;405,4;561,8;551,7;466,2;ABADBACCDDEBACEDBCCEECBDBCDEBEAEDBBBBBCEBECDD;ABCDCEDACDAEACECCAABDAACBCEEADEBCACBBECCCCCCC;CAACECABCBBAAACAEBCAACBEADEDEAEDBAEDBDEDDEACA;EECAADCAAEDBCCBBABAACBCCBCEAECCDDCAEDAECDECCA;Espanhol;CEDAEEDEECCEBADCCCABBABCAACDDDACDBEABDCDBEABD;ABCDCBDACDAEACEECABADBEABADEBAABCDCABADCDAADE;BDBBABAAAEAAECBBEAACAAACEACBCACCCEDEDADBDBEEDDACCC;EBDEEBDADDABCCBCCABBADDBDDAEAEABCBEDECADCECCB;Sem problemas;120;60;60;100;20;360;Completou a 4ª série/5º ano, mas não completou a 8ª série/9º ano do ensino fundamental;Completou a 4ª série/5º ano, mas não completou a 8ª série/9º ano do ensino fundamental;Grupo 2 (Verificar a definição no dicionário de dados);Grupo 1 (Verificar a definição no dicionário de dados);4;Até R$ 1.320,00;Não;Sim, dois;Sim, dois;Não;Não;Sim, um;Não;Sim, um;Não;Sim, um;Não;Não;Sim, um;Não;Não;Sim, dois;Não;Sim, um;Sim
210059609025;2023;Entre 46 e 50 anos;Masculino;Solteiro(a);Parda;Brasileiro(a);Já concluí o Ensino Médio;Anterior a 2007;Não respondeu;NA;Não;NA;NA;NA;NA;NA;NA;NA;2704302;Maceió;27;AL;Presente na prova;Presente na prova;Presente na prova;Presente na prova;Cinza;Rosa;Rosa;Rosa;615,2;690,1;666,1;778,5;CBDABDDDECDEBACCCADABCEECDBCBBDABBECACCDBEABB;ABCDCCDACDAEACEECAEEDBEABADEBAABEDCABADCDAADE;BAABEAAECCBEAACAABCEACBBAECBEDCDADBDBDEDDACBC;CBDEEBDABDBACCCCAABEDDCBDDDEAEABABEDDCACAECCB;Espanhol;CEDAEEDEECCEBADCCCABBABCAACDDDACDBEABDCDBEABD;ABCDCBDACDAEACEECABADBEABADEBAABCDCABADCDAADE;BDBBABAAAEAAECBBEAACAAACEACBCACCCEDEDADBDBEEDDACCC;EBDEEBDADDABCCBCCABBADDBDDAEAEABCBEDECADCECCB;Sem problemas;120;160;120;120;40;560;Nunca estudou;Completou o Ensino Médio, mas não completou a Faculdade;Grupo 1 (Verificar a definição no dicionário de dados);Grupo 1 (Verificar a definição no dicionário de dados);1;De R$ 9.240,01 até R$ 10.560,00.;Não;Sim, um;Sim, um;Sim, um;Não;Sim, um;Não;Sim, um;Não;Sim, um;Não;Não;Sim, um;Não;Não;Sim, um;Não;Sim, um;Sim
210060349131;2023;17 anos;Feminino;Solteiro(a);Parda;Brasileiro(a);Estou cursando e concluirei o Ensino Médio em 2023;Não informado;Privada;Ensino Regular;Não;2704302;Maceió;27;AL;Privada;Urbana;Em atividade;2704302;Maceió;27;AL;Presente na prova;Presente na prova;Presente na prova;Presente na prova;Cinza;Rosa;Rosa;Rosa;671,8;667,0;596,7;849,5;CCDAEEDDECDBBABDCAABBDCADACABECCEEEABDCCBEADD;ABCDCBDACDAEACEECDBADAEBCADEBAABEDEABADCDAADE;CDBBADAEDBBE.AAAABEBACBBACCCEACDADCCBBEDDADBE;EBDEEBDABDBBCCCCCABBADBBDDAEAEABCBEDECADCECAC;Inglês;CEDAEEDEECCEBADCCCABBABCAACDDDACDBEABDCDBEABD;ABCDCBDACDAEACEECABADBEABADEBAABCDCABADCDAADE;BDBBABAAAEAAECBBEAACAAACEACBCACCCEDEDADBDBEEDDACCC;EBDEEBDADDABCCBCCABBADDBDDAEAEABCBEDECADCECCB;Sem problemas;160;200;180;200;200;940;Completou a Pós-graduação;Completou a Pós-graduação;Grupo 4 (Verificar a definição no dicionário de dados);Grupo 5 (Verificar a definição no dicionário de dados);3;De R$ 13.200,01 até R$ 15.840,00.;Não;Sim, três;Sim, três;Sim, um;Não;Sim, um;Sim, um;Sim, um;Não;Sim, um;Não;Sim;Sim, dois;Não;Não;Sim, três;Não;Sim, três;Sim
210060477217;2023;Entre 51 e 55 anos;Masculino;Casado(a)/Mora com um(a) companheiro(a);Parda;Brasileiro(a);Já concluí o Ensino Médio;Anterior a 2007;Não respondeu;NA;Não;NA;NA;NA;NA;NA;NA;NA;2704302;Maceió;27;AL;Presente na prova;Presente na prova;Presente na prova;Presente na prova;Cinza;Rosa;Rosa;Rosa;687,3;599,2;543,3;665,0;CEDAEEDEECDECABCABDBBBACE.CDDDDCCBEAABBDBEAED;ABCDCBDACDAEACECCCEBDBABAABEBAEEBBCEBAACDBBDE;CAEBADABEBEEACCAABCEAEBBECCDEDEDAEDCABDADCCCE;EBDCEADAEDABCCECDCBCDD.BCDBEDDDBBDEEBADCBBDCC;Inglês;CEDAEEDEECCEBADCCCABBABCAACDDDACDBEABDCDBEABD;ABCDCBDACDAEACEECABADBEABADEBAABCDCABADCDAADE;BDBBABAAAEAAECBBEAACAAACEACBCACCCEDEDADBDBEEDDACCC;EBDEEBDADDABCCBCCABBADDBDDAEAEABCBEDECADCECCB;Sem problemas;160;180;140;140;180;800;Completou a 4ª série/5º ano, mas não completou a 8ª série/9º ano do ensino fundamental;Completou a 4ª série/5º ano, mas não completou a 8ª série/9º ano do ensino fundamental;Grupo 3 (Verificar a definição no dicionário de dados);Grupo 2 (Verificar a definição no dicionário de dados);5;De R$ 6.600,01 até R$ 7.920,00.;Não;Sim, dois;Sim, três;Sim, um;Não;Sim, um;Não;Sim, um;Não;Sim, um;Não;Sim;Sim, dois;Não;Não;Sim, quatro ou mais;Não;Sim, três;Sim
210059905189;2023;Menor de 17 anos;Feminino;Solteiro(a);Parda;Brasileiro(a);Estou cursando e concluirei o Ensino Médio após 2023;Não informado;Não respondeu;NA;Sim;NA;NA;NA;NA;NA;NA;NA;2704302;Maceió;27;AL;Presente na prova;Presente na prova;Presente na prova;Presente na prova;Rosa;Amarela;Amarela;Cinza;465,6;473,4;479,0;438,6;ADCABEBACDBEC.DEBADBAAEBBABAEAADEEDDCEEACBCEB;EADADEACCDEEDDCEAAAACDDBECADBDACADDBEAAEAAEEE;CCAECDBEAEAABBCBACBAABCBEEABCBBEDBBDBBDDEACEA;CECAEECEEEDCCDBCBECAABBDACBDEACDADBACCEADBDCC;Espanhol;CDDDABBABDBEABDECCEEEDCEDAEBABDCCAACCCADACDBE;DBAADEADCDCABABCDDEBAEABAECABAACECDAECBDAABCD;BBBDAABAEACCEEEDEACBCACAACAACAAAECBBEDBCCADBDEDDAC;EBDADDAEBEACBEDCECCBEABCADEBCCBCCDEBDDAABBADD;Sem problemas;120;140;120;100;120;600;Completou a 8ª série/9º ano do ensino fundamental, mas não completou o Ensino Médio;Completou o Ensino Médio, mas não completou a Faculdade;Não Sei;Não Sei;3;Até R$ 1.320,00;Não;Sim, um;Sim, um;Não;Não;Sim, um;Não;Não;Não;Não;Não;Não;Não;Não;Não;Sim, um;Não;Não;Sim
210059471825;2023;Entre 26 e 30 anos;Feminino;Casado(a)/Mora com um(a) companheiro(a);Parda;Brasileiro(a);Já concluí o Ensino Médio;2014;Não respondeu;NA;Não;NA;NA;NA;NA;NA;NA;NA;2704302;Maceió;27;AL;Presente na prova;Presente na prova;Presente na prova;Presente na prova;Amarela;Azul;Azul;Amarela;418,6;476,4;392,8;395,1;DEDAECCADDBAACADDBEBCBCEADEADEDCEBCBBBCEDEAEA;CCBECCACDCDDDAECCADEACCCDCDADCDEEAEDEDBBDCCEB;CBDCBDDDCDEBCDADACEEAECDBBDCBECCCDBDCCCCEDBAD;DBCDECBCEDECDABDBCAADCDADDADCCACDDADCEADCDABA;Espanhol;CAAADCCCCDDDABDCACDBEEEDCEDAEECCDBEABDBABBAEB;CDAEECABAACEAADECBDAABCDCABADCDEABAABCDDEBADB;BBDABAAEBADACEEDCCDBADBDEDCCEBCACEACAACAACACBBEAAE;DCECACCBDECBEEABEABDDAADDABBBCCBCCDDAEBDADEEB;Sem problemas;120;120;120;120;60;540;Completou a 4ª série/5º ano, mas não completou a 8ª série/9º ano do ensino fundamental;Não sei;Grupo 2 (Verificar a definição no dicionário de dados);Não Sei;2;Até R$ 1.320,00;Não;Sim, um;Sim, um;Não;Não;Sim, um;Não;Sim, um;Não;Não;Não;Não;Sim, um;Não;Não;Sim, um;Não;Não;Sim
210058591107;2023;Menor de 17 anos;Masculino;Solteiro(a);Parda;Brasileiro(a);Estou cursando e concluirei o Ensino Médio após 2023;Não informado;Não respondeu;NA;Sim;NA;NA;NA;NA;NA;NA;NA;2704302;Maceió;27;AL;Presente na prova;Presente na prova;Presente na prova;Presente na prova;Rosa;Amarela;Amarela;Cinza;485,0;516,7;527,9;393,6;ADAABCCDCBBEAEDCABBEEBCBAABCBEDAEEDCBACDDBAEA;AAAADECDABEEBACBCDCAAEDEAAABEAACDCDABCBDEABBD;ABAECABEAEEBBCCBACAAECADACABCBBEBBDCAEDDEACCA;ECECABDCECEBDADADBCECBCEADADADDAADCEEDACAABCB;Espanhol;CDDDABBABDBEABDECCEEEDCEDAEBABDCCAACCCADACDBE;DBAADEADCDCABABCDDEBAEABAECABAACECDAECBDAABCD;BBBDAABAEACCEEEDEACBCACAACAACAAAECBBEDBCCADBDEDDAC;EBDADDAEBEACBEDCECCBEABCADEBCCBCCDEBDDAABBADD;Sem problemas;120;120;120;120;60;540;Completou o Ensino Médio, mas não completou a Faculdade;Completou o Ensino Médio, mas não completou a Faculdade;Grupo 2 (Verificar a definição no dicionário de dados);Grupo 3 (Verificar a definição no dicionário de dados);4;De R$ 1.980,01 até R$ 2.640,00.;Não;Sim, um;Sim, dois;Não;Não;Sim, um;Não;Sim, um;Não;Sim, um;Não;Não;Sim, um;Sim;Não;Sim, um;Não;Não;Sim
210061819956;2023;17 anos;Masculino;Divorciado(a)/Desquitado(a)/Separado(a);Branca;Brasileiro(a);Estou cursando e concluirei o Ensino Médio em 2023;Não informado;Pública;Ensino Regular;Não;2704302;Maceió;27;AL;Estadual;Urbana;Em atividade;2704302;Maceió;27;AL;Presente na prova;Presente na prova;Presente na prova;Presente na prova;Rosa;Amarela;Amarela;Cinza;0,0;394,9;463,8;0,0;.............................................;DADADECBDBDDBAEEBECABDEBDBEDAAAECEAEADCDBEADD;BCBAACAEEBDCEEABDEABDCBEDAAEDBBDECBAEDBEEDBDE;.............................................;Inglês;CDDDABBABDBEABDECCEEEDCEDAEBABDCCAACCCADACDBE;DBAADEADCDCABABCDDEBAEABAECABAACECDAECBDAABCD;BBBDAABAEACCEEEDEACBCACAACAACAAAECBBEDBCCADBDEDDAC;EBDADDAEBEACBEDCECCBEABCADEBCCBCCDEBDDAABBADD;Sem problemas;160;160;160;180;180;840;Completou a 8ª série/9º ano do ensino fundamental, mas não completou o Ensino Médio;Não completou a 4ª série/5º ano do ensino fundamental;Grupo 3 (Verificar a definição no dicionário de dados);Grupo 2 (Verificar a definição no dicionário de dados);4;Nenhuma Renda;Não;Sim, um;Sim, dois;Não;Sim, um;Sim, um;Não;Não;Não;Não;Não;Não;Sim, um;Não;Não;Sim, um;Não;Sim, um;Sim
210061908559;2023;18 anos;Feminino;Solteiro(a);Parda;Brasileiro(a);Estou cursando e concluirei o Ensino Médio em 2023;Não informado;Pública;Ensino Regular;Não;NA;NA;NA;NA;NA;NA;NA;2704302;Maceió;27;AL;Presente na prova;Presente na prova;Presente na prova;Presente na prova;Amarela;Azul;Azul;Amarela;0,0;538,2;437,3;0,0;.............................................;CDEAACECABCDAADEABCAABCDEABCDCAACCDEBCDEBCABE;AACEABBCEEDCBABCDEABCDEABCDEABCDEABCDEABCDEAB;.............................................;Espanhol;CAAADCCCCDDDABDCACDBEEEDCEDAEECCDBEABDBABBAEB;CDAEECABAACEAADECBDAABCDCABADCDEABAABCDDEBADB;BBDABAAEBADACEEDCCDBADBDEDCCEBCACEACAACAACACBBEAAE;DCECACCBDECBEEABEABDDAADDABBBCCBCCDDAEBDADEEB;Sem problemas;120;120;120;120;120;600;Completou a 8ª série/9º ano do ensino fundamental, mas não completou o Ensino Médio;Completou o Ensino Médio, mas não completou a Faculdade;Grupo 2 (Verificar a definição no dicionário de dados);Grupo 2 (Verificar a definição no dicionário de dados);3;Nenhuma Renda;Não;Sim, um;Não;Não;Não;Sim, um;Não;Não;Não;Não;Não;Não;Sim, um;Não;Não;Sim, um;Não;Não;Não
