nu_inscricao;nu_ano;tp_faixa_etaria;tp_sexo;tp_estado_civil;tp_cor_raca;tp_nacionalidade;tp_st_conclusao;tp_ano_concluiu;tp_escola;tp_ensino;in_treineiro;co_municipio_esc;no_municipio_esc;co_uf_esc;sg_uf_esc;tp_dependencia_adm_esc;tp_localizacao_esc;tp_sit_func_esc;co_municipio_prova;no_municipio_prova;co_uf_prova;sg_uf_prova;tp_presenca_cn;tp_presenca_ch;tp_presenca_lc;tp_presenca_mt;co_prova_cn;co_prova_ch;co_prova_lc;co_prova_mt;nu_nota_cn;nu_nota_ch;nu_nota_lc;nu_nota_mt;tx_respostas_cn;tx_respostas_ch;tx_respostas_lc;tx_respostas_mt;tp_lingua;tx_gabarito_cn;tx_gabarito_ch;tx_gabarito_lc;tx_gabarito_mt;tp_status_redacao;nu_nota_comp1;nu_nota_comp2;nu_nota_comp3;nu_nota_comp4;nu_nota_comp5;nu_nota_redacao;q001;q002;q003;q004;q005;q006;q007;q008;q009;q010;q011;q012;q013;q014;q015;q016;q017;q018;q019;q020;q021;q022;q023;q024;q025
210059489877;2023;18 anos;Feminino;Solteiro(a);Branca;Brasileiro(a);Estou cursando e concluirei o Ensino Médio em 2023;Não informado;Privada;Ensino Regular;Não;3534401;Osasco;35;SP;Privada;Urbana;Em atividade;3534401;Osasco;35;SP;Presente na prova;Presente na prova;Presente na prova;Presente na prova;Cinza;Rosa;Rosa;Rosa;555,6;554,6;507,1;476,5;CADAEABECECBBEEECBEABCCADBDEDCCAEBCACABEBEADC;ABCDCADACABDAEDCCABBDBBECAADBECABADBBCDCDAADE;CACBAAAEABBEACDABBCDBDBBCBCBACABACCDBADDCBBBC;EDDCCCAADCCEADBBCEADCCBBDEEBDDADCCEDBAADABCCE;Inglês;CEDAEEDEECCEBADCCCABBABCAACDDDACDBEABDCDBEABD;ABCDCBDACDAEACEECABADBEABADEBAABCDCABADCDAADE;BDBBABAAAEAAECBBEAACAAACEACBCACCCEDEDADBDBEEDDACCC;EBDEEBDADDABCCBCCABBADDBDDAEAEABCBEDECADCECCB;Sem problemas;120;200;120;140;140;720;Completou a 8ª série/9º ano do ensino fundamental, mas não completou o Ensino Médio;Completou o Ensino Médio, mas não completou a Faculdade;Grupo 4 (Verificar a definição no dicionário de dados);Grupo 2 (Verificar a definição no dicionário de dados);4;De R$ 11.880,01 até R$ 13.200,00.;Não;Sim, um;Sim, dois;Sim, um;Não;Sim, um;Sim, um;Sim, um;Não;Não;Não;Sim;Sim, um;Não;Sim;Sim, quatro ou mais;Não;Sim, dois;Sim
210060588379;2023;17 anos;Masculino;Solteiro(a);Branca;Brasileiro(a);Estou cursando e concluirei o Ensino Médio em 2023;Não informado;Privada;Ensino Regular;Não;3534401;Osasco;35;SP;Privada;Urbana;Em atividade;3534401;Osasco;35;SP;Presente na prova;Presente na prova;Presente na prova;Presente na prova;Cinza;Rosa;Rosa;Rosa;600,9;583,7;563,4;685,2;CDBAAEEBECEEAAACDECAECDCEEAECBDCCDEBBECDBEAED;ABCDCEDACDCEACEADAEADABABDABABDBCCCEBADCDAECE;BCBBAEABEBBEACCABCAEABBBCDCBEACDBABDBAEDDACBC;EBDBEADAADBCCCBCEBBCCDABBDBEAEEBACECBCBEDDEBC;Inglês;CEDAEEDEECCEBADCCCABBABCAACDDDACDBEABDCDBEABD;ABCDCBDACDAEACEECABADBEABADEBAABCDCABADCDAADE;BDBBABAAAEAAECBBEAACAAACEACBCACCCEDEDADBDBEEDDACCC;EBDEEBDADDABCCBCCABBADDBDDAEAEABCBEDECADCECCB;Sem problemas;120;160;120;120;120;640;Completou a Faculdade, mas não completou a Pós-graduação;Completou a Faculdade, mas não completou a Pós-graduação;Grupo 4 (Verificar a definição no dicionário de dados);Grupo 4 (Verificar a definição no dicionário de dados);3;De R$ 7.920,01 até R$ 9240,00.;Não;Sim, dois;Sim, dois;Sim, um;Sim, um;Sim, um;Sim, um;Sim, um;Sim, um;Sim, um;Não;Sim;Sim, dois;Não;Sim;Sim, três;Sim;Sim, dois;Sim
210061594810;2023;19 anos;Masculino;Solteiro(a);Branca;Brasileiro(a);Já concluí o Ensino Médio;Não informado;Não respondeu;NA;Não;NA;NA;NA;NA;NA;NA;NA;3534401;Osasco;35;SP;Presente na prova;Presente na prova;Presente na prova;Presente na prova;Amarela;Azul;Azul;Amarela;475,4;345,0;507,3;580,3;AACBDECEABBAECBDCACEEACCCBAAADDCDBDBCAABBAECE;.DEE.BAC.BC.BE..DBCDC.CDE.ECDE.CACD..B..B.EBE;AAEEADBCEEDCCCBADADCCCCEBADEBDC.BACBD.BD....E;BDECDAC.DBAECAEDBACEDCBDA.DBCDBECC.BAEDDADBEE;Espanhol;CAAADCCCCDDDABDCACDBEEEDCEDAEECCDBEABDBABBAEB;CDAEECABAACEAADECBDAABCDCABADCDEABAABCDDEBADB;BBDABAAEBADACEEDCCDBADBDEDCCEBCACEACAACAACACBBEAAE;DCECACCBDECBEEABEABDDAADDABBBCCBCCDDAEBDADEEB;Sem problemas;120;160;120;120;160;680;Completou a 8ª série/9º ano do ensino fundamental, mas não completou o Ensino Médio;Completou a Faculdade, mas não completou a Pós-graduação;Grupo 3 (Verificar a definição no dicionário de dados);Grupo 4 (Verificar a definição no dicionário de dados);2;De R$ 1.980,01 até R$ 2.640,00.;Não;Sim, um;Sim, um;Não;Não;Sim, um;Sim, um;Não;Não;Sim, um;Não;Não;Sim, um;Não;Não;Sim, dois;Não;Não;Sim
210058290971;2023;17 anos;Feminino;Solteiro(a);Branca;Brasileiro(a);Estou cursando e concluirei o Ensino Médio em 2023;Não informado;Privada;Ensino Regular;Não;3534401;Osasco;35;SP;Privada;Urbana;Em atividade;3534401;Osasco;35;SP;Presente na prova;Presente na prova;Presente na prova;Presente na prova;Rosa;Amarela;Amarela;Cinza;645,5;674,4;613,4;758,0;ACDAAACEBDBEECDDCCCBACCEDAECACDCBCCCCBDEACDEE;DBAADEADCDCDBEBEEDEBAABBAEBABAACECEAECBDAABCD;BCBDACBEEEDCACBBABBACAAAAAAEDBBEBBBCADCDEADAD;DEDADDCCDEEABCECECBBEABCADDBCCBCAEEBDDCABBADA;Inglês;CDDDABBABDBEABDECCEEEDCEDAEBABDCCAACCCADACDBE;DBAADEADCDCABABCDDEBAEABAECABAACECDAECBDAABCD;BBBDAABAEACCEEEDEACBCACAACAACAAAECBBEDBCCADBDEDDAC;EBDADDAEBEACBEDCECCBEABCADEBCCBCCDEBDDAABBADD;Sem problemas;160;200;160;160;100;780;Completou a Faculdade, mas não completou a Pós-graduação;Completou a Faculdade, mas não completou a Pós-graduação;Grupo 5 (Verificar a definição no dicionário de dados);Grupo 4 (Verificar a definição no dicionário de dados);4;De R$ 13.200,01 até R$ 15.840,00.;Sim, um ou dois dias por semana;Sim, dois;Sim, quatro ou mais;Sim, dois;Não;Sim, dois;Sim, dois;Sim, dois;Não;Sim, dois;Não;Não;Sim, quatro ou mais;Não;Sim;Sim, quatro ou mais;Sim;Sim, dois;Sim
210061876598;2023;20 anos;Masculino;Solteiro(a);Parda;Brasileiro(a);Já concluí o Ensino Médio;2020;Não respondeu;NA;Não;NA;NA;NA;NA;NA;NA;NA;3534401;Osasco;35;SP;Presente na prova;Presente na prova;Presente na prova;Presente na prova;Rosa;Amarela;Amarela;Cinza;519,2;438,7;438,5;476,3;CEBEEDBCCBBDEEAECBDCDACADABAEEACDAEEBDEDDEAEB;CDCEAEBBCBEAACDAECDDEECECEADDEAECCECAACDAABEC;BCBEBAAEAEDBEDDEACBBAACACAEBBABEDCADBEABCAADE;ECDACCDEEACDDBECAEEBDDEACBDCCECADCEBBABEDCEBD;Inglês;CDDDABBABDBEABDECCEEEDCEDAEBABDCCAACCCADACDBE;DBAADEADCDCABABCDDEBAEABAECABAACECDAECBDAABCD;BBBDAABAEACCEEEDEACBCACAACAACAAAECBBEDBCCADBDEDDAC;EBDADDAEBEACBEDCECCBEABCADEBCCBCCDEBDDAABBADD;Sem problemas;100;120;100;120;100;540;Não sei;Completou o Ensino Médio, mas não completou a Faculdade;Não Sei;Grupo 3 (Verificar a definição no dicionário de dados);1;Até R$ 1.320,00;Não;Sim, um;Sim, um;Não;Não;Sim, um;Sim, um;Sim, um;Não;Sim, um;Não;Não;Sim, um;Não;Não;Sim, um;Não;Não;Sim
210060594746;2023;17 anos;Masculino;Solteiro(a);Branca;Brasileiro(a);Estou cursando e concluirei o Ensino Médio em 2023;Não informado;Pública;Ensino Regular;Não;3550308;São Paulo;35;SP;Estadual;Urbana;Em atividade;3534401;Osasco;35;SP;Presente na prova;Presente na prova;Presente na prova;Presente na prova;Cinza;Rosa;Rosa;Rosa;519,5;568,5;538,2;673,0;DBDACAACACBACDCCAEBEADCEDAEBBBDECECACBCDBECDA;ABCDCBDADEBCCCDDCABEDBEACBDBAEBBCECEBADCAEADE;CDBBBBAEACBBACDDEAAEAEBBDCAAEDADADCBBAECDACBE;EDDCEEDBAAEACCCCEABEBDBDCDCCAEDBABEDBCABAEACE;Inglês;CEDAEEDEECCEBADCCCABBABCAACDDDACDBEABDCDBEABD;ABCDCBDACDAEACEECABADBEABADEBAABCDCABADCDAADE;BDBBABAAAEAAECBBEAACAAACEACBCACCCEDEDADBDBEEDDACCC;EBDEEBDADDABCCBCCABBADDBDDAEAEABCBEDECADCECCB;Sem problemas;120;200;120;120;100;660;Completou a Pós-graduação;Completou o Ensino Médio, mas não completou a Faculdade;Grupo 5 (Verificar a definição no dicionário de dados);Não Sei;4;De R$ 10.560,01 até R$ 11.880,00.;Não;Sim, dois;Sim, três;Sim, um;Não;Sim, um;Sim, um;Sim, um;Não;Sim, um;Sim, um;Sim;Sim, quatro ou mais;Não;Sim;Sim, três;Não;Sim, um;Sim
210058902154;2023;19 anos;Feminino;Solteiro(a);Branca;Brasileiro(a);Já concluí o Ensino Médio;2022;Não respondeu;NA;Não;NA;NA;NA;NA;NA;NA;NA;3534401;Osasco;35;SP;Presente na prova;Presente na prova;Presente na prova;Presente na prova;Rosa;Amarela;Amarela;Cinza;475,0;482,4;490,0;630,6;BBCBDEBDCEBDABBCDECCEDCBDABACCADDECEBABEDCEAC;DAAEDEDDEDCAEDBCCABDBACE.BADBCEBECAADACCA*EAD;CABEACDEAEDBCCDAACBAEAEDACADDECBCBBABACDEDBBD;EDCAADDEDEAACCEAABDCECBAABECCCBCDDECBCEDBDBCB;Inglês;CDDDABBABDBEABDECCEEEDCEDAEBABDCCAACCCADACDBE;DBAADEADCDCABABCDDEBAEABAECABAACECDAECBDAABCD;BBBDAABAEACCEEEDEACBCACAACAACAAAECBBEDBCCADBDEDDAC;EBDADDAEBEACBEDCECCBEABCADEBCCBCCDEBDDAABBADD;Sem problemas;120;180;120;120;160;700;Completou o Ensino Médio, mas não completou a Faculdade;Completou o Ensino Médio, mas não completou a Faculdade;Grupo 3 (Verificar a definição no dicionário de dados);Grupo 3 (Verificar a definição no dicionário de dados);5;De R$ 2.640,01 até R$ 3.300,00.;Não;Sim, um;Sim, dois;Sim, um;Não;Sim, um;Sim, um;Não;Não;Não;Não;Sim;Sim, dois;Sim;Não;Sim, quatro ou mais;Sim;Sim, um;Sim
210061292145;2023;18 anos;Feminino;Solteiro(a);Parda;Brasileiro(a);Estou cursando e concluirei o Ensino Médio em 2023;Não informado;Pública;Ensino Regular;Não;3534401;Osasco;35;SP;Estadual;Urbana;Em atividade;3534401;Osasco;35;SP;Presente na prova;Presente na prova;Presente na prova;Presente na prova;Cinza;Rosa;Rosa;Rosa;600,5;558,3;605,8;615,1;CCDAABCEDCEABADDDDBCABEDEDCEBACCCBBCCACDBEACB;ABCAABDACDAEACEBEABDDAEAADDCBDDDBEABBEBCAECCE;EDBBAAAECBBEAACBABCAACBDACDBEDEBADBBBDEDDECBA;EBDBBADADDDADCDDBDADDDBDCCAEAEBEADDCEDABBECCC;Inglês;CEDAEEDEECCEBADCCCABBABCAACDDDACDBEABDCDBEABD;ABCDCBDACDAEACEECABADBEABADEBAABCDCABADCDAADE;BDBBABAAAEAAECBBEAACAAACEACBCACCCEDEDADBDBEEDDACCC;EBDEEBDADDABCCBCCABBADDBDDAEAEABCBEDECADCECCB;Sem problemas;140;200;180;140;160;820;Completou a 8ª série/9º ano do ensino fundamental, mas não completou o Ensino Médio;Completou o Ensino Médio, mas não completou a Faculdade;Grupo 2 (Verificar a definição no dicionário de dados);Grupo 2 (Verificar a definição no dicionário de dados);3;De R$ 2.640,01 até R$ 3.300,00.;Não;Sim, um;Sim, um;Não;Não;Sim, um;Sim, um;Sim, dois;Sim, um;Sim, um;Não;Sim;Sim, um;Não;Não;Sim, três;Não;Sim, dois;Sim
210060416395;2023;18 anos;Masculino;Solteiro(a);Parda;Brasileiro(a);Estou cursando e concluirei o Ensino Médio em 2023;Não informado;Privada;Ensino Regular;Não;3534401;Osasco;35;SP;Privada;Urbana;Em atividade;3534401;Osasco;35;SP;Presente na prova;Presente na prova;Presente na prova;Presente na prova;Amarela;Azul;Azul;Amarela;533,6;563,8;580,3;630,4;DECECDBAAEEDEDBACABEDDDECBBAEBCBDBECBCBADCDBB;CDCDBDBBACCECAAECACAABCDCEBCDCDCCAAACCDDEADDE;CBEBADACEDDBCDACDDDEBCBDBBACCACBAAAAEACBBEAAE;BCDCACCCCEBBBBEBEDCCBBDDDCBCACCCCCDADEABADCED;Espanhol;CAAADCCCCDDDABDCACDBEEEDCEDAEECCDBEABDBABBAEB;CDAEECABAACEAADECBDAABCDCABADCDEABAABCDDEBADB;BBDABAAEBADACEEDCCDBADBDEDCCEBCACEACAACAACACBBEAAE;DCECACCBDECBEEABEABDDAADDABBBCCBCCDDAEBDADEEB;Sem problemas;120;160;120;140;180;720;Completou a Faculdade, mas não completou a Pós-graduação;Completou a Pós-graduação;Grupo 4 (Verificar a definição no dicionário de dados);Grupo 4 (Verificar a definição no dicionário de dados);4;De R$ 6.600,01 até R$ 7.920,00.;Não;Sim, um;Sim, três;Sim, um;Não;Sim, um;Sim, um;Sim, um;Não;Sim, um;Não;Não;Sim, três;Não;Não;Sim, quatro ou mais;Não;Sim, dois;Sim
210059764679;2023;17 anos;Feminino;Solteiro(a);Preta;Brasileiro(a);Estou cursando e concluirei o Ensino Médio em 2023;Não informado;Pública;Ensino Regular;Não;3534401;Osasco;35;SP;Estadual;Urbana;Em atividade;3534401;Osasco;35;SP;Presente na prova;Presente na prova;Presente na prova;Presente na prova;Cinza;Rosa;Rosa;Rosa;452,9;503,0;558,7;544,6;CBBCCAAEDEBACECCEBDABCCEDEADBACDDBEDCDDBBDEBE;ABEDDEDACECDAAEBCEBCDAEEADBEBEDCADDDDCCDDDDDE;BDBBBCAEBEBEACBAAABCBEBCADCBEDEDAEBBBCEDCEECC;DBDCEBEAEDDCACCDADCDDDEEECEEAEBDDDCE.AEEDEEBB;Inglês;CEDAEEDEECCEBADCCCABBABCAACDDDACDBEABDCDBEABD;ABCDCBDACDAEACEECABADBEABADEBAABCDCABADCDAADE;BDBBABAAAEAAECBBEAACAAACEACBCACCCEDEDADBDBEEDDACCC;EBDEEBDADDABCCBCCABBADDBDDAEAEABCBEDECADCECCB;Sem problemas;160;200;140;140;180;820;Completou o Ensino Médio, mas não completou a Faculdade;Completou a 8ª série/9º ano do ensino fundamental, mas não completou o Ensino Médio;Grupo 2 (Verificar a definição no dicionário de dados);Grupo 2 (Verificar a definição no dicionário de dados);6;Até R$ 1.320,00;Não;Sim, um;Sim, dois;Não;Não;Sim, um;Sim, um;Sim, um;Sim, um;Sim, um;Não;Não;Sim, um;Não;Não;Sim, um;Não;Não;Sim
